"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
115309,103799,72803.2,148327,134489,72279.1,11222.2,89810.1,0.201
154803,128716,78818.2,184578,167674,72143,24491.7,47470.7,0.202
147955,133241,72773.2,167454,152459,71981.9,15375.6,28679.6,0.203
169268,139489,79527.1,168364,148675,74214.9,40913.5,61866.6,0.203
106070,92804,74903.8,156612,143590,71479.4,16826.5,30897.2,0.203
112298,89268,82443.1,128408,112598,74738.1,39017.5,58970.3,0.204
136548,120893,74022.7,170201,157407,70862.6,16615,34247.6,0.206
136502,128452,69643,163166,149830,71369.1,21316.8,151318,0.207
197974,179716,72194.2,194480,159846,79735.7,20069,34706,0.209
166389,147120,74119.7,87358,82258,69599.2,7278.89,15053.6,0.212
138480,116477,77916.2,134911,116027,76202.4,28203.3,49934.5,0.214
174632,152387,75102.8,77699.9,71113,71606.4,11948.8,19639.4,0.219
105068,88036,78214.8,172309,157462,71715.2,12091.7,262143,0.22
182201,157381,75871.6,108608,101527,70106.9,18372.3,34128.4,0.221
107538,99591,70765.8,123877,112093,72425.6,16041.1,32154.3,0.221
148323,134740,72142.6,129734,118166,71951.5,22969.8,36307.7,0.222
117849,88736,87037.2,112431,102770,71696.5,28855.7,47688.2,0.223
111097,102368,71124.2,167500,152946,71772.3,9773.65,203144,0.225
172933,152809,74166.6,185808,168171,72409.1,24758.7,41448.5,0.225
142087,116021,80259.8,101069,93543,70808.6,9259.94,16410.8,0.227
113048,99800,74235.5,88802.3,80974,71871.8,28339.6,48981,0.227
155068,128813,78893.9,115581,109039,69467.9,27182.4,52837.7,0.228
94903.1,78792,78936.5,93625.9,84638,72495.4,9429.14,22016.2,0.228
145426,131613,72414.2,148349,137067,70930.5,18611.5,36114.6,0.229
135058,123609,71606,178946,161743,72506.6,18536.8,32951.2,0.231
94450.9,78825,78527.5,123752,111643,72644.1,26471.8,49237.6,0.232
118570,99364,78203.5,72446.3,66386,71518.7,13082,24897.7,0.232
137901,127316,70984.7,103469,94390,71839.4,25394.1,43306.9,0.233
191507,165879,75661.3,171707,149981,75029.6,11455.8,22930.6,0.235
141176,118500,78077,62364.3,58642,69695.9,6001.43,12240,0.235
188122,167185,73743.3,147738,137383,70475.9,23331.3,53036.9,0.236
190514,162529,76820.1,168914,147271,75167.3,27202.7,47194.9,0.236
124760,96115,85067.8,88301.2,81593,70924.1,17954.5,34974.9,0.237
186925,160768,76198.6,176350,156946,73638.4,11373.5,21205.4,0.237
107149,92384,76010.2,201261,182038,72456.4,28668.1,60257.9,0.237
111056,89217,81577.9,130238,117379,72715.8,75232.9,122347,0.238
135279,121029,73252.3,188381,169507,72833.1,8666.33,15316.3,0.24
113627,90697,82105.1,87717.5,78479,73250.9,15281.1,31239.1,0.241
94363,77930,79355.5,63445.3,58709,70823.1,9117.06,11599.7,0.241
132793,108697,80064.2,85927.8,78459,71774.6,23833.2,48914.9,0.243
103214,82120,82370.4,156773,143610,71543,13082.5,29272.9,0.243
114310,94309,79435.2,100671,94071,70133.8,16364.9,29740.1,0.244
112747,90472,81671.8,73705.9,68922,70084.8,23903.7,39683.3,0.245
112465,90148,81760.4,188541,169666,72826.7,12796.2,25944.3,0.248
108087,89521,79127.8,98547.7,88851,72688.2,30243.6,56729.2,0.248
104725,74325,92341.6,184315,157847,76525.2,37675.7,55978.4,0.249
131219,105580,81450.8,89860.2,84170,69966.5,13440.6,23504.8,0.25
150471,115859,85114.2,159228,141471,73761.9,88287.6,119928,0.25
170310,150364,74229.6,206672,185694,72939.5,20021.5,45822.9,0.251
136194,115041,77586.6,116001,107379,70798,5855.73,22566.9,0.255
154677,123720,81934.5,136951,122650,73177.5,18344.6,31164.3,0.255
188333,164245,75147.3,193221,179539,70530.2,36883.2,75355,0.256
105869,96155,72157,112709,106244,69524.1,8411.59,24179,0.256
94950,82297,75612,133489,122063,71670.6,21168.8,38591.5,0.256
137677,112480,80216.7,67751.9,63750,69650,13873.5,24154.7,0.258
168120,157445,69979.4,142198,130691,71306.3,18296.6,36589.6,0.259
124830,98321,83205.4,100107,92707,70767.3,19560,33933.5,0.259
157012,140288,73348.6,78333,74854,68581.9,15424,26776.9,0.26
142078,117627,79158.9,181789,167492,71130.3,10241.3,23624.8,0.261
179765,149360,78877.2,153520,134418,74849.2,40185.9,61280.2,0.262
118939,104129,74857,71376.5,68791,67999.2,8249.44,16848.4,0.262
113581,96360,77248.5,151760,139722,71182.2,18492.2,36743.6,0.262
200976,183168,71907.5,100948,96518,68544,15033.9,25431.8,0.263
148243,122845,79085.6,128163,116079,72358.3,41892,77780.6,0.265
134917,121185,72962.2,183495,173319,69383.6,22779.5,47004.4,0.266
100354,89064,73843.2,154546,137674,73567.6,23180.9,185932,0.268
128875,121317,69618.9,138629,131059,69321.3,9256.65,177182,0.269
104599,86917,78868.6,72631.5,68675,69311.6,17854.4,39901.7,0.27
143982,122793,76845,95074,89211,69843,13317,32507.6,0.27
111729,96908,75559.3,163756,148366,72334,27685.3,48614.7,0.271
169987,147985,75279.9,81728.3,76839,69706.1,15222.4,32317.9,0.272
168935,148983,74312.5,154232,137581,73467.8,47263.2,92617.6,0.272
141535,119934,77339.3,109917,102481,70291.6,23897.6,37686.7,0.272
107178,84977,82657.6,127900,116055,72224.7,14817.2,27166.6,0.274
143026,124533,75268.2,90881.1,85735,69469.7,27855.5,42329.9,0.275
129237,110564,76604,201060,177042,74426.8,18562.7,179488,0.277
98296.5,93797,68679.8,132426,123731,70141.3,11852.9,29181.5,0.277
141083,128109,72173,162710,144763,73660.7,37003.6,57681.9,0.278
132195,111840,77463.5,110803,103798,69959.1,28106.9,55550.4,0.278
113781,97796,76247.7,198893,184278,70733.5,13949.1,139526,0.279
112943,103777,71324.3,140490,129171,71278.8,8302.55,141842,0.28
192264,161459,78039.7,105320,98466,70098.1,17126.8,30036.8,0.281
128362,106964,78646.2,158787,148342,70150.4,21314.5,43520.9,0.281
