antigen	phenotype_name	scope	order	r2_train_mean	r2_train_std	r2_test_mean	r2_test_std	num_sig_mean	num_sig_std	n_samples
ba1	raw	all	1	0.6388748262999588	0.0017123160914695218	0.637100757830497	0.012229948042779576	8.0	0.0	7037
ba1	raw	all	2	0.7805543642840984	0.0017926095515714989	0.7734693029987793	0.012311287752010876	29.875	0.8345229603962802	7037
ba1	raw	all	3	0.8241519501694319	0.0017719656940488298	0.7996608953861502	0.01388658525869221	34.125	1.3562026818605375	7037
ba1	raw	all	4	0.8567816640018645	0.0013626198608747025	0.7845525488186412	0.01248293531707904	22.5	0.9258200997725514	7037
ba1	raw	pos4_binders	1	0.5336116951551657	0.005027955216693322	0.5261551452346378	0.039430633969050284	8.625	0.7440238091428449	3693
ba1	raw	pos4_binders	2	0.628048640390368	0.004320444525525895	0.6055777742211375	0.03405482895568459	19.0	0.9258200997725514	3693
ba1	raw	pos4_binders	3	0.6720915361245547	0.004555052602168574	0.5996492852053756	0.03943592284827906	13.875	0.9910312089651149	3693
ba1	raw	pos4_binders	4	0.7342375775275574	0.003287332903265461	0.5352171018678008	0.041812678639759425	0.25	0.4629100498862757	3693
ba1	latent_hill_v1	all	1	0.7036108093222386	0.0025111541783604976	0.7022624123326293	0.017145528101973576	9.625	0.5175491695067657	7037
ba1	latent_hill_v1	all	2	0.7508427938496318	0.0019107189767052005	0.7441740712164986	0.013386739611538636	24.625	1.407885953173359	7037
ba1	latent_hill_v1	all	3	0.7819005510019715	0.0020395650854766697	0.7534573567791654	0.015348963352480226	19.875	1.246423454758225	7037
ba1	latent_hill_v1	all	4	0.8209361243160154	0.001878043661918206	0.7364469584941662	0.015547043143997089	7.875	0.6408699444616557	7037
