antigen,phenotype_name,scope,order,fold,r2_train,r2_test,n_samples,n_train_used,n_test_used,n_params,alpha_bonf,num_sig
ba1,raw,all,1,0,0.6393603731239375,0.6336619180177262,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,1,0.6356128692837355,0.6615860046201093,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,2,0.6410939054253919,0.6221249073641306,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,3,0.6387565831308075,0.6376519549810957,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,4,0.6383047691783776,0.6384241447135806,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,5,0.6378506800819553,0.6445960974010294,7037,6158,879,14,0.0035714285714285718,8
ba1,raw,all,1,6,0.639393279302414,0.6334995514948969,7037,6158,879,14,0.0035714285714285718,8
ba1,raw,all,1,7,0.6406261508730517,0.6252614840514077,7037,6158,879,14,0.0035714285714285718,8
ba1,raw,all,2,0,0.780151078739537,0.7771972800203906,7037,6157,880,92,0.0005434782608695652,30
ba1,raw,all,2,1,0.7792200021914762,0.7841935639561188,7037,6157,880,92,0.0005434782608695652,29
ba1,raw,all,2,2,0.7833821376993527,0.7537292600795451,7037,6157,880,92,0.0005434782608695652,31
ba1,raw,all,2,3,0.7806942863780141,0.7716342526936926,7037,6157,880,92,0.0005434782608695652,31
ba1,raw,all,2,4,0.7782252552288973,0.7867060460082429,7037,6157,880,92,0.0005434782608695652,30
ba1,raw,all,2,5,0.7790772797197663,0.7846612735034317,7037,6158,879,92,0.0005434782608695652,29
ba1,raw,all,2,6,0.7827397413616187,0.75815257545528,7037,6158,879,92,0.0005434782608695652,29
ba1,raw,all,2,7,0.7809451329541249,0.771480172273532,7037,6158,879,92,0.0005434782608695652,30
ba1,raw,all,3,0,0.8238112255901281,0.8012200552647102,7037,6157,880,378,0.00013227513227513228,35
ba1,raw,all,3,1,0.8220474338092577,0.8157663102777911,7037,6157,880,378,0.00013227513227513228,35
ba1,raw,all,3,2,0.8275242467130206,0.7733058169646045,7037,6157,880,378,0.00013227513227513228,34
ba1,raw,all,3,3,0.8244657913748967,0.7950132093973052,7037,6157,880,378,0.00013227513227513228,35
ba1,raw,all,3,4,0.8228083319014174,0.8103522624566443,7037,6157,880,378,0.00013227513227513228,35
ba1,raw,all,3,5,0.8228538916930397,0.8107340671613942,7037,6158,879,378,0.00013227513227513228,31
ba1,raw,all,3,6,0.825715970916082,0.7883967600138799,7037,6158,879,378,0.00013227513227513228,34
ba1,raw,all,3,7,0.8239887093576124,0.802498681552871,7037,6158,879,378,0.00013227513227513228,34
ba1,raw,all,4,0,0.8558317108281656,0.7926801553871471,7037,6157,880,1093,4.574565416285453e-05,22
ba1,raw,all,4,1,0.8554908786176513,0.7915210327935219,7037,6157,880,1093,4.574565416285453e-05,23
ba1,raw,all,4,2,0.859457107054805,0.7577936045543185,7037,6157,880,1093,4.574565416285453e-05,23
ba1,raw,all,4,3,0.8561965178983393,0.7856992761224559,7037,6157,880,1093,4.574565416285453e-05,21
ba1,raw,all,4,4,0.856187091893622,0.7949078048980589,7037,6157,880,1093,4.574565416285453e-05,24
