antigen,phenotype_name,scope,order,fold,r2_train,r2_test,n_samples,n_train_used,n_test_used,n_params,alpha_bonf,num_sig
ba1,raw,all,1,0,0.6393603731239375,0.633661918017724,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,1,0.6356128692837357,0.6615860046201105,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,2,0.6410939054253919,0.6221249073641275,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,3,0.6387565831308075,0.6376519549810953,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,4,0.6383047691783778,0.6384241447135859,7037,6157,880,14,0.0035714285714285718,8
ba1,raw,all,1,5,0.6378506800819552,0.6445960974010285,7037,6158,879,14,0.0035714285714285718,8
ba1,raw,all,1,6,0.6393932793024137,0.6334995514948991,7037,6158,879,14,0.0035714285714285718,8
ba1,raw,all,1,7,0.640626150873052,0.6252614840514109,7037,6158,879,14,0.0035714285714285718,8
ba1,raw,all,2,0,0.7801510787395373,0.7771972800203915,7037,6157,880,92,0.0005434782608695652,32
ba1,raw,all,2,1,0.7792200021914762,0.7841935639561183,7037,6157,880,92,0.0005434782608695652,30
ba1,raw,all,2,2,0.7833821376993527,0.753729260079538,7037,6157,880,92,0.0005434782608695652,33
ba1,raw,all,2,3,0.780694286378014,0.7716342526936952,7037,6157,880,92,0.0005434782608695652,33
ba1,raw,all,2,4,0.7782252552288974,0.7867060460082451,7037,6157,880,92,0.0005434782608695652,33
ba1,raw,all,2,5,0.7790772797197663,0.7846612735034322,7037,6158,879,92,0.0005434782608695652,31
ba1,raw,all,2,6,0.7827397413616187,0.7581525754552801,7037,6158,879,92,0.0005434782608695652,31
ba1,raw,all,2,7,0.7809451329541249,0.7714801722735365,7037,6158,879,92,0.0005434782608695652,32
ba1,raw,all,3,0,0.8238112255901282,0.8012200552647107,7037,6157,880,378,0.00013227513227513228,46
ba1,raw,all,3,1,0.8220474338092576,0.815766310277794,7037,6157,880,378,0.00013227513227513228,46
ba1,raw,all,3,2,0.8275242467130206,0.7733058169645999,7037,6157,880,378,0.00013227513227513228,48
ba1,raw,all,3,3,0.8244657913748967,0.7950132093973067,7037,6157,880,378,0.00013227513227513228,46
ba1,raw,all,3,4,0.8228083319014174,0.8103522624566465,7037,6157,880,378,0.00013227513227513228,49
ba1,raw,all,3,5,0.8228538916930397,0.8107340671613924,7037,6158,879,378,0.00013227513227513228,42
ba1,raw,all,3,6,0.8257159709160818,0.7883967600138816,7037,6158,879,378,0.00013227513227513228,45
ba1,raw,all,3,7,0.8239887093576124,0.8024986815528706,7037,6158,879,378,0.00013227513227513228,48
ba1,raw,all,4,0,0.8558317108281653,0.7926801553871468,7037,6157,880,1093,4.574565416285453e-05,50
ba1,raw,all,4,1,0.8554908786176514,0.7915210327935205,7037,6157,880,1093,4.574565416285453e-05,54
ba1,raw,all,4,2,0.859457107054805,0.7577936045543149,7037,6157,880,1093,4.574565416285453e-05,54
ba1,raw,all,4,3,0.8561965178983393,0.7856992761224616,7037,6157,880,1093,4.574565416285453e-05,47
ba1,raw,all,4,4,0.8561870918936221,0.7949078048980592,7037,6157,880,1093,4.574565416285453e-05,54
ba1,raw,all,4,5,0.8557885457440437,0.7946175209251842,7037,6158,879,1093,4.574565416285453e-05,50
ba1,raw,all,4,6,0.8578480235749792,0.7788222717710807,7037,6158,879,1093,4.574565416285453e-05,51
ba1,raw,all,4,7,0.8574534364033095,0.7803787240973539,7037,6158,879,1093,4.574565416285453e-05,50
