antigen,phenotype_name,scope,order,r2_train_mean,r2_train_std,r2_test_mean,r2_test_std,num_sig_mean,num_sig_std,n_samples
ba4,raw,all,1,0.7982716843788557,0.0018642287157980384,0.7968004925157524,0.012938151912340006,10.0,0.0,7416
ba4,raw,all,2,0.8348829630816933,0.001966474972036962,0.8292517534373646,0.013668998839299965,27.375,0.7440238091428449,7416
ba4,raw,all,3,0.8807218450686756,0.001907145859287566,0.8644291117246248,0.014218987562065152,38.875,1.8850918886280925,7416
ba4,raw,all,4,0.9152125624335318,0.001188202350519479,0.8746327535395584,0.010129323970721584,41.875,2.03100960115899,7416
ba4,raw,pos4_binders,1,0.6911858698141584,0.0032062152624976513,0.6875797669384307,0.021799492314243704,9.0,0.0,3657
ba4,raw,pos4_binders,2,0.760121283873865,0.0031864672038050624,0.7466427700855823,0.02272680698400364,28.75,0.7071067811865476,3657
ba4,raw,pos4_binders,3,0.810500109605781,0.0029137364726947476,0.7673754314298799,0.022365887490624067,18.875,2.4748737341529163,3657
ba4,raw,pos4_binders,4,0.8518435218913196,0.0024769263531136524,0.7309114792283911,0.022518101883120912,1.625,1.5979898086569353,3657
ba4,latent_hill_v1,all,1,0.8077271397261961,0.002657476701586193,0.8060360801868167,0.01911369570562621,10.0,0.0,7416
ba4,latent_hill_v1,all,2,0.8363716752651447,0.0026558086157321575,0.830247019376025,0.01971678421256938,24.25,0.8864052604279183,7416
ba4,latent_hill_v1,all,3,0.8673650267313461,0.002483751995756073,0.8488270235926193,0.01910259017586939,29.625,1.9226098333849673,7416
ba4,latent_hill_v1,all,4,0.8955750204500796,0.001609356511201252,0.8471536197686489,0.013460374282167798,20.875,2.100170061141308,7416
ba4,latent_hill_v2,pos4_binders,1,0.7238751144602236,0.0033094225960692133,0.718967951577596,0.02170711808526358,9.0,0.0,3657
ba4,latent_hill_v2,pos4_binders,2,0.7611392693423029,0.0031600548756465126,0.7465338673249089,0.021349041727815488,20.75,1.3887301496588271,3657
ba4,latent_hill_v2,pos4_binders,3,0.8103386871265587,0.002799571716331592,0.7671900479967031,0.021817804722549114,21.125,1.8850918886280925,3657
ba4,latent_hill_v2,pos4_binders,4,0.8491739998577545,0.0026013596852677927,0.7286095134046894,0.025258956097339,1.75,1.0350983390135313,3657
