antigen	phenotype_name	scope	order	r2_train_mean	r2_train_std	r2_test_mean	r2_test_std	num_sig_mean	num_sig_std	n_samples
ba4	raw	all	1	0.7982716843788558	0.0018642287157980418	0.7968004925157528	0.012938151912341132	10.0	0.0	7416
ba4	raw	all	2	0.8348829630816933	0.0019664749720369698	0.8292517534373653	0.01366899883930057	28.0	0.7559289460184544	7416
ba4	raw	all	3	0.8807218450686756	0.0019071458592875665	0.8644291117246257	0.014218987562065273	51.25	2.052872551885702	7416
ba4	raw	all	4	0.9152125624335318	0.001188202350519486	0.8746327535395599	0.010129323970722479	69.375	2.615202805574687	7416
ba4	raw	pos4_binders	1	0.6911858698141584	0.0032062152624976405	0.6875797669384305	0.021799492314249692	9.0	0.0	3657
ba4	raw	pos4_binders	2	0.7601212838738651	0.00318646720380509	0.7466427700855829	0.02272680698400245	28.75	0.7071067811865476	3657
ba4	raw	pos4_binders	3	0.810500109605781	0.002913736472694708	0.7673754314298775	0.0223658874906236	35.75	1.9820624179302297	3657
ba4	raw	pos4_binders	4	0.8518435218913197	0.0024769263531136693	0.730911479228392	0.022518101883120804	33.875	2.6958963523950885	3657
ba4	latent_hill_v1	all	1	0.8077271396776258	0.002657476703064471	0.8060360801369271	0.019113695719035314	10.0	0.0	7416
ba4	latent_hill_v1	all	2	0.8363716752565815	0.0026558086171220747	0.830247019365252	0.01971678422702958	26.5	1.0690449676496976	7416
ba4	latent_hill_v1	all	3	0.8673650267168317	0.0024837519972730946	0.8488270235750188	0.01910259019159329	44.0	2.2677868380553634	7416
ba4	latent_hill_v1	all	4	0.8955750204331268	0.0016093565110619	0.8471536197482588	0.013460374282750917	55.75	2.052872551885702	7416
ba4	latent_hill_v2	pos4_binders	1	0.7238751143831106	0.003309422600435718	0.7189679514977989	0.02170711811135725	9.0	0.0	3657
ba4	latent_hill_v2	pos4_binders	2	0.7611392690738435	0.0031600548867803486	0.7465338670346173	0.021349041793961774	20.75	1.3887301496588271	3657
ba4	latent_hill_v2	pos4_binders	3	0.8103386868882121	0.0027995717330071826	0.767190047712162	0.021817804847457507	27.0	1.7728105208558367	3657
ba4	latent_hill_v2	pos4_binders	4	0.8491739996772911	0.0026013597064437964	0.7286095131139954	0.02525895627729596	23.125	2.2320714274285347	3657
