antigen	phenotype_name	scope	order	fold	r2_train	r2_test	n_samples	n_train_used	n_test_used	n_params	alpha_bonf	num_sig
expression	raw	all	1	0	0.1460266640736413	0.16009332376156304	8150	7131	1019	14	0.0035714285714285718	7
expression	raw	all	1	1	0.14744428310103364	0.14898827643475232	8150	7131	1019	14	0.0035714285714285718	7
expression	raw	all	1	2	0.15117172602535112	0.12209949296199407	8150	7131	1019	14	0.0035714285714285718	7
expression	raw	all	1	3	0.15299898149123836	0.10533266084643444	8150	7131	1019	14	0.0035714285714285718	7
expression	raw	all	1	4	0.14501708918963696	0.16435573916601232	8150	7131	1019	14	0.0035714285714285718	7
expression	raw	all	1	5	0.1523761526768237	0.11201524428292164	8150	7131	1019	14	0.0035714285714285718	7
expression	raw	all	1	6	0.14740630661449194	0.14989129896711628	8150	7132	1018	14	0.0035714285714285718	7
expression	raw	all	1	7	0.14184586352527506	0.1828761397759272	8150	7132	1018	14	0.0035714285714285718	7
expression	raw	all	2	0	0.34192832507135584	0.36297645424724234	8150	7131	1019	92	0.0005434782608695652	25
expression	raw	all	2	1	0.34509238821625365	0.3393032769271681	8150	7131	1019	92	0.0005434782608695652	23
expression	raw	all	2	2	0.3519882158894434	0.28674382997827896	8150	7131	1019	92	0.0005434782608695652	24
expression	raw	all	2	3	0.3552859868047874	0.25966425424484096	8150	7131	1019	92	0.0005434782608695652	25
expression	raw	all	2	4	0.33678542013442003	0.391830579777952	8150	7131	1019	92	0.0005434782608695652	23
expression	raw	all	2	5	0.34906520422565934	0.3090914348066842	8150	7131	1019	92	0.0005434782608695652	24
expression	raw	all	2	6	0.35364328395022393	0.2772942907934739	8150	7132	1018	92	0.0005434782608695652	26
expression	raw	all	2	7	0.3392599444386991	0.3767901474955452	8150	7132	1018	92	0.0005434782608695652	24
expression	raw	all	3	0	0.4807102592945842	0.4602845944201548	8150	7131	1019	378	0.00013227513227513228	26
expression	raw	all	3	1	0.48242264447145733	0.445898593561758	8150	7131	1019	378	0.00013227513227513228	31
expression	raw	all	3	2	0.4876284313378799	0.40411849411803114	8150	7131	1019	378	0.00013227513227513228	31
expression	raw	all	3	3	0.49407327877470497	0.35025811536887674	8150	7131	1019	378	0.00013227513227513228	31
expression	raw	all	3	4	0.4792284364745074	0.4667665478535975	8150	7131	1019	378	0.00013227513227513228	31
expression	raw	all	3	5	0.48607527990368826	0.41541737937374523	8150	7131	1019	378	0.00013227513227513228	28
expression	raw	all	3	6	0.49371607715280985	0.3597770064460293	8150	7132	1018	378	0.00013227513227513228	30
expression	raw	all	3	7	0.47747432147334645	0.47750922485975733	8150	7132	1018	378	0.00013227513227513228	29
expression	raw	all	4	0	0.5598833536614439	0.4007415487531676	8150	7131	1019	1093	4.574565416285453e-05	13
expression	raw	all	4	1	0.5592983922133871	0.4062545423562116	8150	7131	1019	1093	4.574565416285453e-05	12
expression	raw	all	4	2	0.5644788582187634	0.3633599505046474	8150	7131	1019	1093	4.574565416285453e-05	13
expression	raw	all	4	3	0.5685002505942645	0.31892479215826086	8150	7131	1019	1093	4.574565416285453e-05	14
expression	raw	all	4	4	0.560494754210398	0.40548919884942525	8150	7131	1019	1093	4.574565416285453e-05	11
expression	raw	all	4	5	0.5617874409690979	0.3814397570374818	8150	7131	1019	1093	4.574565416285453e-05	12
