antigen,phenotype_name,scope,order,fold,r2_train,r2_test,n_samples,n_train_used,n_test_used,n_params,alpha_bonf,num_sig
expression,raw,all,1,0,0.1460266640736414,0.16009332376156482,8150,7131,1019,14,0.0035714285714285718,7
expression,raw,all,1,1,0.14744428310103386,0.14898827643476276,8150,7131,1019,14,0.0035714285714285718,7
expression,raw,all,1,2,0.1511717260253509,0.12209949296198308,8150,7131,1019,14,0.0035714285714285718,7
expression,raw,all,1,3,0.15299898149123847,0.10533266084643067,8150,7131,1019,14,0.0035714285714285718,7
expression,raw,all,1,4,0.14501708918963707,0.16435573916600155,8150,7131,1019,14,0.0035714285714285718,7
expression,raw,all,1,5,0.1523761526768237,0.11201524428292031,8150,7131,1019,14,0.0035714285714285718,7
expression,raw,all,1,6,0.1474063066144916,0.14989129896712217,8150,7132,1018,14,0.0035714285714285718,7
expression,raw,all,1,7,0.14184586352527528,0.18287613977592931,8150,7132,1018,14,0.0035714285714285718,7
expression,raw,all,2,0,0.34192832507135573,0.36297645424724045,8150,7131,1019,92,0.0005434782608695652,27
expression,raw,all,2,1,0.34509238821625343,0.3393032769271832,8150,7131,1019,92,0.0005434782608695652,24
expression,raw,all,2,2,0.3519882158894436,0.2867438299782654,8150,7131,1019,92,0.0005434782608695652,26
expression,raw,all,2,3,0.35528598680478696,0.2596642542448381,8150,7131,1019,92,0.0005434782608695652,27
expression,raw,all,2,4,0.33678542013442003,0.3918305797779452,8150,7131,1019,92,0.0005434782608695652,25
expression,raw,all,2,5,0.3490652042256591,0.3090914348066852,8150,7131,1019,92,0.0005434782608695652,26
expression,raw,all,2,6,0.3536432839502238,0.2772942907934779,8150,7132,1018,92,0.0005434782608695652,27
expression,raw,all,2,7,0.33925994443869956,0.37679014749554807,8150,7132,1018,92,0.0005434782608695652,26
expression,raw,all,3,0,0.48071025929458433,0.46028459442015845,8150,7131,1019,378,0.00013227513227513228,41
expression,raw,all,3,1,0.4824226444714572,0.4458985935617713,8150,7131,1019,378,0.00013227513227513228,44
expression,raw,all,3,2,0.4876284313378796,0.40411849411802625,8150,7131,1019,378,0.00013227513227513228,43
expression,raw,all,3,3,0.49407327877470497,0.3502581153688815,8150,7131,1019,378,0.00013227513227513228,43
expression,raw,all,3,4,0.4792284364745075,0.46676654785359684,8150,7131,1019,378,0.00013227513227513228,42
expression,raw,all,3,5,0.4860752799036888,0.41541737937373757,8150,7131,1019,378,0.00013227513227513228,41
expression,raw,all,3,6,0.4937160771528101,0.35977700644602906,8150,7132,1018,378,0.00013227513227513228,42
expression,raw,all,3,7,0.47747432147334623,0.4775092248597672,8150,7132,1018,378,0.00013227513227513228,43
expression,raw,all,4,0,0.5598833536614443,0.4007415487531739,8150,7131,1019,1093,4.574565416285453e-05,44
expression,raw,all,4,1,0.5592983922133872,0.4062545423562308,8150,7131,1019,1093,4.574565416285453e-05,46
expression,raw,all,4,2,0.5644788582187634,0.36335995050464676,8150,7131,1019,1093,4.574565416285453e-05,46
expression,raw,all,4,3,0.5685002505942642,0.31892479215826397,8150,7131,1019,1093,4.574565416285453e-05,45
expression,raw,all,4,4,0.5604947542103978,0.4054891988494286,8150,7131,1019,1093,4.574565416285453e-05,44
expression,raw,all,4,5,0.5617874409690979,0.3814397570374749,8150,7131,1019,1093,4.574565416285453e-05,43
expression,raw,all,4,6,0.5680180476441234,0.3344027074773439,8150,7132,1018,1093,4.574565416285453e-05,46
expression,raw,all,4,7,0.5553588700077534,0.4454810017793317,8150,7132,1018,1093,4.574565416285453e-05,43
expression,latent_logistic_v1,all,1,0,0.06309766392562322,0.06233085770607061,8150,7131,1019,14,0.0035714285714285718,6
expression,latent_logistic_v1,all,1,1,0.06467168934966183,0.05067136356815227,8150,7131,1019,14,0.0035714285714285718,7
expression,latent_logistic_v1,all,1,2,0.06491481756675455,0.048405943568280985,8150,7131,1019,14,0.0035714285714285718,6
expression,latent_logistic_v1,all,1,3,0.06367438712930196,0.058704444688179036,8150,7131,1019,14,0.0035714285714285718,6
expression,latent_logistic_v1,all,1,4,0.062693662129648,0.06567062099402199,8150,7131,1019,14,0.0035714285714285718,6
expression,latent_logistic_v1,all,1,5,0.06526095329951442,0.04681908876195562,8150,7131,1019,14,0.0035714285714285718,6
expression,latent_logistic_v1,all,1,6,0.061504050364396545,0.07294464236149789,8150,7132,1018,14,0.0035714285714285718,6
expression,latent_logistic_v1,all,1,7,0.061878589587348376,0.07006839231514428,8150,7132,1018,14,0.0035714285714285718,5
expression,latent_logistic_v1,all,2,0,0.13832136574736442,0.1351193612938527,8150,7131,1019,92,0.0005434782608695652,18
expression,latent_logistic_v1,all,2,1,0.13943818728807944,0.12656630428100646,8150,7131,1019,92,0.0005434782608695652,19
expression,latent_logistic_v1,all,2,2,0.1423060308420917,0.10438235531138562,8150,7131,1019,92,0.0005434782608695652,18
expression,latent_logistic_v1,all,2,3,0.14170504944221196,0.11225554406631821,8150,7131,1019,92,0.0005434782608695652,17
expression,latent_logistic_v1,all,2,4,0.13679024274639173,0.14534338890193577,8150,7131,1019,92,0.0005434782608695652,17
expression,latent_logistic_v1,all,2,5,0.14487121281284876,0.08718830346126527,8150,7131,1019,92,0.0005434782608695652,20
expression,latent_logistic_v1,all,2,6,0.14362949407434866,0.09498312628872163,8150,7132,1018,92,0.0005434782608695652,19
expression,latent_logistic_v1,all,2,7,0.13901219066052184,0.13002912677217282,8150,7132,1018,92,0.0005434782608695652,18
expression,latent_logistic_v1,all,3,0,0.20202856065995345,0.14714762720520946,8150,7131,1019,378,0.00013227513227513228,22
expression,latent_logistic_v1,all,3,1,0.20369805682104325,0.13242758005455446,8150,7131,1019,378,0.00013227513227513228,23
