antigen,phenotype_name,scope,order,fold,r2_train,r2_test,n_samples,n_train_used,n_test_used,n_params,alpha_bonf,num_sig
psr,raw,all,1,0,0.2903818720637078,0.2619779124101186,5510,4821,689,14,0.0035714285714285718,5
psr,raw,all,1,1,0.2874347868882815,0.2769829224159235,5510,4821,689,14,0.0035714285714285718,4
psr,raw,all,1,2,0.2811338883755914,0.32794224719542275,5510,4821,689,14,0.0035714285714285718,4
psr,raw,all,1,3,0.2866620351911685,0.28343206102351826,5510,4821,689,14,0.0035714285714285718,4
psr,raw,all,1,4,0.29088968777350954,0.2581824998796227,5510,4821,689,14,0.0035714285714285718,5
psr,raw,all,1,5,0.29276295244374284,0.24161581165198254,5510,4821,689,14,0.0035714285714285718,4
psr,raw,all,1,6,0.2809053477570853,0.32211752018047546,5510,4822,688,14,0.0035714285714285718,4
psr,raw,all,1,7,0.28792038913120177,0.2788196884442221,5510,4822,688,14,0.0035714285714285718,4
psr,raw,all,2,0,0.36665977144601436,0.32960374326301256,5510,4821,689,92,0.0005434782608695652,8
psr,raw,all,2,1,0.36506757996512085,0.3398421009673641,5510,4821,689,92,0.0005434782608695652,8
psr,raw,all,2,2,0.3602516485184548,0.3787851450444424,5510,4821,689,92,0.0005434782608695652,8
psr,raw,all,2,3,0.3652688297658002,0.3384290697791551,5510,4821,689,92,0.0005434782608695652,9
psr,raw,all,2,4,0.3680573380974371,0.32374874674838416,5510,4821,689,92,0.0005434782608695652,8
psr,raw,all,2,5,0.3731472997593851,0.28479272413838996,5510,4821,689,92,0.0005434782608695652,9
psr,raw,all,2,6,0.36191959399634865,0.3633233783347134,5510,4822,688,92,0.0005434782608695652,8
psr,raw,all,2,7,0.36423215860842606,0.349167436168377,5510,4822,688,92,0.0005434782608695652,9
psr,raw,all,3,0,0.4106781091682923,0.30102669441240293,5510,4821,689,378,0.00013227513227513228,2
psr,raw,all,3,1,0.4124759796309646,0.27975271182261197,5510,4821,689,378,0.00013227513227513228,3
psr,raw,all,3,2,0.40653800729735057,0.3314115464106878,5510,4821,689,378,0.00013227513227513228,2
psr,raw,all,3,3,0.41146858913116424,0.2891019170237218,5510,4821,689,378,0.00013227513227513228,2
psr,raw,all,3,4,0.41052419335336077,0.2986611743865186,5510,4821,689,378,0.00013227513227513228,2
psr,raw,all,3,5,0.4150135701739136,0.26352858258379497,5510,4821,689,378,0.00013227513227513228,3
psr,raw,all,3,6,0.4093836378417596,0.3088850544481806,5510,4822,688,378,0.00013227513227513228,2
psr,raw,all,3,7,0.40811214195353407,0.3106925956049206,5510,4822,688,378,0.00013227513227513228,2
psr,raw,all,4,0,0.5120534961044305,0.16067229204744382,5510,4821,689,1093,4.574565416285453e-05,0
psr,raw,all,4,1,0.5104512904771651,0.14688233097978087,5510,4821,689,1093,4.574565416285453e-05,0
psr,raw,all,4,2,0.5073337213245965,0.19051999758207327,5510,4821,689,1093,4.574565416285453e-05,0
psr,raw,all,4,3,0.5126433581809583,0.13409357337573025,5510,4821,689,1093,4.574565416285453e-05,0
psr,raw,all,4,4,0.5101767825385373,0.17466900142414787,5510,4821,689,1093,4.574565416285453e-05,0
psr,raw,all,4,5,0.5100495076862506,0.16789823171048313,5510,4821,689,1093,4.574565416285453e-05,0
psr,raw,all,4,6,0.5103791249912044,0.17834332037380674,5510,4822,688,1093,4.574565416285453e-05,0
psr,raw,all,4,7,0.5065722454132644,0.18986130728513684,5510,4822,688,1093,4.574565416285453e-05,0
