antigen	phenotype_name	scope	order	fold	r2_train	r2_test	n_samples	n_train_used	n_test_used	n_params	alpha_bonf	num_sig
psr	raw	all	1	0	0.2903818720637077	0.26197791241011836	5510	4821	689	14	0.0035714285714285718	5
psr	raw	all	1	1	0.2874347868882815	0.27698292241592104	5510	4821	689	14	0.0035714285714285718	4
psr	raw	all	1	2	0.2811338883755914	0.32794224719542275	5510	4821	689	14	0.0035714285714285718	4
psr	raw	all	1	3	0.2866620351911685	0.2834320610235256	5510	4821	689	14	0.0035714285714285718	4
psr	raw	all	1	4	0.29088968777350954	0.2581824998796223	5510	4821	689	14	0.0035714285714285718	5
psr	raw	all	1	5	0.29276295244374284	0.2416158116519812	5510	4821	689	14	0.0035714285714285718	4
psr	raw	all	1	6	0.2809053477570853	0.322117520180479	5510	4822	688	14	0.0035714285714285718	4
psr	raw	all	1	7	0.28792038913120177	0.27881968844422134	5510	4822	688	14	0.0035714285714285718	4
psr	raw	all	2	0	0.36665977144601436	0.3296037432630139	5510	4821	689	92	0.0005434782608695652	10
psr	raw	all	2	1	0.36506757996512085	0.3398421009673638	5510	4821	689	92	0.0005434782608695652	10
psr	raw	all	2	2	0.3602516485184548	0.3787851450444446	5510	4821	689	92	0.0005434782608695652	10
psr	raw	all	2	3	0.3652688297658002	0.33842906977916065	5510	4821	689	92	0.0005434782608695652	11
psr	raw	all	2	4	0.3680573380974371	0.32374874674838394	5510	4821	689	92	0.0005434782608695652	10
psr	raw	all	2	5	0.3731472997593851	0.2847927241383893	5510	4821	689	92	0.0005434782608695652	11
psr	raw	all	2	6	0.36191959399634865	0.3633233783347144	5510	4822	688	92	0.0005434782608695652	10
psr	raw	all	2	7	0.36423215860842606	0.349167436168376	5510	4822	688	92	0.0005434782608695652	11
psr	raw	all	3	0	0.4106781091682923	0.3010266944124036	5510	4821	689	378	0.00013227513227513228	7
psr	raw	all	3	1	0.4124759796309645	0.2797527118226114	5510	4821	689	378	0.00013227513227513228	8
psr	raw	all	3	2	0.4065380072973507	0.3314115464106888	5510	4821	689	378	0.00013227513227513228	8
psr	raw	all	3	3	0.41146858913116424	0.28910191702372523	5510	4821	689	378	0.00013227513227513228	8
psr	raw	all	3	4	0.41052419335336077	0.2986611743865184	5510	4821	689	378	0.00013227513227513228	9
psr	raw	all	3	5	0.4150135701739136	0.2635285825837935	5510	4821	689	378	0.00013227513227513228	11
psr	raw	all	3	6	0.40938363784175946	0.3088850544481815	5510	4822	688	378	0.00013227513227513228	10
psr	raw	all	3	7	0.4081121419535342	0.3106925956049206	5510	4822	688	378	0.00013227513227513228	8
psr	raw	all	4	0	0.5120534961044305	0.1606722920474416	5510	4821	689	1093	4.574565416285453e-05	6
psr	raw	all	4	1	0.5104512904771651	0.14688233097978176	5510	4821	689	1093	4.574565416285453e-05	6
psr	raw	all	4	2	0.5073337213245965	0.1905199975820746	5510	4821	689	1093	4.574565416285453e-05	6
psr	raw	all	4	3	0.5126433581809583	0.1340935733757388	5510	4821	689	1093	4.574565416285453e-05	6
psr	raw	all	4	4	0.5101767825385373	0.17466900142414832	5510	4821	689	1093	4.574565416285453e-05	6
psr	raw	all	4	5	0.5100495076862503	0.16789823171048524	5510	4821	689	1093	4.574565416285453e-05	7
psr	raw	all	4	6	0.5103791249912044	0.17834332037380485	5510	4822	688	1093	4.574565416285453e-05	8
psr	raw	all	4	7	0.5065722454132644	0.18986130728513684	5510	4822	688	1093	4.574565416285453e-05	7
