antigen,phenotype_name,scope,order,fold,r2_train,r2_test,n_samples,n_train_used,n_test_used,n_params,alpha_bonf,num_sig
wuhan,raw,all,1,0,0.7332401105376615,0.7427303132871674,6740,5897,843,14,0.0035714285714285718,10
wuhan,raw,all,1,1,0.7347534851647743,0.7308734294714581,6740,5897,843,14,0.0035714285714285718,11
wuhan,raw,all,1,2,0.7343917292332762,0.7349129948537255,6740,5897,843,14,0.0035714285714285718,10
wuhan,raw,all,1,3,0.7343338392709969,0.7352778137158918,6740,5897,843,14,0.0035714285714285718,10
wuhan,raw,all,1,4,0.7378343764451973,0.7102896930846778,6740,5898,842,14,0.0035714285714285718,10
wuhan,raw,all,1,5,0.7338523375958237,0.7386356605011704,6740,5898,842,14,0.0035714285714285718,10
wuhan,raw,all,1,6,0.7342284384596562,0.7353521007974391,6740,5898,842,14,0.0035714285714285718,11
wuhan,raw,all,1,7,0.7343353041493406,0.735241615817662,6740,5898,842,14,0.0035714285714285718,10
wuhan,raw,all,2,0,0.8128914564036237,0.8188851812623055,6740,5897,843,92,0.0005434782608695652,29
wuhan,raw,all,2,1,0.8152301156438747,0.8027356549623126,6740,5897,843,92,0.0005434782608695652,32
wuhan,raw,all,2,2,0.8119602469157325,0.8268369810062786,6740,5897,843,92,0.0005434782608695652,28
wuhan,raw,all,2,3,0.8139550452473756,0.8115158739787054,6740,5897,843,92,0.0005434782608695652,29
wuhan,raw,all,2,4,0.8176546088123815,0.7847902203802385,6740,5898,842,92,0.0005434782608695652,28
wuhan,raw,all,2,5,0.8155067744827396,0.8001059348429159,6740,5898,842,92,0.0005434782608695652,28
wuhan,raw,all,2,6,0.8139268256127142,0.8117091431988736,6740,5898,842,92,0.0005434782608695652,29
wuhan,raw,all,2,7,0.8142374516218783,0.8095461966032058,6740,5898,842,92,0.0005434782608695652,29
wuhan,raw,all,3,0,0.8426041616138968,0.8249337945737526,6740,5897,843,378,0.00013227513227513228,40
wuhan,raw,all,3,1,0.8436273980150736,0.8197386507386568,6740,5897,843,378,0.00013227513227513228,40
wuhan,raw,all,3,2,0.8409274994776272,0.8377663282543437,6740,5897,843,378,0.00013227513227513228,36
wuhan,raw,all,3,3,0.8423317892595349,0.8269219288442211,6740,5897,843,378,0.00013227513227513228,42
wuhan,raw,all,3,4,0.847085441829466,0.7912701182754236,6740,5898,842,378,0.00013227513227513228,45
wuhan,raw,all,3,5,0.8443749886437344,0.8123623401700268,6740,5898,842,378,0.00013227513227513228,38
wuhan,raw,all,3,6,0.8434882536135967,0.8203777046321324,6740,5898,842,378,0.00013227513227513228,41
wuhan,raw,all,3,7,0.8430586935111142,0.8203081080911518,6740,5898,842,378,0.00013227513227513228,42
wuhan,raw,all,4,0,0.8825826317527331,0.8148887049825021,6740,5897,843,1093,4.574565416285453e-05,51
wuhan,raw,all,4,1,0.8830043869327753,0.8174354286607398,6740,5897,843,1093,4.574565416285453e-05,49
wuhan,raw,all,4,2,0.8797287481381617,0.8371687962824266,6740,5897,843,1093,4.574565416285453e-05,47
wuhan,raw,all,4,3,0.8811317770574087,0.8285111117135486,6740,5897,843,1093,4.574565416285453e-05,48
wuhan,raw,all,4,4,0.8857647581261104,0.7877462500889661,6740,5898,842,1093,4.574565416285453e-05,52
wuhan,raw,all,4,5,0.8827181967246082,0.8129172268742946,6740,5898,842,1093,4.574565416285453e-05,51
wuhan,raw,all,4,6,0.881898922913094,0.8214094219038417,6740,5898,842,1093,4.574565416285453e-05,53
wuhan,raw,all,4,7,0.8817582332579463,0.8143521949964803,6740,5898,842,1093,4.574565416285453e-05,48
wuhan,raw,pos4_binders,1,0,0.6511266496027781,0.5730498917303117,3559,3114,445,13,0.0038461538461538464,10
wuhan,raw,pos4_binders,1,1,0.6345115560563904,0.682735008172616,3559,3114,445,13,0.0038461538461538464,10
wuhan,raw,pos4_binders,1,2,0.6369508813990254,0.661557478956371,3559,3114,445,13,0.0038461538461538464,10
wuhan,raw,pos4_binders,1,3,0.6398381749258618,0.6438191740471192,3559,3114,445,13,0.0038461538461538464,10
wuhan,raw,pos4_binders,1,4,0.6378415086102249,0.6595582709199743,3559,3114,445,13,0.0038461538461538464,10
wuhan,raw,pos4_binders,1,5,0.6373688038568297,0.658500228128347,3559,3114,445,13,0.0038461538461538464,10
wuhan,raw,pos4_binders,1,6,0.6450497807399794,0.6094132683612605,3559,3114,445,13,0.0038461538461538464,10
wuhan,raw,pos4_binders,1,7,0.6426924389824195,0.620336894306905,3559,3115,444,13,0.0038461538461538464,10
wuhan,raw,pos4_binders,2,0,0.7411517723859724,0.6460268743280673,3559,3114,445,79,0.0006329113924050633,30
wuhan,raw,pos4_binders,2,1,0.7249241308751504,0.7503823019072144,3559,3114,445,79,0.0006329113924050633,29
wuhan,raw,pos4_binders,2,2,0.7258763485091783,0.7400068137352752,3559,3114,445,79,0.0006329113924050633,30
wuhan,raw,pos4_binders,2,3,0.7315517154732865,0.6973331806499194,3559,3114,445,79,0.0006329113924050633,28
wuhan,raw,pos4_binders,2,4,0.7263598957026101,0.7399215907818465,3559,3114,445,79,0.0006329113924050633,28
wuhan,raw,pos4_binders,2,5,0.7252485297738392,0.7467372984588949,3559,3114,445,79,0.0006329113924050633,30
wuhan,raw,pos4_binders,2,6,0.7324007376803872,0.697246022691632,3559,3114,445,79,0.0006329113924050633,30
wuhan,raw,pos4_binders,2,7,0.7300402578031138,0.7116896566671672,3559,3115,444,79,0.0006329113924050633,30
wuhan,raw,pos4_binders,3,0,0.7772721457953513,0.6474260991020793,3559,3114,445,299,0.00016722408026755855,37
wuhan,raw,pos4_binders,3,1,0.761806832307016,0.7471355497236456,3559,3114,445,299,0.00016722408026755855,33
wuhan,raw,pos4_binders,3,2,0.7622965028966926,0.7386900241340226,3559,3114,445,299,0.00016722408026755855,35
wuhan,raw,pos4_binders,3,3,0.7666206134385007,0.6997071654921965,3559,3114,445,299,0.00016722408026755855,34
wuhan,raw,pos4_binders,3,4,0.7626688279899536,0.7395500350502511,3559,3114,445,299,0.00016722408026755855,33
wuhan,raw,pos4_binders,3,5,0.7631309301266531,0.7359403840491232,3559,3114,445,299,0.00016722408026755855,35
wuhan,raw,pos4_binders,3,6,0.7694043322779709,0.6929154963686558,3559,3114,445,299,0.00016722408026755855,36
wuhan,raw,pos4_binders,3,7,0.7677941832016416,0.6932861568733149,3559,3115,444,299,0.00016722408026755855,34
wuhan,raw,pos4_binders,4,0,0.8215896882111805,0.6009239372732658,3559,3114,445,794,6.297229219143577e-05,39
wuhan,raw,pos4_binders,4,1,0.8099051841164616,0.6748711988436962,3559,3114,445,794,6.297229219143577e-05,32
wuhan,raw,pos4_binders,4,2,0.8086632493384689,0.6870912256574728,3559,3114,445,794,6.297229219143577e-05,34
wuhan,raw,pos4_binders,4,3,0.8142926803042608,0.6102020809648535,3559,3114,445,794,6.297229219143577e-05,32
wuhan,raw,pos4_binders,4,4,0.8102822659280631,0.6651624616667746,3559,3114,445,794,6.297229219143577e-05,34
wuhan,raw,pos4_binders,4,5,0.8094944738423202,0.689129592344444,3559,3114,445,794,6.297229219143577e-05,33
wuhan,raw,pos4_binders,4,6,0.8170378328320678,0.6300574608668204,3559,3114,445,794,6.297229219143577e-05,35
wuhan,raw,pos4_binders,4,7,0.8132970931013854,0.6380873022251594,3559,3115,444,794,6.297229219143577e-05,33
wuhan,latent_hill_v1,all,1,0,0.7764578244011618,0.7662865423853293,6740,5897,843,14,0.0035714285714285718,10
wuhan,latent_hill_v1,all,1,1,0.7755101282004964,0.7722954121023496,6740,5897,843,14,0.0035714285714285718,12
wuhan,latent_hill_v1,all,1,2,0.7737067095097896,0.7858135206393925,6740,5897,843,14,0.0035714285714285718,10
wuhan,latent_hill_v1,all,1,3,0.7756938465880792,0.7722511248663925,6740,5897,843,14,0.0035714285714285718,11
wuhan,latent_hill_v1,all,1,4,0.7782430265818784,0.754661993101962,6740,5898,842,14,0.0035714285714285718,11
wuhan,latent_hill_v1,all,1,5,0.7737999911877331,0.785902449926903,6740,5898,842,14,0.0035714285714285718,10
wuhan,latent_hill_v1,all,1,6,0.7738707719969068,0.7841632009972244,6740,5898,842,14,0.0035714285714285718,11
wuhan,latent_hill_v1,all,1,7,0.7759351631465439,0.7705117055746517,6740,5898,842,14,0.0035714285714285718,11
wuhan,latent_hill_v1,all,2,0,0.8052011957940375,0.7939165999057222,6740,5897,843,92,0.0005434782608695652,26
wuhan,latent_hill_v1,all,2,1,0.8040575683943693,0.8018355245449982,6740,5897,843,92,0.0005434782608695652,25
wuhan,latent_hill_v1,all,2,2,0.8028819827507633,0.8108339075300981,6740,5897,843,92,0.0005434782608695652,26
wuhan,latent_hill_v1,all,2,3,0.8055928672544411,0.7914813797090003,6740,5897,843,92,0.0005434782608695652,27
wuhan,latent_hill_v1,all,2,4,0.807489218962891,0.7781080352308647,6740,5898,842,92,0.0005434782608695652,27
wuhan,latent_hill_v1,all,2,5,0.8037343015423075,0.8049198210323043,6740,5898,842,92,0.0005434782608695652,24
wuhan,latent_hill_v1,all,2,6,0.8025982042870404,0.812296845035406,6740,5898,842,92,0.0005434782608695652,27
wuhan,latent_hill_v1,all,2,7,0.8052401447019377,0.7940896800123508,6740,5898,842,92,0.0005434782608695652,27
wuhan,latent_hill_v1,all,3,0,0.8329107343828632,0.7964977498553605,6740,5897,843,378,0.00013227513227513228,31
wuhan,latent_hill_v1,all,3,1,0.8311764715834951,0.8090896713569814,6740,5897,843,378,0.00013227513227513228,31
wuhan,latent_hill_v1,all,3,2,0.8291996356207987,0.8229890534052049,6740,5897,843,378,0.00013227513227513228,31
wuhan,latent_hill_v1,all,3,3,0.8304643966994583,0.8136177698099557,6740,5897,843,378,0.00013227513227513228,30
wuhan,latent_hill_v1,all,3,4,0.8345426860555996,0.7841810579164938,6740,5898,842,378,0.00013227513227513228,32
wuhan,latent_hill_v1,all,3,5,0.8307837450383517,0.8132793992779328,6740,5898,842,378,0.00013227513227513228,33
wuhan,latent_hill_v1,all,3,6,0.8299701615494174,0.8194368698082982,6740,5898,842,378,0.00013227513227513228,30
wuhan,latent_hill_v1,all,3,7,0.8321547016126025,0.8012247830269682,6740,5898,842,378,0.00013227513227513228,29
wuhan,latent_hill_v1,all,4,0,0.8574811357280121,0.7743068170030909,6740,5897,843,1093,4.574565416285453e-05,33
wuhan,latent_hill_v1,all,4,1,0.85600552209666,0.7886769269197449,6740,5897,843,1093,4.574565416285453e-05,33
wuhan,latent_hill_v1,all,4,2,0.853525342484849,0.8080526595786879,6740,5897,843,1093,4.574565416285453e-05,32
wuhan,latent_hill_v1,all,4,3,0.8556588072102409,0.7895470986537928,6740,5897,843,1093,4.574565416285453e-05,30
wuhan,latent_hill_v1,all,4,4,0.8588033955143929,0.7622222984500189,6740,5898,842,1093,4.574565416285453e-05,31
wuhan,latent_hill_v1,all,4,5,0.855830541329073,0.7888127664073266,6740,5898,842,1093,4.574565416285453e-05,33
wuhan,latent_hill_v1,all,4,6,0.8544260386562432,0.7987701912112666,6740,5898,842,1093,4.574565416285453e-05,29
wuhan,latent_hill_v1,all,4,7,0.8574405205837694,0.7654947104603916,6740,5898,842,1093,4.574565416285453e-05,34
