step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1979915.0,1637885.0,260584.0,290055.0,1122376.0,627606.0,243334.0,464491.0,779441.0,686014.0
ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,1372378.0,1040925.0,199852.0,129147.0,669878.0,556068.0,186645.0,266781.0,977359.0,703754.0
ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,1222729.0,1525220.0,83230.0,179318.0,1043888.0,405888.0,197237.0,402870.0,868952.0,849969.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,wuhan,wuhan,626910.0,248651.0,1055651.0,110791.0,385465.0,192535.0,589606.0,123405.0,1699151.0,197932.0
ba1,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,107082.0,233940.0,56410.0,602014.0,29343.0,11512.0,73143.0,31090.0,101646.0,189795.0
ba1,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,498749.0,1348406.0,2085450.0,922936.0,146186.0,239467.0,640833.0,32573.0,360904.0,325913.0
ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,2232919.0,3550523.0,3963504.0,3247729.0,3932638.0,799774.0,5810983.0,1046646.0,3501691.0,1990201.0
wuhan,wuhan,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1606760.0,2666815.0,111842.0,568334.0,1306017.0,1528999.0,548166.0,998730.0,219093.0,732643.0
ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,1803447.0,2785839.0,2552754.0,2038657.0,3097631.0,623113.0,3977604.0,699539.0,2565584.0,1493518.0
wuhan,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,255923.0,755203.0,126416.0,482093.0,96819.0,84385.0,336567.0,910145.0,345472.0,485908.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,ba1,1124354.0,378359.0,268026.0,54042.0,677745.0,321968.0,351123.0,404294.0,1660843.0,329426.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba1,ba1,ba1,ba1,ba1,995301.0,3155264.0,25692.0,323203.0,1500427.0,1154419.0,350441.0,852465.0,113503.0,565095.0
ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,288116.0,417452.0,198011.0,866368.0,85119.0,51965.0,277359.0,126298.0,286128.0,577705.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,wuhan,wuhan,wuhan,wuhan,745641.0,392409.0,1296847.0,254923.0,661681.0,229127.0,873213.0,175863.0,2249456.0,306749.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba4,ba4,1685076.0,1836570.0,1100424.0,2008780.0,17216.0,101417.0,1641574.0,2255629.0,499106.0,2450953.0
ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,1408915.0,597324.0,2207680.0,413982.0,1252634.0,713463.0,1387202.0,241817.0,2111005.0,850913.0
ba1,ba1,ba1,ba1,ba1,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,1607297.0,2164343.0,2173127.0,1854031.0,2106741.0,585927.0,3332047.0,866810.0,1702340.0,1391721.0
ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,1058719.0,1106879.0,334646.0,2121527.0,96680.0,33058.0,1366962.0,824497.0,638726.0,1876981.0
wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1624218.0,2170348.0,150157.0,609018.0,1604089.0,1677786.0,580704.0,1091302.0,385846.0,797114.0
ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,1580546.0,2123053.0,1897656.0,1342587.0,2223223.0,542912.0,2070738.0,875730.0,1269065.0,607349.0
