step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,ba4,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,3931829.0,1428676.0,1478528.0,4800524.0,204474.0,220153.0,1763930.0,1072508.0,1318282.0,3130792.0
ba1,ba1,ba4,ba4,ba1,wuhan,ba1,wuhan,ba1,ba1,ba4,wuhan,ba4,6884377.0,3948333.0,2230992.0,5685836.0,258085.0,422769.0,3188765.0,2763322.0,3233946.0,5095212.0
wuhan,ba4,wuhan,ba1,ba4,wuhan,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,2504298.0,2179571.0,1137198.0,3920568.0,89396.0,130722.0,3018522.0,3883726.0,2220365.0,2916519.0
ba4,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,ba1,ba4,ba4,wuhan,2155171.0,1863537.0,2882766.0,992402.0,2207472.0,745037.0,1681328.0,1078135.0,3192804.0,495457.0
ba4,ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba4,wuhan,ba1,ba4,5587139.0,2984331.0,3671702.0,3108852.0,630526.0,516155.0,2321239.0,3818663.0,3665406.0,6559249.0
wuhan,wuhan,wuhan,ba1,wuhan,wuhan,ba1,wuhan,ba4,ba4,wuhan,ba4,ba4,1831838.0,1079163.0,338084.0,1716740.0,22493.0,89204.0,1415568.0,1881718.0,926112.0,1290545.0
wuhan,ba4,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,2047633.0,3349943.0,2035659.0,2412912.0,45543.0,304205.0,2279186.0,4102146.0,2700630.0,2823662.0
ba4,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,wuhan,ba1,ba1,wuhan,ba1,4095933.0,3781766.0,674501.0,450764.0,3410285.0,1423730.0,1022736.0,908961.0,2570643.0,1031269.0
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,ba4,wuhan,wuhan,2605421.0,3099528.0,4902330.0,1713927.0,3132837.0,602504.0,2578029.0,484088.0,2032322.0,1348978.0
ba4,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,ba4,wuhan,ba4,ba1,4400602.0,3145567.0,2111328.0,672089.0,6879235.0,1580275.0,1085832.0,2125737.0,5452324.0,912965.0
wuhan,ba4,ba1,ba4,ba1,wuhan,ba4,ba1,ba4,ba1,wuhan,ba1,wuhan,3401268.0,5676226.0,6935598.0,3570534.0,4008199.0,3206855.0,11558009.0,3624444.0,5266139.0,4595525.0
ba1,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,5471933.0,3441592.0,4930277.0,8801290.0,524470.0,689324.0,5541667.0,3069384.0,3014029.0,10463911.0
ba1,ba4,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,wuhan,5004992.0,3850233.0,6808530.0,4455135.0,2639582.0,2845106.0,11710432.0,945628.0,4443751.0,4116585.0
ba1,ba1,ba1,wuhan,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,4513094.0,6038243.0,1408277.0,2158201.0,6253240.0,2377975.0,3880631.0,2745285.0,3205797.0,2542256.0
ba4,ba1,wuhan,ba4,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,ba4,wuhan,2752393.0,3014812.0,5696006.0,1332047.0,3105211.0,1207015.0,2892896.0,1892149.0,6343537.0,661696.0
wuhan,ba4,ba4,ba4,ba1,ba1,ba4,wuhan,ba1,wuhan,ba1,wuhan,ba1,2135666.0,5595429.0,1122276.0,1542333.0,2916437.0,2344878.0,2827388.0,3653387.0,1711445.0,2110634.0
ba4,ba1,wuhan,ba4,ba4,ba1,wuhan,ba4,ba1,ba4,wuhan,wuhan,ba4,4375157.0,2460709.0,2862375.0,1377905.0,202485.0,407649.0,1776122.0,2741852.0,5358309.0,2864109.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,wuhan,341224.0,1259656.0,771168.0,504473.0,821694.0,351146.0,1757134.0,522908.0,548597.0,200024.0
ba1,wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,wuhan,wuhan,ba1,ba4,wuhan,1901530.0,1781605.0,1635479.0,1901355.0,1628439.0,587686.0,3543646.0,253627.0,1182733.0,406970.0
wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,ba1,ba4,ba1,ba1,wuhan,ba1,2608414.0,5617986.0,539814.0,1416873.0,3320463.0,3120166.0,2431575.0,2438938.0,1072925.0,1584887.0
ba4,wuhan,ba4,ba1,ba1,ba4,ba4,ba1,ba1,ba4,ba4,ba1,ba1,7629923.0,3007764.0,1401006.0,1157439.0,5352545.0,2454078.0,1447724.0,1601659.0,3419160.0,1456519.0
wuhan,wuhan,ba1,ba1,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba1,ba1,ba4,2578418.0,2113299.0,1764845.0,3065712.0,164299.0,603660.0,3198695.0,3170122.0,1571877.0,5575658.0
wuhan,wuhan,ba4,wuhan,ba1,ba1,ba4,ba1,ba4,wuhan,ba1,ba1,ba4,4028175.0,2591907.0,2560446.0,4712306.0,222138.0,625083.0,2944469.0,4058219.0,1730268.0,6080732.0
wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,ba1,ba4,wuhan,wuhan,ba1,ba1,3615373.0,4152623.0,350504.0,1254214.0,3615785.0,2380947.0,1888961.0,2801686.0,721283.0,1261450.0
