step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,7.789332092952186e-05,0.00012011521868275218,5.0053494981346475e-05,6.24001862120961e-05,9.147113056082544e-05,8.545687482851626e-05,6.409144270390418e-05,8.880167058008197e-05,6.25620914732126e-05,5.4759928991502616e-05
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba1,ba1,4.3778551356167536e-05,6.323229190255647e-05,2.5858592317689815e-05,3.442424917412495e-05,4.7808285691738774e-05,4.595671177694673e-05,3.5475153518393156e-05,4.7758105550897435e-05,3.335005845987296e-05,2.8425017393160486e-05
ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,4.005669340047557e-05,3.150470682498469e-05,2.6849687843272882e-05,4.306290243709495e-05,2.089281282864278e-05,1.7675714912691075e-05,3.663581662475275e-05,3.5816195269597716e-05,4.2336452525930196e-05,3.555542824247731e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,1.6391246466449635e-05,1.2727425321459174e-05,2.1105401138187648e-05,9.185483497194027e-06,1.4099395188488645e-05,1.0949662049106046e-05,1.3894446117331581e-05,1.2335693001632494e-05,1.8521880956654665e-05,1.0430785015277387e-05
ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,5.793446786402742e-05,4.5502666395751405e-05,5.853353656432877e-05,4.186899951304271e-05,4.1855555655731664e-05,4.112268308677815e-05,5.6111618338643924e-05,4.113214024597556e-05,5.652183287197733e-05,3.39848358739486e-05
wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,3.2050909391723525e-05,3.580572321470828e-05,2.6795087791755968e-05,3.6571119053459954e-05,2.1501288284631887e-05,1.9310517923647918e-05,3.1488374742173606e-05,3.698720161672809e-05,3.115158306583636e-05,3.1570591571658234e-05
wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,3.1340031524344124e-05,4.1301812535117094e-05,2.457910886910938e-05,3.7129807608428276e-05,2.06932121741583e-05,1.7193061124746824e-05,3.0954517356685286e-05,4.149715807726416e-05,3.420236726756582e-05,3.2816442255606125e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,ba4,3.4812395261071064e-05,2.6044787198737995e-05,2.2053349869750058e-05,2.6759307579379327e-05,1.3300858463728602e-05,1.3458140211450374e-05,2.7285357457428668e-05,2.456046750292217e-05,3.5107698342593416e-05,2.5872486265577296e-05
ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,0.00011007454395374083,8.785970508130852e-05,9.576217256467218e-05,7.7752362272186e-05,7.657259435330683e-05,6.649720000761285e-05,0.00010870208509843353,7.688287761771182e-05,0.00010676300621634129,7.117188261196558e-05
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba4,ba4,ba4,3.0079641758395738e-05,3.181554594454733e-05,2.191857545420315e-05,2.8635301819005626e-05,1.958877448492873e-05,1.559014905973331e-05,2.7232209400627852e-05,3.5052493050604185e-05,2.573982260766227e-05,2.5951884741623364e-05
ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,8.940041095073551e-05,6.529178306363583e-05,6.539404094053096e-05,5.69939012464747e-05,5.688657523801943e-05,5.053653751022529e-05,8.102209595506418e-05,5.654388368991618e-05,8.435848412144075e-05,5.1547583125307175e-05
ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,5.373137053879106e-05,3.395469924485615e-05,2.959633166873683e-05,5.068943150290526e-05,2.0048815996156412e-05,1.968332603409922e-05,3.823598715779257e-05,2.897474309942884e-05,4.0105316089047185e-05,3.1673959534221074e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,9.690797281381103e-06,8.45324938526017e-06,1.0128642835863137e-05,8.706182397253701e-06,5.4393261008517e-06,4.574052050793998e-06,8.40684833599727e-06,8.862713484353268e-06,1.3201498365285515e-05,9.868255700856055e-06
wuhan,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,6.68634599907765e-05,9.706102030660553e-05,4.211721687397172e-05,5.179222092300093e-05,7.909139990196224e-05,7.209330716217749e-05,5.4045292112632574e-05,7.656594570357191e-05,5.386228791400189e-05,4.641129982314324e-05
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,5.467570232879232e-05,4.678506671109645e-05,3.392100981038929e-05,2.6753403551033315e-05,4.5035618078013085e-05,4.388098471886554e-05,2.8286043880150395e-05,3.1171991026328875e-05,5.074744712972433e-05,2.9026696815949464e-05
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,3.164922456085633e-05,1.9259808018091086e-05,3.084466827456745e-05,1.3936244452737903e-05,2.193566872574994e-05,1.799015660397894e-05,2.2319067101283854e-05,1.591188178650212e-05,3.094918911010972e-05,1.677929882771636e-05
ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,3.746035591244583e-05,4.0898759719068065e-05,3.334675991915553e-05,2.4580007201090383e-05,3.660224607704126e-05,3.3372420343939416e-05,2.5359747538071617e-05,3.1700268398031046e-05,4.173406370253577e-05,2.684954680402948e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,3.3229768669493965e-05,3.9235231617224436e-05,2.734796304409245e-05,2.1567997186387333e-05,3.1296082753840984e-05,3.111964165424294e-05,2.28366186212656e-05,2.7503040758278192e-05,3.6006302482164994e-05,2.4192470754841224e-05
ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,7.287351204612412e-05,5.50836605117569e-05,4.166397433380869e-05,5.703671492184602e-05,2.7600986781636167e-05,2.8320965366322444e-05,5.549468137830399e-05,5.2891816091698944e-05,7.58456253301219e-05,5.506278919063559e-05
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,2.2541976992387714e-05,2.6091028623824842e-05,2.1813052053902952e-05,1.5600046605935643e-05,2.173155661614799e-05,1.7384321432500278e-05,2.307917812182976e-05,2.1240485857125772e-05,1.77855697654441e-05,1.5056696452834273e-05
wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,5.347626085329422e-05,8.129208177390623e-05,3.2838095808352225e-05,4.5515544041363385e-05,6.340740976679424e-05,5.836775006633757e-05,4.1180967508592145e-05,6.0538498466462485e-05,4.301958063950887e-05,3.666149224706139e-05
wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,3.20140185228605e-05,3.683332787592886e-05,2.4923484128580166e-05,4.112047093878097e-05,1.969332675750944e-05,1.958346023002282e-05,3.099994357429701e-05,3.4400469579354014e-05,3.2547108001945154e-05,3.3403011977251214e-05
ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,7.276387447883899e-05,5.204127690181822e-05,4.675060481054954e-05,7.114627579124393e-05,3.384386341188145e-05,3.10358980487839e-05,6.0123244687301034e-05,5.499873385697364e-05,7.836922906927206e-05,5.694669990176741e-05
ba1,ba1,ba1,ba1,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,9.412943866509484e-05,7.41444278197256e-05,7.857493140653667e-05,6.421905828138878e-05,6.291251940829427e-05,5.6221041097607145e-05,9.247760667165801e-05,6.350009843182247e-05,9.064990975620533e-05,5.823320587665478e-05
ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,2.31392884127594e-05,1.770999511176358e-05,2.6045598858052552e-05,1.1657680082059292e-05,1.9192180023829762e-05,1.3120334092338108e-05,1.9599218054756038e-05,1.6371450262970046e-05,2.8776041049737906e-05,1.4328239752758715e-05
ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,3.656203486665891e-05,3.104624863871756e-05,3.2996288704047574e-05,3.278032736988275e-05,2.514316855372372e-05,2.46758320494322e-05,3.5173618274268415e-05,2.469290762082257e-05,3.232222577400323e-05,2.3642405467879346e-05
wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,3.121014761990859e-05,3.359006763554486e-05,2.3463371902659997e-05,3.2588680159565504e-05,2.063989487685056e-05,1.6792236792231945e-05,2.9876235208741345e-05,3.693401634116468e-05,2.8562123223399622e-05,2.854269691194704e-05
ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,2.735850139449694e-05,2.625433016030847e-05,2.0754945427214538e-05,1.6594466837413206e-05,2.6242377767567154e-05,2.534275938948307e-05,1.770367108832299e-05,2.276341933734913e-05,3.659909068452237e-05,1.895955239999596e-05
ba1,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,4.6242314242801914e-05,3.109895263354602e-05,2.595527055323093e-05,4.756430966817683e-05,1.985883715100883e-05,1.8156913357552114e-05,3.532502367797279e-05,2.7260169569992078e-05,3.6683115875062625e-05,3.0478719677815756e-05
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,2.321939801980255e-05,2.6163471809487594e-05,1.6758269117981444e-05,2.041981625597608e-05,1.1672066908533121e-05,1.1872295322576178e-05,1.9812567672269942e-05,2.7040284973723444e-05,2.3707411088000946e-05,2.09537088369236e-05
wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,5.7352649560836416e-05,0.00010156301832519222,3.6239795863530206e-05,5.2819752800839024e-05,7.481240769720267e-05,7.134629932898021e-05,4.7989247735125265e-05,7.103257284456988e-05,4.919527379270362e-05,4.4282154344766637e-05
ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,6.342734208119142e-05,4.938204526156533e-05,4.4739479173231557e-05,6.685485208906648e-05,3.188495885260583e-05,2.8691328672908602e-05,5.9000321754648625e-05,5.390273225420715e-05,7.636098108708182e-05,5.677351600415737e-05
wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,2.7535284547734062e-05,3.280886238950259e-05,2.2064100885439618e-05,2.9109669186581093e-05,1.8431219968210683e-05,1.5577299572659075e-05,2.747989642208644e-05,3.1810474335745624e-05,2.6148502993243774e-05,2.656516836551598e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,ba4,ba4,ba4,2.0491324063492198e-05,1.6028455316427373e-05,1.2167160310500904e-05,1.821466920356677e-05,9.891046256497646e-06,8.322297229057943e-06,1.687506915803825e-05,1.4963366365936284e-05,2.1152923033690625e-05,1.6661589275334192e-05
