step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,ba4,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,0.00010098032847642049,7.071546524417048e-05,6.335242705295027e-05,9.192558252040341e-05,3.6213172134051364e-05,4.008905488622369e-05,7.98581236813507e-05,6.072736539183081e-05,7.114089992047309e-05,7.085659561355605e-05
ba1,ba1,ba4,ba4,ba1,wuhan,ba1,wuhan,ba1,ba1,ba4,wuhan,ba4,7.413940014539433e-05,4.701024468863454e-05,4.755579023265399e-05,5.6160657298748055e-05,2.4995512001535902e-05,3.1140322694231874e-05,4.866231272703617e-05,5.336487231270873e-05,6.982995104417631e-05,5.3555823494288735e-05
wuhan,ba4,wuhan,ba1,ba4,wuhan,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,4.370965715074497e-05,5.474980695711318e-05,4.492002796275539e-05,6.142414553998393e-05,2.8440895328040055e-05,2.6356857332971698e-05,5.268691744695149e-05,6.035877473303808e-05,5.344298357160252e-05,5.146200198765107e-05
ba4,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,ba1,ba4,ba4,wuhan,3.3937706921172665e-05,2.408105483721673e-05,4.396364999213852e-05,1.8427700468949213e-05,2.8209622302236106e-05,2.150360723976959e-05,2.8275882266002812e-05,2.4914692479892613e-05,3.7208345897307616e-05,2.041954361666375e-05
ba4,ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba4,wuhan,ba1,ba4,6.531254761038049e-05,5.308803207823653e-05,7.078908222164097e-05,4.374616815911329e-05,3.2522321418634057e-05,2.597415327502576e-05,5.464917977694038e-05,5.462056563532864e-05,8.288698900985519e-05,6.0497245029134895e-05
wuhan,wuhan,wuhan,ba1,wuhan,wuhan,ba1,wuhan,ba4,ba4,wuhan,ba4,ba4,4.386291278797557e-05,4.925372613565174e-05,3.5246971387066326e-05,4.5209266883390544e-05,2.8659654676087448e-05,2.4855427608703493e-05,4.182407399820495e-05,5.10973479654146e-05,4.201139384397376e-05,4.133174909026562e-05
wuhan,ba4,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,5.8115871541366015e-05,7.853067272332855e-05,5.490630318819617e-05,6.787823510851544e-05,2.8936908832963146e-05,3.5968357088164415e-05,6.088346334089278e-05,7.316198553091579e-05,7.045860793823646e-05,6.698357697307589e-05
ba4,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,wuhan,ba1,ba1,wuhan,ba1,8.120720587319116e-05,6.463353121986031e-05,4.72202507558804e-05,4.0831393151188955e-05,7.433332013863519e-05,6.930283941945707e-05,4.49279778458686e-05,5.297269070994639e-05,0.00010428739178383862,4.6584703945687264e-05
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,ba4,wuhan,wuhan,9.786279390936093e-05,7.034657789418234e-05,8.8792461752752e-05,5.967490624809533e-05,6.215042999595633e-05,6.319511482098244e-05,7.968825916103553e-05,5.9230056681282105e-05,9.060759136147496e-05,5.275208963099087e-05
ba4,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,ba4,wuhan,ba4,ba1,7.600901408995064e-05,6.342818300273573e-05,6.342428144028615e-05,4.1709386507966586e-05,9.599099026468664e-05,6.464714695951172e-05,4.7042178418652995e-05,7.129948024038904e-05,0.00011312655284983725,4.669985281057485e-05
wuhan,ba4,ba1,ba4,ba1,wuhan,ba4,ba1,ba4,ba1,wuhan,ba1,wuhan,9.05343159386241e-05,0.00011833645657293842,0.000119702292436565,8.090414090207233e-05,8.618999494500434e-05,8.217022639897987e-05,0.00013408046359075415,9.965392145369253e-05,9.028820676763635e-05,8.823356161464278e-05
ba1,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,0.00011185642223879365,9.338402077591357e-05,0.00011551643949447136,0.00010316052468029796,4.297143895393548e-05,5.691312584960323e-05,0.0001022748400049086,8.99367637896389e-05,0.00011670513770590815,9.728433367145322e-05
ba1,ba4,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,wuhan,9.522129866210076e-05,7.96806702337248e-05,8.734206300920341e-05,7.593957120056294e-05,6.244265472417606e-05,6.0265299276849735e-05,0.00011038639008885886,5.9853400240338055e-05,7.74492494872895e-05,6.398983088447814e-05
ba1,ba1,ba1,wuhan,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,0.00015275564885604476,0.0001330975676603605,7.536276170439048e-05,0.00010441961502656771,0.00012347120853929317,0.00012298729242044189,0.00010731845003841637,0.00012283162430428397,0.00016089818073653607,9.19038201045415e-05
ba4,ba1,wuhan,ba4,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,ba4,wuhan,7.942036909269369e-05,5.5787820765320685e-05,9.7475062987912e-05,3.9915399330616595e-05,7.376879191586222e-05,5.170049410634207e-05,7.089281043683328e-05,5.751948294056601e-05,0.00010773825107089917,4.769910264913593e-05
wuhan,ba4,ba4,ba4,ba1,ba1,ba4,wuhan,ba1,wuhan,ba1,wuhan,ba1,6.223459592379992e-05,0.00010134174315364442,4.276083298093987e-05,6.717358102160949e-05,7.466805129133839e-05,8.873688911366544e-05,5.293697471630662e-05,7.556543891412194e-05,7.229169528523382e-05,5.852714767055015e-05
ba4,ba1,wuhan,ba4,ba4,ba1,wuhan,ba4,ba1,ba4,wuhan,wuhan,ba4,7.506698464811165e-05,5.111231591150437e-05,7.027371824124039e-05,4.435274373740467e-05,3.486756703367617e-05,3.0230194551136933e-05,5.4189620022231594e-05,6.203484550906928e-05,0.00010255099458754902,6.380841781720688e-05
