step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,1199993.0,393298.0,144863.0,165509.0,10568.0,14336.0,155203.0,20133.0,1600.0,1629252.0
ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,663856.0,387631.0,4464.0,79058.0,13643.0,20313.0,144791.0,74632.0,12495.0,526936.0
ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,991231.0,288323.0,592712.0,328777.0,734329.0,331983.0,1370169.0,214678.0,635698.0,1709070.0
ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,3454175.0,948275.0,73554.0,303626.0,55160.0,37386.0,317098.0,84492.0,166584.0,989605.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,578053.0,136273.0,210555.0,137351.0,423885.0,70457.0,450677.0,18632.0,202096.0,576626.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba1,ba1,186099.0,515347.0,350393.0,170910.0,184360.0,199194.0,353544.0,235421.0,87600.0,33375.0
ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,1280014.0,947094.0,228939.0,159418.0,93467.0,19483.0,242159.0,134067.0,48609.0,1061595.0
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,112254.0,265583.0,531545.0,87201.0,247643.0,133618.0,185535.0,112877.0,266956.0,24940.0
ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,1580522.0,389549.0,698686.0,336952.0,1146924.0,412257.0,1339849.0,314677.0,680884.0,1867148.0
ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,252771.0,132537.0,359644.0,177486.0,221366.0,138737.0,432171.0,29526.0,128297.0,395341.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba1,ba1,207795.0,836540.0,380562.0,162050.0,263756.0,203901.0,409201.0,288106.0,72188.0,37567.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,212364.0,682782.0,445180.0,99903.0,371896.0,265850.0,232497.0,355418.0,62037.0,80312.0
ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,117863.0,18975.0,398373.0,205588.0,63577.0,63631.0,352680.0,74852.0,149405.0,61228.0
ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,595688.0,327692.0,4294.0,78168.0,9523.0,14161.0,116765.0,34461.0,13099.0,537158.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba4,ba4,2096151.0,744409.0,70551.0,692002.0,29770.0,46272.0,497077.0,278501.0,75708.0,457157.0
wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,1140780.0,519196.0,13428.0,326564.0,16443.0,65972.0,162793.0,298099.0,39389.0,136906.0
ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,226564.0,791546.0,1281682.0,240743.0,219002.0,333529.0,470349.0,528347.0,277020.0,94857.0
ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,365403.0,197647.0,411077.0,274680.0,413495.0,288174.0,110685.0,486611.0,260748.0,13961.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,ba1,ba1,ba1,753408.0,1131212.0,1875606.0,418817.0,501567.0,770650.0,722412.0,563486.0,621591.0,287905.0
ba1,ba1,ba1,ba1,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,538498.0,118358.0,278639.0,166836.0,331329.0,143175.0,661256.0,94918.0,303074.0,741565.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,wuhan,651127.0,238170.0,210204.0,129911.0,388616.0,85135.0,535085.0,60493.0,200904.0,266928.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,ba1,422583.0,750695.0,681580.0,164053.0,435262.0,429630.0,424321.0,397576.0,148739.0,109798.0
ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,728164.0,711922.0,1430473.0,291052.0,481552.0,501592.0,654586.0,365370.0,397132.0,249323.0
ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,1103838.0,366651.0,1805906.0,1335671.0,674968.0,595348.0,1775595.0,313335.0,1296550.0,844416.0
ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,624609.0,672856.0,1129444.0,242007.0,467939.0,480959.0,503182.0,289228.0,345988.0,193039.0
wuhan,wuhan,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,1062593.0,1099244.0,1120918.0,501869.0,696921.0,822663.0,1273784.0,644883.0,369158.0,213494.0
ba1,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,526896.0,92563.0,241639.0,123195.0,271056.0,210662.0,680332.0,89357.0,211480.0,500865.0
ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,1296349.0,411814.0,2351836.0,1482142.0,813383.0,421348.0,2419335.0,244326.0,983149.0,785928.0
ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,823229.0,663445.0,15294.0,122439.0,19822.0,23577.0,148520.0,8212.0,13345.0,434489.0
ba1,ba1,ba1,ba1,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,804980.0,254751.0,505668.0,258596.0,547748.0,300608.0,1097675.0,185839.0,580871.0,1365053.0
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,612379.0,232481.0,200867.0,117287.0,317490.0,65389.0,506132.0,50418.0,174809.0,199542.0
ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,309225.0,863094.0,1571015.0,314161.0,250163.0,376213.0,598007.0,707283.0,422192.0,151951.0
ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,1031487.0,394771.0,1675751.0,1167472.0,680787.0,642850.0,1806708.0,364821.0,1430403.0,759020.0
ba4,ba4,ba4,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,812235.0,751591.0,1578608.0,571670.0,583512.0,685248.0,790013.0,463586.0,541019.0,312455.0
ba1,ba1,ba1,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,455218.0,334295.0,4034.0,82119.0,9116.0,13686.0,110503.0,31521.0,11446.0,463973.0
ba4,ba4,ba4,ba4,ba4,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,697477.0,262635.0,1685587.0,837472.0,317922.0,560108.0,1302046.0,440427.0,1135887.0,504331.0
ba1,ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,882431.0,497980.0,1240685.0,404688.0,832452.0,453549.0,1248683.0,93364.0,484161.0,1651758.0
ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,ba4,ba4,ba4,ba4,wuhan,689768.0,253104.0,187331.0,152794.0,410499.0,120836.0,619805.0,69338.0,232591.0,320978.0
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,wuhan,wuhan,wuhan,wuhan,1050506.0,388920.0,2145187.0,1044032.0,426224.0,660243.0,1501644.0,413587.0,1264717.0,827186.0
