step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,ba4,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,3464090.0,2339559.0,1247740.0,1404668.0,261838.0,109868.0,1972832.0,231538.0,9551.0,3801542.0
ba1,ba1,ba4,ba4,ba1,wuhan,ba1,wuhan,ba1,ba1,ba4,wuhan,ba4,5204601.0,3091450.0,730168.0,775984.0,553929.0,179557.0,1608976.0,742296.0,182682.0,3885897.0
wuhan,ba4,wuhan,ba1,ba4,wuhan,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,4237775.0,2817877.0,285911.0,1673297.0,62438.0,226394.0,1225152.0,1418154.0,141438.0,1415659.0
ba4,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,ba1,ba4,ba4,wuhan,1260636.0,742364.0,2573572.0,1514211.0,793479.0,774577.0,2046600.0,664977.0,1378330.0,521736.0
ba4,ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba4,wuhan,ba1,ba4,3607409.0,1057753.0,1672939.0,2506579.0,99290.0,177239.0,918364.0,1771508.0,36823.0,1093219.0
wuhan,wuhan,wuhan,ba1,wuhan,wuhan,ba1,wuhan,ba4,ba4,wuhan,ba4,ba4,2523226.0,1284779.0,162544.0,855030.0,48286.0,74191.0,966357.0,667458.0,168565.0,733334.0
wuhan,ba4,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,2686656.0,3282674.0,1023735.0,1300523.0,304538.0,106467.0,1270116.0,1757639.0,131549.0,2260324.0
ba4,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,wuhan,ba1,ba1,wuhan,ba1,1018907.0,1226488.0,2311811.0,932295.0,1521814.0,1226134.0,1019611.0,797210.0,1980978.0,371423.0
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,ba4,wuhan,wuhan,1418547.0,583594.0,788270.0,493393.0,1465942.0,765368.0,2183716.0,297658.0,664762.0,1732124.0
ba4,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,ba4,wuhan,ba4,ba1,1119815.0,1106395.0,2180173.0,1245235.0,1375997.0,1661800.0,772021.0,1849757.0,2931807.0,131672.0
wuhan,ba4,ba1,ba4,ba1,wuhan,ba4,ba1,ba4,ba1,wuhan,ba1,wuhan,2951795.0,1330825.0,4056071.0,3425824.0,1321561.0,1936187.0,5348566.0,1902183.0,1005142.0,2000245.0
ba1,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,5331771.0,2658027.0,741945.0,1312306.0,117209.0,226286.0,1512673.0,446851.0,17215.0,5582695.0
ba1,ba4,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,wuhan,2472900.0,838837.0,2384205.0,1144366.0,2043375.0,578606.0,3988101.0,125865.0,743401.0,2631162.0
ba1,ba1,ba1,wuhan,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,1355084.0,1733957.0,848358.0,301088.0,1823024.0,904010.0,628138.0,376411.0,640884.0,794728.0
ba4,ba1,wuhan,ba4,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,ba4,wuhan,1733533.0,560956.0,2269976.0,1920087.0,1318060.0,1073565.0,2763511.0,1008474.0,2273640.0,312453.0
wuhan,ba4,ba4,ba4,ba1,ba1,ba4,wuhan,ba1,wuhan,ba1,wuhan,ba1,1448132.0,4244513.0,2859342.0,1297638.0,1358335.0,5291036.0,1860382.0,1804913.0,970218.0,761090.0
ba4,ba1,wuhan,ba4,ba4,ba1,wuhan,ba4,ba1,ba4,wuhan,wuhan,ba4,4542099.0,1641801.0,1517431.0,1611222.0,440629.0,210292.0,1476221.0,2749597.0,550530.0,1088021.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,wuhan,1048311.0,737587.0,1250359.0,882194.0,511824.0,481458.0,1940255.0,458326.0,500103.0,319497.0
ba1,wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,wuhan,wuhan,ba1,ba4,wuhan,1114136.0,743228.0,1380214.0,873340.0,1526761.0,331006.0,3398340.0,95992.0,966435.0,922069.0
wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,ba1,ba4,ba1,ba1,wuhan,ba1,1529942.0,1906959.0,1903305.0,1016232.0,1946196.0,2500584.0,1601620.0,822278.0,1010529.0,378123.0
ba4,wuhan,ba4,ba1,ba1,ba4,ba4,ba1,ba1,ba4,ba4,ba1,ba1,1189123.0,913794.0,2686764.0,1098028.0,813734.0,607566.0,1985875.0,1031998.0,1388277.0,319685.0
wuhan,wuhan,ba1,ba1,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba1,ba1,ba4,2650435.0,1716515.0,1091331.0,2219132.0,50698.0,182496.0,1185662.0,1153706.0,13345.0,2065974.0
wuhan,wuhan,ba4,wuhan,ba1,ba1,ba4,ba1,ba4,wuhan,ba1,ba1,ba4,4181164.0,2652376.0,1379633.0,3495967.0,134923.0,270718.0,1725105.0,1117277.0,16032.0,2452984.0
wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,ba1,ba4,wuhan,wuhan,ba1,ba1,644951.0,1238415.0,1980856.0,824297.0,1077057.0,1011796.0,1696149.0,1741382.0,528762.0,349056.0
wuhan,ba4,ba1,ba1,ba1,ba4,wuhan,wuhan,wuhan,ba1,wuhan,ba4,ba4,4025414.0,2906627.0,319882.0,1566148.0,48777.0,293273.0,1023575.0,1271493.0,195899.0,1475199.0
ba1,wuhan,ba4,ba4,ba1,wuhan,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,1113273.0,1174331.0,1057384.0,296572.0,1833364.0,322983.0,1308660.0,133700.0,379443.0,699095.0
