path_rank,path,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13
1,0000000000000->0000000000001->0000001000001->0000001000101->0000001001101->0001001001101->1001001001101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,1,65,69,77,589,4685,4941,5965,5997,6125,6127,8175,8191
2,0000000000000->0100000000000->0100000000010->0100100000010->0100100010010->0101100010010->0101100010011->0101101010011->0101101011011->0101101111011->0111101111011->1111101111011->1111111111011->1111111111111,0,2048,2050,2306,2322,2834,2835,2899,2907,2939,3963,8059,8187,8191
3,0000000000000->0000001000000->0000001000001->1000001000001->1000001000101->1000001001101->1001001001101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,64,65,4161,4165,4173,4685,4941,5965,5997,6125,6127,8175,8191
4,0000000000000->0000000000100->0000000000101->0000000000111->0100000000111->0100010000111->0101010000111->0101010001111->1101010001111->1101010101111->1111010101111->1111011101111->1111011111111->1111111111111,0,4,5,7,2055,2183,2695,2703,6799,6831,7855,7919,7935,8191
5,0000000000000->0100000000000->0100000000010->0100000000011->0100000010011->0101000010011->0101000110011->0101000111011->0101100111011->0101110111011->0101111111011->0111111111011->1111111111011->1111111111111,0,2048,2050,2051,2067,2579,2611,2619,2875,3003,3067,4091,8187,8191
6,0000000000000->1000000000000->1000100000000->1000100000001->1000100000011->1000110000011->1000110010011->1100110010011->1101110010011->1101110011011->1101110111011->1101111111011->1111111111011->1111111111111,0,4096,4352,4353,4355,4483,4499,6547,7059,7067,7099,7163,8187,8191
7,0000000000000->0000000000100->0000000000110->0100000000110->0110000000110->0111000000110->0111000010110->0111100010110->0111100011110->0111110011110->1111110011110->1111111011110->1111111111110->1111111111111,0,4,6,2054,3078,3590,3606,3862,3870,3998,8094,8158,8190,8191
8,0000000000000->0000000010000->0000010010000->0100010010000->0110010010000->0110010010100->0110010010101->0111010010101->1111010010101->1111010011101->1111110011101->1111111011101->1111111111101->1111111111111,0,16,144,2192,3216,3220,3221,3733,7829,7837,8093,8157,8189,8191
9,0000000000000->0000001000000->0000001000100->1000001000100->1000011000100->1000011100100->1000011100101->1000011101101->1000011101111->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,64,68,4164,4292,4324,4325,4333,4335,4351,6399,6655,7167,8191
10,0000000000000->0100000000000->1100000000000->1101000000000->1101001000000->1101001001000->1101001011000->1101101011000->1101101011001->1101111011001->1101111111001->1111111111001->1111111111011->1111111111111,0,2048,6144,6656,6720,6728,6744,7000,7001,7129,7161,8185,8187,8191
11,0000000000000->0000000000100->0000000000101->0100000000101->0100001000101->0100001001101->0100011001101->0101011001101->0101011101101->0101011111101->0101111111101->0101111111111->0111111111111->1111111111111,0,4,5,2053,2117,2125,2253,2765,2797,2813,3069,3071,4095,8191
12,0000000000000->0000000010000->0000001010000->0000001010010->1000001010010->1100001010010->1100101010010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,16,80,82,4178,6226,6482,6994,6995,7027,7035,8059,8187,8191
13,0000000000000->0000000000010->0000000000011->0000000010011->0000100010011->1000100010011->1100100010011->1100110010011->1101110010011->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,2,3,19,275,4371,6419,6547,7059,7123,7155,7163,8187,8191
14,0000000000000->0001000000000->0001100000000->0001110000000->0011110000000->0111110000000->1111110000000->1111110001000->1111110001001->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,512,768,896,1920,3968,8064,8072,8073,8075,8107,8171,8187,8191
15,0000000000000->0100000000000->0110000000000->0110100000000->0111100000000->0111100001000->0111100001001->1111100001001->1111110001001->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,2048,3072,3328,3840,3848,3849,7945,8073,8075,8107,8171,8187,8191
16,0000000000000->0000010000000->0100010000000->0100011000000->0100011100000->0100111100000->0100111100001->0100111100011->0101111100011->0101111110011->0101111111011->1101111111011->1111111111011->1111111111111,0,128,2176,2240,2272,2528,2529,2531,3043,3059,3067,7163,8187,8191
17,0000000000000->0000010000000->0001010000000->1001010000000->1001110000000->1011110000000->1011110000001->1011110000011->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,128,640,4736,4992,6016,6017,6019,8067,8075,8107,8171,8187,8191
18,0000000000000->0001000000000->0001010000000->0001010100000->0001110100000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,512,640,672,928,5024,6048,8096,8104,8168,8169,8171,8187,8191
19,0000000000000->1000000000000->1000001000000->1000001000010->1000001010010->1100001010010->1100101010010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,4096,4160,4162,4178,6226,6482,6994,6995,7027,7035,8059,8187,8191
20,0000000000000->0000100000000->0000110000000->0000110000010->0100110000010->0110110000010->0110110000011->0111110000011->0111110001011->0111110101011->1111110101011->1111111101011->1111111111011->1111111111111,0,256,384,386,2434,3458,3459,3971,3979,4011,8107,8171,8187,8191
21,0000000000000->0000000010000->0000000010100->0000001010100->0000001110100->0000001110101->1000001110101->1000001111101->1000011111101->1000011111111->1100011111111->1100111111111->1101111111111->1111111111111,0,16,20,84,116,117,4213,4221,4349,4351,6399,6655,7167,8191
22,0000000000000->0000000000001->0001000000001->0001000001001->0001000101001->0001010101001->0001010111001->0101010111001->0101011111001->0101111111001->0101111111011->1101111111011->1111111111011->1111111111111,0,1,513,521,553,681,697,2745,2809,3065,3067,7163,8187,8191
