step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,wuhan,wuhan,ba4,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,ba4,0.0012502375918849132,0.0006733046571146037,0.0011100187175593181,0.0013171234044300083,0.00022174128578637017,0.0003071347619846009,0.003082733187631694,0.0008426459535331955,0.00029363117127055555,0.0015623331618034083
ba1,ba1,ba4,ba4,ba1,wuhan,ba1,wuhan,ba1,ba1,ba4,wuhan,ba4,0.0007584772045052991,0.0005617041086851031,0.0006223765455242258,0.0009241912706785725,0.00014027233220188326,0.00025591746102632924,0.002644115614950913,0.0007922217911665165,0.000396190043867008,0.0015768439574858541
wuhan,ba4,wuhan,ba1,ba4,wuhan,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,0.0010040682404130667,0.0006999466767133799,0.00044075150874723143,0.0010599893241010423,0.00012891593492339983,0.00011791311286128379,0.0006723891738331801,0.0014987277029927975,9.501576494867798e-05,0.0007773328949457292
ba4,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,ba1,ba4,ba4,wuhan,0.0005098960047598412,0.0002828124373589835,0.000231706566786954,0.0008930585040335113,0.00041027613947417223,0.0005209105178145376,0.0008740124076109453,0.0002444623152686764,0.0009937449665302445,0.0002954414599389563
ba4,ba1,ba1,ba1,ba1,ba4,ba1,ba1,ba4,ba4,wuhan,ba1,ba4,0.0020691329786679045,0.00044131077045573213,0.00046483858198271194,0.0005375154475104254,0.00011678660964767047,0.0001860064755463599,0.001237710643515973,0.0005105348017802247,0.00028598262980970276,0.0014188913707357973
wuhan,wuhan,wuhan,ba1,wuhan,wuhan,ba1,wuhan,ba4,ba4,wuhan,ba4,ba4,0.0010884458532400424,0.00033925354232919845,0.00023410323785651483,0.0005788365515101562,6.854731417334659e-05,5.582415837795647e-05,0.0005544665201532764,0.0008191235332373083,6.421940242842835e-05,0.0003713926093780219
wuhan,ba4,wuhan,ba4,ba1,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,0.0011927365275925088,0.0005167413033832729,0.0003179419155059973,0.0009378237433092889,0.00014159625545024295,0.00026807569702520497,0.0008887709128233467,0.001253769085515119,0.00024411702558802635,0.0012169173894049086
ba4,wuhan,wuhan,wuhan,ba4,ba1,ba1,ba1,wuhan,ba1,ba1,wuhan,ba1,0.0007223570026405221,0.00030024954228608436,0.0001627285090484209,0.0008466748919666532,0.0003704458684113912,0.0006483752802257056,0.00029479076126456063,0.0003224910007451571,0.0008249374870458522,0.0004515072687219459
ba1,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,wuhan,wuhan,ba4,wuhan,wuhan,0.0002040948687431081,0.00033564418093718176,0.00036389573200929876,0.0009068283742197876,0.0006129724042141085,0.0009344754213663387,0.002502461857273047,0.00036717480553723685,0.0012310126029775623,0.0009345593143689364
ba4,ba1,wuhan,ba4,ba4,ba4,ba1,wuhan,ba4,ba4,wuhan,ba4,ba1,0.0021104259318729048,0.0007051008650830554,0.0003779851409271337,0.0012030399418941032,0.0009325022828416645,0.0010268462651754717,0.0002827627614664689,0.000734354850752315,0.0013982160236873987,0.00026955746946216296
wuhan,ba4,ba1,ba4,ba1,wuhan,ba4,ba1,ba4,ba1,wuhan,ba1,wuhan,0.0019708850384299098,0.0014312020917739581,0.0018407593834231307,0.0032855395354422267,0.0017619643670482331,0.002224693325339495,0.00502040325273406,0.0023029534257035956,0.0021195045294159815,0.003214200606489484
ba1,ba1,ba4,wuhan,ba1,ba4,ba4,ba4,wuhan,ba4,ba1,ba1,ba4,0.0008619991602441243,0.0007049463303172471,0.0012536046253335568,0.0011271414636944619,0.00028195957242100483,0.00030455784883417434,0.002246170528428082,0.0008767619778145144,0.0003372470847460213,0.0021057176874114463
ba1,ba4,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba1,ba1,wuhan,0.0002565015850523608,0.0004687183275533752,0.0015011497369678414,0.0011939973340086378,0.0009400177416931824,0.0011661093950165382,0.0032142492567523336,0.0004057740217954418,0.001364658369593726,0.0011812298653946555
ba1,ba1,ba1,wuhan,ba1,ba1,ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,0.00027426117827974934,0.00039397824645643833,0.00038258058615664426,0.0010244850488363517,0.0006954428627381481,0.0010191984918975902,0.00030866274885904803,0.0007337017152338432,0.0005005394998019927,0.0003147545539881473
ba4,ba1,wuhan,ba4,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,ba4,wuhan,0.0010857027161524921,0.0004857811657653762,0.0004602801755255964,0.0013597942654576384,0.000995393474087662,0.0009748262629807775,0.0018218743043041752,0.00035151398743248075,0.0016582666878992437,0.0005814469691652278
wuhan,ba4,ba4,ba4,ba1,ba1,ba4,wuhan,ba1,wuhan,ba1,wuhan,ba1,0.0008269945118249003,0.0009555718658773809,0.00044725689346684585,0.0012177304089154876,0.0008676832562580183,0.0020221994644907017,0.00033486305034020046,0.0014854306516789457,0.000702591539023363,0.0005971482895965842
ba4,ba1,wuhan,ba4,ba4,ba1,wuhan,ba4,ba1,ba4,wuhan,wuhan,ba4,0.0021049070122739215,0.00040220958328295926,0.00031603303916854337,0.000698087967675098,0.0001309766913513435,0.00021403433373533157,0.0012426193994300098,0.0006024819127037837,0.00047782247873224507,0.0013420811153874055
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,wuhan,0.0005878961145779971,0.000301426773508867,0.00023407022602902732,0.0007520957790563674,0.0005225867091825403,0.00038332807429147716,0.0008237192349750737,0.0008301374609477546,0.0005329100796355699,0.00026578284772025185
ba1,wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,wuhan,wuhan,ba1,ba4,wuhan,0.00026041353293512634,0.00037512997341143125,0.000665160505762158,0.0015332857400768508,0.0011891785795450753,0.001126773082679196,0.0028230085790085383,0.0004288974394836028,0.0005251884620505588,0.0004136444079003203
wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,ba1,ba4,ba1,ba1,wuhan,ba1,0.0009682864800877473,0.0006645224787080052,0.00026230063747888953,0.0011402559193723848,0.0007219544740052582,0.000983992323142928,0.00036391221944121507,0.0010627911403256946,0.0006899376436917016,0.00037928699631006353
ba4,wuhan,ba4,ba1,ba1,ba4,ba4,ba1,ba1,ba4,ba4,ba1,ba1,0.0009115032472977731,0.00043832051058585595,0.00022838044596540898,0.0005330496445158999,0.00040922956884986407,0.0003272240499416241,0.0003386770695545137,0.000467902237942333,0.00036367005049520103,0.00024530233699263077
wuhan,wuhan,ba1,ba1,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba1,ba1,ba4,0.0017769801749167324,0.000726838249920969,0.000573781733078367,0.0008240303488760009,0.00015496273964291774,0.0001688102266410942,0.0011103709799460129,0.0014053481141119675,0.00031043829432712995,0.001301704125286695
wuhan,wuhan,ba4,wuhan,ba1,ba1,ba4,ba1,ba4,wuhan,ba1,ba1,ba4,0.0018457149654638205,0.0008999443850020853,0.0006612663076507108,0.001026099719668168,0.00017631385834093836,0.0001919889491384292,0.0013245027772038193,0.0013354896770222968,0.0003576057962661064,0.001166050055677046
wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,ba1,ba4,wuhan,wuhan,ba1,ba1,0.0009333396492567569,0.0008134788570578321,0.0002320095133466964,0.0006600734208959677,0.0005917296678076462,0.0004928043427015878,0.00025564725123915737,0.001392570562715075,0.00018088031711543077,0.00017128862095052395
wuhan,ba4,ba1,ba1,ba1,ba4,wuhan,wuhan,wuhan,ba1,wuhan,ba4,ba4,0.0009215481827385744,0.0004619117276888024,0.00047999973990149196,0.0008384212235341729,9.039806431625928e-05,0.00011248874470211939,0.0006908561057082064,0.0012265430590608158,7.869481109357311e-05,0.0007484853353318133
ba1,wuhan,ba4,ba4,ba1,wuhan,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,0.00038834462144434346,0.0005379577128765642,0.00046134130554363476,0.0006122455143685953,0.001060597073515979,0.0006368820327854869,0.0005138789981223408,0.0005279445128094208,0.00016536794485548636,0.0002056129543647448
ba1,wuhan,wuhan,ba1,ba4,wuhan,ba4,ba4,wuhan,wuhan,ba4,wuhan,ba4,0.0007267726450431832,0.0005913274363681779,0.000527694585420871,0.0013045608051348223,0.00019861622834355176,0.00029342134950079905,0.0026841943425819467,0.0008965392413380938,0.0004339033549669525,0.0015303808150282639
wuhan,ba1,ba1,wuhan,ba4,ba4,wuhan,wuhan,wuhan,wuhan,ba4,wuhan,wuhan,0.0002914290957622998,0.0002512695871208962,8.2430367429893e-05,0.0004118405934837602,0.00041687656877951296,0.0003669450351927154,0.0008145681100532362,0.00044069940832149507,0.0006989160709498348,0.0004543486570463457
ba4,wuhan,wuhan,ba4,ba1,ba4,ba4,wuhan,ba1,ba4,ba4,wuhan,ba4,0.0015522245864928335,0.0002812992751188528,0.00026632789688052673,0.0006516858876219856,6.413558563740247e-05,0.0001209015288891665,0.0013389427958064562,0.0003942842367071029,0.00039391899606425066,0.0011855280952202272
ba1,ba4,ba1,wuhan,wuhan,ba4,ba4,wuhan,ba4,ba4,wuhan,ba4,ba1,0.0006766256219737019,0.001063601784512314,0.0008511198823204476,0.0024612657847729123,0.0014995902897996466,0.0021384411508072114,0.00048073647673570663,0.0017016636209491271,0.0007736671080297881,0.0003475482873277889
ba1,ba4,ba4,ba1,ba1,wuhan,ba1,wuhan,ba4,ba4,ba1,ba4,ba1,0.0006032798539922754,0.0014541155149128185,0.0009503018388082674,0.0024224914178309406,0.0016810036499893715,0.0021746041119962882,0.0005388586046948032,0.001248381263985996,0.0008158836073589893,0.00027066035844582504
ba1,wuhan,ba1,ba4,ba1,ba1,wuhan,wuhan,ba4,ba1,wuhan,ba1,ba1,0.0006852503576603934,0.001050297904103742,0.001131413001504904,0.0016992150693187103,0.0018674203789262125,0.0015997597195069838,0.0010998026611224725,0.0014355154524318021,0.00027614016149843493,0.00038933795357607803
ba4,ba4,ba4,ba4,ba1,wuhan,wuhan,ba4,ba1,ba1,ba4,ba4,wuhan,0.0004374363137841298,0.00023948131762738484,0.00018083192173856148,0.0005718567619446794,0.00038388969379123025,0.000346515637439005,0.0006719017716126368,0.00018115379531136045,0.0007765080676638139,0.0002576960479619166
