FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,585/15 YG E-A,530/30 Blue B-A,Time
1.231943828125000000e+05,7.487400000000000000e+04,1.078300546875000000e+05,8.628558593750000000e+04,6.833200000000000000e+04,8.275496875000000000e+04,1.066530029296875000e+03,1.564981933593750000e+04,2.919999957084655762e-01
9.999242187500000000e+04,6.362400000000000000e+04,1.029973593750000000e+05,6.360747656250000000e+04,5.484600000000000000e+04,7.600517187500000000e+04,9.825800170898437500e+02,2.466113867187500000e+04,3.859999775886535645e-01
9.099919531250000000e+04,5.799000000000000000e+04,1.028405468750000000e+05,7.265500781250000000e+04,5.775200000000000000e+04,8.244768750000000000e+04,4.606300048828125000e+02,5.432209960937500000e+03,4.520000219345092773e-01
8.208282031250000000e+04,5.483600000000000000e+04,9.809942187500000000e+04,7.110436718750000000e+04,6.175000000000000000e+04,7.546390625000000000e+04,7.044500122070312500e+02,1.805175000000000000e+04,5.099999904632568359e-01
1.129500390625000000e+05,6.973500000000000000e+04,1.061489062500000000e+05,8.392341406250000000e+04,7.104500000000000000e+04,7.741580468750000000e+04,1.127849975585937500e+03,2.744078906250000000e+04,8.359999656677246094e-01
6.733119531250000000e+04,4.019500000000000000e+04,1.097802500000000000e+05,6.718658593750000000e+04,5.390500000000000000e+04,8.168332812500000000e+04,1.168729980468750000e+03,2.471438867187500000e+04,1.491999983787536621e+00
1.171480625000000000e+05,7.349300000000000000e+04,1.044645859375000000e+05,8.059707031250000000e+04,6.835900000000000000e+04,7.726867968750000000e+04,1.093540039062500000e+03,2.539101953125000000e+04,1.691000103950500488e+00
1.394923593750000000e+05,8.026600000000000000e+04,1.138934531250000000e+05,1.343518750000000000e+05,1.068760000000000000e+05,8.238410937500000000e+04,2.417030029296875000e+03,6.654261718750000000e+04,1.948999881744384766e+00
1.506876875000000000e+05,8.773700000000000000e+04,1.125576328125000000e+05,1.908976875000000000e+05,1.391310000000000000e+05,8.992007812500000000e+04,2.289280029296875000e+03,6.860871875000000000e+04,1.956000089645385742e+00
1.182308125000000000e+05,7.264600000000000000e+04,1.066593359375000000e+05,9.692422656250000000e+04,7.789200000000000000e+04,8.154914843750000000e+04,1.319109985351562500e+03,2.938760937500000000e+04,2.569999933242797852e+00
