geno	Omi32_e_2_1	Omi32_e_2_2	Omi32_e_2_3	Omi32_e_2_4	Omi32_e_3_1	Omi32_e_3_2	Omi32_e_3_3	Omi32_e_3_4	Omi32_e_4_1	Omi32_e_4_2	Omi32_e_4_3	Omi32_e_4_4	Omi32_e_5_1	Omi32_e_5_2	Omi32_e_5_3	Omi32_e_5_4	Omi32_e_6_1	Omi32_e_6_2	Omi32_e_6_3	Omi32_e_6_4	Omi32_e_7_1	Omi32_e_7_2	Omi32_e_7_3	Omi32_e_7_4	Omi32_e_8_1	Omi32_e_8_2	Omi32_e_8_3	Omi32_e_8_4	Omi32_e_F_1	Omi32_e_F_2	Omi32_e_F_3	Omi32_e_F_4	Omi32_e_F_5	Omi32_e_F_6	Omi32_e_F_7	Omi32_e_F_8	Omi32_f_2_1	Omi32_f_2_2	Omi32_f_2_3	Omi32_f_2_4	Omi32_f_3_1	Omi32_f_3_2	Omi32_f_3_3	Omi32_f_3_4	Omi32_f_4_1	Omi32_f_4_2	Omi32_f_4_3	Omi32_f_4_4	Omi32_f_5_1	Omi32_f_5_2	Omi32_f_5_3	Omi32_f_5_4	Omi32_f_6_1	Omi32_f_6_2	Omi32_f_6_3	Omi32_f_6_4	Omi32_f_7_1	Omi32_f_7_2	Omi32_f_7_3	Omi32_f_7_4	Omi32_f_8_1	Omi32_f_8_2	Omi32_f_8_3	Omi32_f_8_4	Omi32_f_F_1	Omi32_f_F_2	Omi32_f_F_3	Omi32_f_F_4	Omi32_f_F_5	Omi32_f_F_6	Omi32_f_F_7	Omi32_f_F_8
0000000000000	1	208	567	19	0	1743	128	0	9	206	117	0	2	1787	7	8	764	798	56	0	119	583	312	0	815	0	608	0	0	0	0	100	344	869	499	0	0	557	998	0	0	1045	311	39	0	1427	391	1	336	4	182	3	1663	6	2	0	528	0	61	0	1333	102	0	0	0	0	1	0	43	229	858	1
0000000000001	0	390	28	18	0	210	161	2	12	862	1	1	4	0	305	6	159	9	0	3	322	606	225	0	305	274	4	0	2	0	0	1	1	58	137	0	0	184	255	0	0	184	199	0	0	191	213	0	0	0	9	0	898	0	0	0	1142	0	0	0	605	1	0	0	0	0	0	0	0	201	162	0
0000000000010	0	404	476	19	0	204	377	66	10	300	0	276	309	740	8	8	1528	122	158	3	120	0	0	0	738	0	5	0	0	110	0	0	0	1103	373	300	0	121	374	0	0	791	151	0	0	649	624	2	0	1	15	1	1	1	0	0	2061	0	1	0	1584	0	0	0	1	0	0	0	0	368	859	68
0000000000011	1	2860	518	725	1	635	700	2	36	1682	51	119	432	688	1466	688	2029	22	0	10	1252	1898	3	0	2853	296	1088	0	1	2	0	1	324	2445	802	0	1	1819	2329	4	0	1209	2228	224	0	1161	299	2	2894	320	34	0	3466	1	3	0	2245	476	1	0	2565	201	0	0	0	0	77	0	90	1257	2713	49
0000000000100	3	4331	4924	985	1	5426	3514	691	42	4998	3323	11	884	8342	1387	45	4366	1481	4	176	4825	458	4	0	6718	858	16	0	365	454	6	576	1074	5843	1561	0	1	1013	7063	302	2	5913	7828	202	0	7273	2752	8	5977	5071	1630	9	3082	1215	9	2	13913	345	244	0	9137	316	347	0	2	0	131	184	127	2923	6611	27
0000000000101	1	1844	3597	248	0	526	1922	140	21	2489	1567	2	187	1452	1199	383	1845	364	639	7	837	524	3	0	2930	584	5	0	3	0	196	0	819	2749	337	1	0	257	2973	124	0	1502	2868	4	0	1151	881	2	1069	261	393	2	1291	3	1	0	2718	451	349	0	4950	1	183	0	1	0	85	127	63	1352	2010	56
0000000000110	1	1364	2045	747	0	1953	1717	352	9	3237	1151	390	285	3042	11	14	2546	1668	317	1	1855	437	0	0	2770	617	635	0	0	205	2	4	629	1922	333	0	0	289	3852	159	2	1152	2808	5	0	2901	3165	2	3150	1808	263	5	1617	168	7	0	6364	314	1	0	3391	90	0	0	0	0	95	0	0	1600	2458	0
0000000000111	1	1525	3439	2338	0	1678	1871	156	10	637	1407	1581	3	3769	1713	324	4379	305	995	2	1837	1743	0	0	5169	1606	658	0	5	81	39	53	1394	5273	1794	117	0	562	6953	449	0	1700	4585	2	0	3132	2600	1	4219	2761	247	6	2059	376	190	0	4048	1	2	0	6306	269	385	0	0	0	86	0	358	2245	3866	101
0000000001000	8	4305	1918	815	1	2425	2340	363	69	6248	1605	7	684	4987	1267	42	4044	1510	5	7	2507	1163	8	0	6918	636	15	0	163	202	3	2	1102	3675	966	0	5	3820	3082	139	0	5370	2942	78	0	5546	1266	1	4280	382	596	3	5772	4	7	0	9038	2037	308	0	7144	3	251	0	1	0	332	87	187	2024	4926	107
0000000001001	0	1177	0	17	0	464	306	0	9	619	0	0	0	581	364	338	68	491	0	0	90	551	0	0	1723	15	2	0	3	0	1	2	46	521	139	0	0	342	261	124	0	242	1	2	0	677	99	113	574	456	27	2	891	0	0	1	1070	0	0	0	298	0	0	0	0	0	44	0	0	364	667	72
