Mutation,Order 1,Order 2,Order 3,Order 4,Order 5,Order 6,Order 7,Order 8,Order 9,Order 10,Order 11,Order 12,Order 13
Mut 1,0.022897407360108757,0.03495483961530021,0.04693365938731914,0.05693660614505781,0.0678334714158628,0.07918557308245953,0.09208671154395089,0.10627780856212213,0.12034848343149929,0.1349923893410819,0.1356716083259406,0.059994454279785725,0.04188698750951131
Mut 2,0.10592507119431643,0.08034853525254895,0.07204313824072221,0.07982072921754071,0.08760478518778254,0.08812627067380213,0.07911552889705878,0.07246630973157435,0.07142157755179461,0.07440233378754667,0.08259962501803007,0.07727262920532847,0.028853466041953935
Mut 3,0.11118961839300748,0.13152795979274595,0.1549521614779256,0.16204965862593507,0.14337895553700084,0.11371557169282571,0.0833002615329702,0.05444375018229838,0.029814103919155906,0.012310617522552338,0.002978771086141655,0.00033841018124868786,1.600561921506571e-07
Mut 4,0.22100589082563715,0.17420795256600816,0.12237172048970574,0.06634522350109505,0.031214194150852952,0.011916995796866515,0.0045059463317796075,0.002061697539066315,0.0010045175526140124,0.0007472329840177811,0.0042634220923844475,0.14130573042272565,0.21904947574724667
Mut 5,0.1710273158091419,0.14638064935688117,0.1242570516667264,0.11390622947707582,0.10245585922050009,0.08691670844176205,0.07018446391244061,0.05588021999196397,0.04524396023091869,0.0384196158678778,0.03249611511193535,0.012173313073923268,0.0006584978388526045
Mut 6,0.010248486516949044,0.015189206963269261,0.02250278121632769,0.03268716983102493,0.0488248955700555,0.0709545244810245,0.10580809007908153,0.12648711457462578,0.1387770489864516,0.15805365804375587,0.14762920854847264,0.09781129480250744,0.02502652038645426
Mut 7,0.1586887018479746,0.16087321650105552,0.14519729454017768,0.1312467138701513,0.11131254491289237,0.09085930529569884,0.06762765171163336,0.04750864646022068,0.03364069854262883,0.024160462228804108,0.0160216864534903,0.008276216168349285,0.004586861466923113
Mut 8,0.027052902349425218,0.044656892147501806,0.05585746624371311,0.059208627504219895,0.05772783608871207,0.05725825899585593,0.05065998806588296,0.043497572284215066,0.03617549682502598,0.03101825161349531,0.06090386602759828,0.06364217223155466,0.4123406696227998
Mut 9,0.007705036092792577,0.019747756942218923,0.03358617233078915,0.048970815270774876,0.06804058190407986,0.09026056831525456,0.11571411693260131,0.1373018849739724,0.1549985853361926,0.1648102564876998,0.11175172399090018,0.037102761152981126,0.010009740269742636
Mut 10,0.0036032717416420593,0.014266425923683114,0.02376384354820382,0.029028786328903374,0.030201259373170166,0.0302118021245891,0.03178049911029709,0.03734202590535903,0.05189020828071532,0.08441118148250171,0.19273268311427594,0.2716284489335122,0.199139564133147
Mut 11,0.129205804570679,0.11812427005173665,0.10502959585383635,0.09619467467437187,0.09190756425029208,0.0856783795771419,0.07079940363257961,0.05220904060087254,0.038566713236614036,0.033674732868573934,0.04176136729319648,0.11678472630480177,0.02006372708530369
Mut 12,0.010828229565171316,0.032183074444898804,0.05694520866323582,0.07649323981030622,0.09667282063333181,0.11774869576843902,0.13858952087229623,0.15719164880904204,0.1482686839763295,0.10519355940987198,0.04848999712205265,0.010048779068527044,0.001346541856497878
Mut 13,0.020622263733154556,0.02753922044215153,0.03655990634131713,0.04711152574354304,0.06282523175546693,0.07716734575428023,0.08982781737742762,0.10733228038466738,0.12984992213005964,0.13780570836222084,0.1226999258155815,0.1036210641747547,0.03703778798537498
