FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,585/15 YG E-A,530/30 Blue B-A,Time
9.369730468750000000e+04,5.868300000000000000e+04,1.046392812500000000e+05,8.412653906250000000e+04,7.433500000000000000e+04,7.416853125000000000e+04,5.440000152587890625e+01,4.355000000000000000e+03,2.000000000000000111e-01
8.565678906250000000e+04,5.944900000000000000e+04,9.442721093750000000e+04,7.577967968750000000e+04,5.606100000000000000e+04,8.858739062500000000e+04,7.565000152587890625e+01,9.948160156250000000e+03,2.070000076293945224e-01
1.286754531250000000e+05,7.999900000000000000e+04,1.054122500000000000e+05,1.358163750000000000e+05,9.790600000000000000e+04,9.091232031250000000e+04,1.351500091552734375e+02,1.195347070312500000e+04,2.220000076293945357e-01
1.141585078125000000e+05,6.654300000000000000e+04,1.124309453125000000e+05,1.580282187500000000e+05,1.249620000000000000e+05,8.287749218750000000e+04,2.856000061035156250e+02,3.275496093750000000e+04,2.389999961853027377e-01
8.408089843750000000e+04,5.728500000000000000e+04,9.619142968750000000e+04,1.049032421875000000e+05,8.397300000000000000e+04,8.187082812500000000e+04,2.091000061035156250e+02,2.325369140625000000e+04,2.429999923706054610e-01
1.467943593750000000e+05,8.400300000000000000e+04,1.145234687500000000e+05,1.729162812500000000e+05,1.449870000000000000e+05,7.816039843750000000e+04,8.670000457763671875e+01,9.596410156250000000e+03,2.439999961853027421e-01
1.058619218750000000e+05,6.141000000000000000e+04,1.129745468750000000e+05,1.223192265625000000e+05,8.795000000000000000e+04,9.114625000000000000e+04,4.029000244140625000e+02,5.128983984375000000e+04,2.470000076293945301e-01
1.471990937500000000e+05,8.439100000000000000e+04,1.143112421875000000e+05,9.521571093750000000e+04,7.591900000000000000e+04,8.219360937500000000e+04,2.091000061035156250e+02,2.064940039062500000e+04,2.589999961853027277e-01
1.287669062500000000e+05,7.840500000000000000e+04,1.076317578125000000e+05,8.558446093750000000e+04,7.446500000000000000e+04,7.532214062500000000e+04,1.649000091552734375e+02,1.529007031250000000e+04,2.660000038146972945e-01
1.156689062500000000e+05,7.412300000000000000e+04,1.022688984375000000e+05,1.022734921875000000e+05,6.715800000000000000e+04,9.980339062500000000e+04,3.952500000000000000e+02,4.882960156250000000e+04,2.679999923706054554e-01
1.391137343750000000e+05,8.664600000000000000e+04,1.052207500000000000e+05,1.175019218750000000e+05,1.009580000000000000e+05,7.627535156250000000e+04,1.649000091552734375e+02,1.761028125000000000e+04,2.829999923706054688e-01
8.229850781250000000e+04,5.212000000000000000e+04,1.034826406250000000e+05,7.148028906250000000e+04,5.922800000000000000e+04,7.909321093750000000e+04,1.776500091552734375e+02,1.923972070312500000e+04,3.200000000000000067e-01
1.272075312500000000e+05,7.794700000000000000e+04,1.069530937500000000e+05,1.115422734375000000e+05,8.264800000000000000e+04,8.844781250000000000e+04,1.657500000000000000e+02,1.530145996093750000e+04,3.240000152587890758e-01
1.611590781250000000e+05,1.047250000000000000e+05,1.008519687500000000e+05,1.472184375000000000e+05,1.152700000000000000e+05,8.370007812500000000e+04,2.728500061035156250e+02,3.400719140625000000e+04,3.250000000000000111e-01
9.596113281250000000e+04,5.622200000000000000e+04,1.118585078125000000e+05,7.259651562500000000e+04,6.002600000000000000e+04,7.926040625000000000e+04,1.768000030517578125e+02,1.367001074218750000e+04,3.300000000000000155e-01
1.687417656250000000e+05,1.085050000000000000e+05,1.019184375000000000e+05,1.172788125000000000e+05,9.297300000000000000e+04,8.266900000000000000e+04,1.546999969482421875e+02,2.308619140625000000e+04,3.300000000000000155e-01
7.028315625000000000e+04,4.573400000000000000e+04,1.007145078125000000e+05,7.391707812500000000e+04,6.571000000000000000e+04,7.372135156250000000e+04,1.079500045776367188e+02,1.270186035156250000e+04,3.320000076293945224e-01
9.373506250000000000e+04,5.976300000000000000e+04,1.027897109375000000e+05,1.275559453125000000e+05,1.024590000000000000e+05,8.158880468750000000e+04,2.601000061035156250e+02,2.784855078125000000e+04,3.350000000000000200e-01
7.592945312500000000e+04,4.916600000000000000e+04,1.012104453125000000e+05,1.143803906250000000e+05,7.989800000000000000e+04,9.382003906250000000e+04,2.218500061035156250e+02,2.653937109375000000e+04,3.490000152587890425e-01
1.090278671875000000e+05,6.280700000000000000e+04,1.137651875000000000e+05,1.408185937500000000e+05,1.020110000000000000e+05,9.046757031250000000e+04,1.793500061035156250e+02,2.136965039062500000e+04,3.920000076293945201e-01
1.216939843750000000e+05,6.906300000000000000e+04,1.154791562500000000e+05,1.113935312500000000e+05,9.367500000000000000e+04,7.793207031250000000e+04,1.470500030517578125e+02,1.721766015625000000e+04,3.940000152587890825e-01
1.345624687500000000e+05,8.982400000000000000e+04,9.817739843750000000e+04,1.379262031250000000e+05,9.870400000000000000e+04,9.157816406250000000e+04,1.632000122070312500e+02,2.011072070312500000e+04,3.940000152587890825e-01
1.086384687500000000e+05,6.299500000000000000e+04,1.130205703125000000e+05,1.420158906250000000e+05,1.086550000000000000e+05,8.565785156250000000e+04,3.561500244140625000e+02,3.850892187500000000e+04,3.940000152587890825e-01
8.651464843750000000e+04,5.091000000000000000e+04,1.113695546875000000e+05,1.067899609375000000e+05,9.185900000000000000e+04,7.618836718750000000e+04,1.521500091552734375e+02,1.297387988281250000e+04,4.029999923706054643e-01
1.549316406250000000e+05,9.260100000000000000e+04,1.096489218750000000e+05,1.270474140625000000e+05,9.807700000000000000e+04,8.489432031250000000e+04,2.252500000000000000e+02,2.033851953125000000e+04,4.050000000000000266e-01
8.548155468750000000e+04,5.002600000000000000e+04,1.119841562500000000e+05,8.653050000000000000e+04,7.102700000000000000e+04,7.984094531250000000e+04,6.290000152587890625e+01,8.344850585937500000e+03,4.309999847412109286e-01
9.550270312500000000e+04,6.038400000000000000e+04,1.036510546875000000e+05,1.244525000000000000e+05,1.093440000000000000e+05,7.459137500000000000e+04,1.232500000000000000e+02,1.060878027343750000e+04,4.359999847412109331e-01
