,1,1,2,3,4,5,6,7,8,9,10,11,12,13,1 2,1 3,1 4,1 5,1 6,1 7,1 8,1 9,1 10,1 11,1 12,1 13,2 3,2 4,2 5,2 6,2 7,2 8,2 9,2 10,2 11,2 12,2 13,3 4,3 5,3 6,3 7,3 8,3 9,3 10,3 11,3 12,3 13,4 5,4 6,4 7,4 8,4 9,4 10,4 11,4 12,4 13,5 6,5 7,5 8,5 9,5 10,5 11,5 12,5 13,6 7,6 8,6 9,6 10,6 11,6 12,6 13,7 8,7 9,7 10,7 11,7 12,7 13,8 9,8 10,8 11,8 12,8 13,9 10,9 11,9 12,9 13,10 11,10 12,10 13,11 12,11 13,12 13
1,2.1637035111042044e-06,4.301874197634225e-09,-1.0665205437002918e-09,1.657595039647994e-09,-4.300138197104773e-09,-2.726244577003709e-09,-4.3272522720961405e-09,-2.3273319061814093e-11,2.183919524901605e-09,3.808719065943686e-09,-1.0901656616254294e-09,-5.383568948864008e-09,5.332642443548567e-10,-1.6243963337680278e-09,1.6370047070600778e-09,1.0690470078033456e-09,5.269402598945978e-10,-9.360732005868114e-12,4.976673348337264e-10,-5.395717569448912e-10,5.434912322584892e-10,1.0953249982349151e-09,-5.538990162275155e-10,-3.791213690227256e-09,-2.162805435747104e-09,1.075000700664417e-09,-3.2284894336076846e-09,-2.674722882448043e-09,1.06930540203393e-09,-5.481448789326011e-10,-2.709429334283039e-09,-5.2438800653172e-10,1.3748514495146802e-11,-1.6135682379178208e-09,-5.36352345325133e-10,-2.1426254019983652e-09,3.189993197054966e-09,-4.745832351809435e-11,-3.784963743667439e-09,-2.977581147737258e-11,1.0650796077956523e-09,2.183658305479725e-09,-4.981926148553458e-10,1.0654154117450558e-09,-1.1042497277386063e-09,1.6168722706987298e-09,-5.319730711512577e-10,2.1911432501683215e-09,-1.5704490798185806e-09,2.701919791255795e-09,-3.776844789990352e-09,-2.171360779338414e-09,-5.285040605907325e-10,-5.262639164748093e-10,1.0638496527472652e-09,1.9210892459345093e-11,1.1072965089954264e-09,1.076045448603651e-09,-1.0865946537401992e-09,-5.819139405960782e-10,-1.0518520634815061e-09,1.0997667848889895e-09,-1.6142761765717569e-09,-1.6022242772453625e-09,1.6414967348991212e-09,-2.718023969219802e-09,-4.34799863201367e-09,3.779329660954343e-09,3.785586604606164e-09,4.603322388051031e-12,1.0951195465610312e-09,-5.457454997924404e-10,-3.2195568474119395e-09,5.335010906167507e-10,-2.6538171616224647e-09,5.400542839591867e-12,2.1787592720956918e-11,3.2437833016066246e-09,5.248636696659534e-10,-1.6395296623418213e-09,-2.1459441188728137e-09,1.0659978239151433e-09,-1.0956330377471512e-09,-2.1940238151993828e-09,1.5918305259821205e-09,-5.510883298004201e-10,2.71870468599847e-09,3.2366755941112238e-09,1.0730939749774782e-09,2.1555414481691724e-09,2.3720759372049776e-11,5.460104812056102e-10
1,4.301874197634225e-09,2.1636759436785134e-06,1.6293272568946767e-09,1.0639973242646476e-09,5.331219396908791e-10,-2.0810870278754782e-11,5.167028524331891e-10,-5.451748000711278e-10,5.244675764850351e-10,1.0891719591746352e-09,-5.361893308221927e-10,-3.769005223210902e-09,-2.1588794498256875e-09,1.0740192258118159e-09,-1.0542718686963797e-09,1.606835226417852e-09,-4.280618617712362e-09,-2.6949300642938972e-09,-4.307589047466638e-09,-1.5410458092307843e-13,2.163586168031044e-09,3.769540355809704e-09,-1.0915879610072373e-09,-5.399677273736972e-09,5.174257554032963e-10,-1.6052497877573205e-09,-2.6752888736521032e-09,-3.232352120332094e-09,-3.766285928882404e-09,-1.0943946903143309e-09,-2.1689518881410257e-09,1.0824911195394505e-09,5.477597680911661e-10,-2.1620338991229386e-09,-2.1441206833996234e-09,5.221310700940364e-10,5.316551373104111e-10,5.284500537996858e-10,-1.0815887368961147e-09,5.482293662295906e-10,5.307110339809665e-10,-1.5818173279409383e-09,-3.2142905120679024e-09,-5.279789987019676e-10,-1.6053451616010145e-09,-1.0745032984879998e-09,2.275903386727656e-11,1.6134114069012602e-09,-4.280794957873721e-09,1.0816623988275371e-09,-2.1403833285329126e-09,5.395392608962527e-10,-1.075560063711595e-09,2.74762772249623e-12,1.6370930246120187e-09,-2.680282458715429e-09,5.34548056907328e-10,1.6101059908462792e-09,5.364565978663487e-10,-3.8322648664266115e-12,5.504379721466433e-10,1.6224262624439924e-09,1.072490567021642e-09,-4.30427748412949e-09,2.1711142956201507e-09,1.0814593093511566e-09,-1.6314958410794505e-09,1.0912088405555372e-09,7.633739151978264e-12,5.44588538529755e-10,5.403646180472526e-10,-6.873758910196867e-12,5.162698718182295e-10,1.1096647269324522e-09,1.089537491212028e-09,-5.226921878123928e-10,5.419891018950817e-10,-5.391320081343665e-10,2.153442512813759e-09,1.0560628287907653e-09,-3.760289086142468e-09,5.454412447264618e-10,-5.478317942029672e-10,-2.700231711850996e-09,-1.0932224119813768e-09,-9.688012338162143e-12,-1.0781709728373068e-09,1.6081042640443414e-09,-1.6100343808476806e-09,1.6132576880157671e-09,5.254789079779578e-10,1.0784598972684726e-09
2,-1.0665205437002918e-09,1.6293272568946767e-09,2.163691683106989e-06,-3.229732624277854e-09,-2.6958878271102238e-09,1.0660649611731912e-09,-5.297013748872257e-10,-2.7162189454468786e-09,-5.396924991591346e-10,1.1329893915469035e-11,-1.6048383862545482e-09,-5.392541883351153e-10,-2.1418590893715547e-09,3.21642631994117e-09,4.307582763976589e-09,-2.6842343019520715e-09,-3.2425012604173963e-09,-3.764095070645613e-09,-1.0805574149439132e-09,-2.1652784088359285e-09,1.0693353986043589e-09,5.568303628108542e-10,-2.1439782729143647e-09,-2.1546709627882775e-09,5.39195768740761e-10,5.279570369386573e-10,1.6169210462673561e-09,-4.28844698486975e-09,-2.7086251097647378e-09,-4.298096315445873e-09,-1.2378620396630021e-11,2.132291940806385e-09,3.754130028056139e-09,-1.0906031115708796e-09,-5.376260887650616e-09,5.354858939170471e-10,-1.6047306856731705e-09,-1.5984081530200047e-09,1.0648923723487928e-09,2.690515172089845e-09,-5.402165343165307e-10,5.28052074878634e-10,-1.0895358251194166e-09,-5.241956331138477e-10,5.486752669336141e-10,-3.163342388494725e-12,-1.0714477695572527e-09,-1.6085308697171445e-09,3.2233525824515735e-09,1.086971570464628e-09,1.0628540626374592e-09,1.5935466999611088e-09,1.6002628541408272e-11,3.2275598075217435e-09,-5.273678040095691e-10,-5.30111159022978e-10,-5.225115647314693e-10,1.6148828039748923e-09,-5.264634431945571e-10,1.0772533539968805e-09,1.6234320454702614e-09,5.45091964297481e-10,1.0852408128806368e-09,-2.138684184627201e-09,2.1759154620027483e-09,4.711203503882349e-12,-2.6858424057465423e-09,-2.1534898589831026e-09,-3.214772093229215e-09,5.296640184996105e-10,5.33294191436916e-10,-1.4414797526815916e-11,-1.6276743489960796e-09,1.104982056226936e-09,1.1103296685364512e-09,-1.602627078826786e-09,-5.333804325469816e-10,-1.6047395718698034e-09,3.227072001332315e-09,2.159338268137769e-09,4.830572403809489e-09,-1.6122926135694362e-09,-1.6064430816962453e-09,5.267592778921548e-10,1.067129356730104e-09,-2.1385754112182674e-09,-2.1334763141398656e-12,-5.317153673597938e-10,5.099330480521046e-10,-5.392155248171661e-10,5.302214510669684e-10,2.1658813072264157e-09
3,1.657595039647994e-09,1.0639973242646476e-09,-3.229732624277854e-09,2.163692607673652e-06,-3.4997109386852346e-11,-3.789764973608358e-09,-4.4904969088452213e-11,1.068632099904355e-09,2.1855148411153334e-09,-4.913225161396455e-10,1.0666365288194782e-09,-1.1040036245761268e-09,1.6203262616928415e-09,-5.424470078348719e-10,-2.655494352964575e-09,4.295509369335434e-09,5.431394205366569e-10,-1.0773181265771513e-09,5.376186235464815e-10,5.514711568166211e-10,-1.5970272082565181e-09,-3.2213164897046883e-09,-5.295832060007747e-10,-1.6192385991782859e-09,-1.0860068640566653e-09,1.702754207491998e-11,-1.073925214110848e-09,-1.601870750439215e-09,1.0874735276652724e-09,2.691074063499514e-09,-5.413278509812781e-10,5.302473503154112e-10,-1.0971288665799126e-09,-5.29412975580386e-10,5.514985131486272e-10,1.8039024830607382e-12,-1.070138821640378e-09,-4.3017455006066346e-09,-2.70108823330324e-09,-4.317981039257932e-09,-1.1969167685997822e-11,2.188259928274528e-09,3.793550569305698e-09,-1.0826648977311043e-09,-5.3761368537797326e-09,5.266047712745432e-10,-1.60607138985848e-09,4.321649964108155e-09,-5.121407982968871e-10,-1.5953391674016981e-09,-5.712663830574341e-10,-1.104018142063136e-09,5.451572604144395e-10,5.516474604730786e-10,-1.082109277457225e-09,-1.5791719779503212e-12,1.0901382920657787e-09,2.151812518121817e-09,-3.254866278812452e-09,-4.8517657406975376e-09,-3.2170445297093167e-09,1.0900832924358782e-09,-5.431745470725373e-10,-5.268066114941755e-10,1.6113991236066297e-09,-3.779416561048721e-09,-3.237109197599836e-09,5.610023340491116e-10,5.669623702090576e-10,-2.1453008989384985e-09,1.0887215187775357e-09,-5.32049372703593e-10,1.0640538844315337e-09,-1.6196381716899123e-09,1.5814467842950792e-09,1.0587235967967712e-09,1.0899599670905557e-09,4.303915847669463e-09,-5.499186811262981e-10,-2.7131998414141933e-09,8.007416548361869e-12,1.0789079388770652e-09,1.891986312319167e-12,-1.087160101486931e-09,1.6277226406464975e-09,1.5915182755253848e-09,1.6267549487050385e-09,1.0925528700852299e-09,1.0806820253324921e-09,2.1433069819946856e-09,6.081100216734566e-12,-2.680307480698086e-09
4,-4.300138197104773e-09,5.331219396908791e-10,-2.6958878271102238e-09,-3.4997109386852346e-11,2.1636952799582764e-06,2.168354008732996e-09,-1.5797374689589186e-09,2.6935048287862196e-09,-3.811867549114371e-09,-2.1785489247490352e-09,-5.336065080552532e-10,-5.068524719741315e-10,1.0794888948730672e-09,-8.3404576785196e-12,-3.2505066509411106e-09,5.380288881909967e-10,4.303840126778528e-09,1.612499760821073e-09,-4.288170721388312e-09,1.0753341290352103e-09,-2.163637774022064e-09,5.384356483899577e-10,-1.0766785469458354e-09,1.470619823675432e-11,1.6309909866006573e-09,-2.687951869129546e-09,-1.6030951616228042e-09,-1.0701915504050779e-09,-1.6000380797229579e-09,3.2222593025208865e-09,1.0791055840022497e-09,1.0805639764765082e-09,1.5952126380906503e-09,2.0493077996624887e-12,3.220090182655978e-09,-5.500588696802813e-10,-5.071888812689485e-10,1.644336845088017e-09,4.30952778071678e-09,-5.179270630246792e-10,-1.5940123530970296e-09,-5.805815781678033e-10,-1.1016966100544074e-09,5.281844391260099e-10,5.623732506402094e-10,-1.0640648743797773e-09,-5.7486062801177894e-12,-2.706798480599091e-09,-4.315299109714964e-09,-1.065295032216436e-11,2.1618544115763407e-09,3.783632934334437e-09,-1.0737944592741685e-09,-5.373462731706191e-09,5.535738902300288e-10,-1.6129169285759902e-09,5.212322082032059e-10,5.347998195378408e-10,2.7051833057951494e-09,-1.045582540681594e-09,5.396899912692131e-10,5.106596951904715e-10,1.6039124449788495e-12,-1.0630081157803785e-09,-3.251808236980401e-09,3.2502638534978903e-09,1.644540408687202e-09,-1.0827822462434775e-09,1.0587451449627666e-09,-5.327938563751483e-10,-5.596549026147753e-10,-1.072373579502277e-09,2.689090136970059e-09,-2.1539207408648293e-09,1.0531792221390697e-09,1.608436701407123e-09,-1.6395219731773885e-09,-3.790367325717139e-09,-8.442258625741884e-12,2.179351679327832e-09,-2.7012052299678906e-09,-5.188346834371749e-10,5.457374850373906e-10,-5.248650164404551e-10,-1.066771222145758e-09,2.1494196081462286e-09,-2.158085656418789e-09,-1.6177192276466455e-09,-5.467565811798522e-10,-2.6896278754619726e-09,5.240563630379715e-10,-1.0965814220503054e-09
5,-2.726244577003709e-09,-2.0810870278754782e-11,1.0660649611731912e-09,-3.789764973608358e-09,2.168354008732996e-09,2.1636861924343276e-06,1.1126912732501877e-09,1.0680264686947035e-09,-1.103944240858859e-09,-5.884568700957581e-10,-1.0459327598230773e-09,1.1131538191568762e-09,-1.6126764529720252e-09,-1.6117454898905137e-09,-3.757451118974258e-09,-1.0833669442853959e-09,1.6042353629947766e-09,4.293330181473992e-09,5.358334248636109e-10,1.6027827458783592e-09,5.370318421317236e-10,-1.730362840529399e-11,5.411183261191573e-10,1.6302985192431668e-09,1.0702140453560935e-09,-4.308250341161181e-09,1.0903351370975114e-09,-1.598239771181518e-09,-1.0794420525329195e-09,-5.367067937693827e-10,1.6278607305840798e-09,-5.157497641087498e-10,1.0684967859065166e-09,1.615552627847735e-09,5.404266759849744e-10,1.063826731709896e-09,-2.1239071234947135e-09,4.321805144584544e-09,1.6400035589584426e-09,1.0905197502480367e-09,2.135181262008015e-09,-3.264391315752153e-09,-4.846587649447421e-09,-3.203474922390817e-09,1.100498516019685e-09,-5.384667956391927e-10,-5.253088622565096e-10,-4.308885372141723e-09,5.113646878675403e-10,5.278188912813924e-10,2.7090205680927408e-09,-1.0377110226716132e-09,5.221871065663038e-10,5.146142820036103e-10,9.594456478968629e-12,-1.077685014258423e-09,-4.298084212637605e-09,-5.46829571291615e-12,2.1749531996135793e-09,3.788097828878778e-09,-1.0680858401667762e-09,-5.368897485804063e-09,5.360095909866589e-10,-1.5965596557538185e-09,-1.620232389178267e-09,5.644364270094056e-10,2.187540430471245e-09,-2.698790197519454e-09,-2.7016622843992072e-09,1.0931513369472041e-11,-1.0870824974628672e-09,-1.6088814922584458e-09,-1.0550697347374412e-09,5.320417962538867e-10,-5.342828916908924e-10,1.9533806987755704e-11,-2.151241685500177e-09,1.0329969883814459e-09,-1.5959115611767885e-09,5.547863154949215e-10,-1.4400726440026116e-11,-1.0625303874792096e-09,1.7793644476011547e-11,1.1032635384915402e-09,-1.6226500694009263e-09,-1.6045482091675381e-09,-2.7111278575434646e-09,-2.1575830010886864e-09,-9.195675025962151e-12,-1.0745066315108304e-09,1.0743020419960967e-09,1.606329709644969e-09
6,-4.3272522720961405e-09,5.167028524331891e-10,-5.297013748872257e-10,-4.4904969088452213e-11,-1.5797374689589186e-09,1.1126912732501877e-09,2.1637123513806873e-06,1.6350438159869616e-09,-2.7035105285549436e-09,-4.346344470967615e-09,3.782712111194671e-09,3.800874520086635e-09,-1.8319324851399558e-11,1.1140448626212654e-09,-1.1035741230929872e-09,5.41919084295374e-10,-4.2817597758113226e-09,5.282106387394302e-10,4.301747362520947e-09,2.1776347348548238e-09,1.0914066552118115e-09,-1.6379074649762853e-09,1.079842538318099e-09,2.761265905904875e-11,5.39490343315096e-10,5.401488419775857e-10,2.6768607520596566e-09,3.221098164385156e-09,-5.386543011472851e-10,-1.0626291691281226e-09,2.1738111408887713e-09,-9.210073253626371e-12,-2.692898385216318e-09,-2.1404084559897116e-09,-3.211877301629521e-09,5.215176915753697e-10,5.259377754395877e-10,-5.099572661790915e-10,1.0993487480226617e-09,1.6584119342498906e-09,1.6129875945575388e-09,-3.7753747262341574e-09,-3.251808541363478e-09,5.526069466983885e-10,5.793697615898077e-10,-2.157674564863104e-09,1.0985461087929707e-09,5.094782617427275e-10,-4.318588199861574e-09,-3.2409414798384795e-09,3.25396507426447e-09,1.6483799030136829e-09,-1.1071932491147972e-09,1.04844230318472e-09,-5.30123846716449e-10,-5.655728422734389e-10,-2.7474988866019454e-09,-1.6179248325327885e-09,5.432356235143703e-10,2.1849721953683163e-09,-2.7120853841409286e-09,-2.7080113508752382e-09,2.354898366315746e-12,-1.0978851043617196e-09,-1.6101646381856273e-11,2.195454730978187e-09,3.802141150661998e-09,-1.0922589634523047e-09,-5.409187551379683e-09,5.360890369264267e-10,-1.6295633490437072e-09,3.2382545953327532e-09,1.6263069848015185e-09,3.2167526327628945e-09,-2.770554377255276e-11,-5.584052299616631e-10,5.43864980437815e-10,-5.711743147049186e-10,1.095861488441186e-09,1.0834051549095525e-09,-5.238143839949257e-10,1.640741149929221e-09,5.724375007682958e-10,3.80105619101124e-09,-2.1432556992546517e-09,1.0852102284684985e-09,-2.1936986714038194e-09,-5.527090255250418e-10,-1.6122382368953933e-09,5.496598468595546e-10,-2.7264881773414906e-09,-1.0879151024357472e-09
7,-2.3273319061814093e-11,-5.451748000711278e-10,-2.7162189454468786e-09,1.068632099904355e-09,2.6935048287862196e-09,1.0680264686947035e-09,1.6350438159869616e-09,2.163669700984913e-06,-5.574307719788678e-10,-3.2318364174456816e-09,5.437863064415118e-10,-2.6413847126342815e-09,-5.003880382002515e-13,8.202844167975045e-12,-2.182415990180531e-09,5.63637563345361e-10,1.0756918701843298e-09,1.6006370193356906e-09,2.1632330062681736e-09,4.305657326504978e-09,-7.301303847999615e-12,5.087311841958113e-10,1.0912034723842634e-09,1.094454682518696e-09,-5.267958264095314e-10,5.460957850006213e-10,-5.374641721881372e-10,1.0921938048640173e-09,1.618017254735852e-09,2.1669597997563313e-09,-1.0526419325311635e-09,-3.772649144660413e-12,-1.647398393188654e-09,1.0841826224401687e-09,1.102308808374723e-09,-1.6142846803122519e-09,-5.21158549381002e-10,-1.5948981463211136e-09,2.1499573649079183e-09,1.6170647272959817e-09,1.6123027537576637e-09,-5.516537845745293e-10,1.070647552793759e-09,-1.6030695134306295e-09,1.602198043127572e-09,1.0484639948587149e-09,1.0933099967656186e-09,5.367911503614314e-10,-3.2417481578188513e-09,-4.295035270985008e-09,-1.064213668841484e-09,2.6923606354683315e-09,-2.1546010084326455e-09,1.049479376881456e-09,1.626489485929036e-09,-1.6309126399385428e-09,-1.6363484918355592e-09,-2.6928519541200717e-09,-1.5936299349548242e-09,-1.053712015498862e-09,5.224362749767071e-10,-5.356044925408295e-10,1.1284180329321294e-12,-2.153456018761541e-09,-4.3018397963552326e-09,3.2454540732401847e-09,1.6381913104489063e-09,3.217227045749285e-09,-2.6360166476535897e-11,-5.476379535549322e-10,5.399879609963316e-10,2.1663409625666557e-09,3.7727087763128294e-09,-1.075013665450395e-09,-5.368463084638686e-09,5.386306458469652e-10,-1.6020965640741098e-09,5.165370170473889e-10,1.6626502375238535e-12,-1.0627916591195772e-09,-5.624846002123694e-10,2.6981875786967858e-09,5.563374558779564e-10,5.545532546614772e-10,-1.0788177492684426e-09,1.0747873275474979e-09,-1.0888657761061356e-09,-1.6218040285989737e-09,2.685158963421092e-09,5.337470923437616e-10,5.134041254845637e-10,-4.305502085278917e-09
8,2.183919524901605e-09,5.244675764850351e-10,-5.396924991591346e-10,2.1855148411153334e-09,-3.811867549114371e-09,-1.103944240858859e-09,-2.7035105285549436e-09,-5.574307719788678e-10,2.1637094336194334e-06,3.264328222950463e-09,5.255227161372089e-10,-1.6420674370755981e-09,-2.1493244671872274e-09,1.045236801454708e-09,1.0782350756992493e-09,-1.5818168607753456e-09,-2.1546461767473167e-09,5.256168126450017e-10,1.0873190659948423e-09,-8.729084293935538e-12,4.299019248608175e-09,-5.263621557103414e-10,2.1592816569419066e-09,1.0489409364813721e-09,-3.759558234483825e-09,5.509947897019179e-10,5.400922527042527e-10,1.061756480639459e-09,-5.08297316424943e-10,1.1425489895759023e-12,-1.888872087728226e-11,-1.0859571316476717e-09,-1.6201244559128824e-09,3.2276186830700866e-09,2.1513021754841675e-09,4.836165473536229e-09,-1.619285758018183e-09,-5.656169312624583e-10,-3.2578384025910844e-09,-3.789544098804798e-09,-5.450669264154474e-10,1.6606192673681814e-09,4.332591816814634e-09,-5.647635229881789e-10,-2.720776290809945e-09,-7.83352624676528e-12,1.0723657918938335e-09,2.706436567609196e-09,3.255223226240627e-09,-1.0749623411953916e-09,-4.3070369344431426e-09,-3.805515272540308e-09,2.211659195486306e-11,2.193763755761884e-09,-2.6714021455159403e-09,-5.176682473213531e-10,5.566789139508274e-10,-1.6072605034281608e-09,-2.7144037691392434e-09,1.0379676884013433e-09,-1.602479859746868e-09,5.673233205743814e-10,-5.7825560128556134e-12,-1.0564008565705752e-09,3.2401535154668714e-09,-4.315009340128116e-09,-5.721976906450683e-10,1.0872134575752254e-09,1.0948677287575615e-09,-5.365853788427359e-10,1.6408347224198682e-09,-6.135960082953049e-13,5.092327622026656e-10,2.684299856166874e-12,-1.0585096902432157e-09,-5.29480768324915e-10,2.7068023328124137e-09,3.796448969457854e-09,-1.0773959701513297e-09,-5.397526153737282e-09,5.472438888401173e-10,-1.618293508857301e-09,5.20267715379151e-10,-5.592519000945248e-10,1.0615795124344511e-09,-2.162251437265243e-09,2.384036468285387e-11,5.462317476504957e-10,1.6331673981206494e-09,1.622435842482138e-09,2.6934581328465304e-09,3.2203710417628453e-09
9,3.808719065943686e-09,1.0891719591746352e-09,1.1329893915469035e-11,-4.913225161396455e-10,-2.1785489247490352e-09,-5.884568700957581e-10,-4.346344470967615e-09,-3.2318364174456816e-09,3.264328222950463e-09,2.1637025202296086e-06,-1.0981724836657696e-09,-2.1947986122601785e-09,1.5964964564381017e-09,-5.517510734698112e-10,5.739976666530537e-10,-3.214955783187427e-09,5.234723349244744e-10,-1.668143949737142e-11,-1.6210206080492516e-09,4.891063003634172e-10,-5.256490553275184e-10,4.299006671340456e-09,-5.451533208324012e-10,-2.69835545373177e-09,-1.0960817968154615e-09,6.738537720566771e-12,-1.089293643111695e-09,1.5878067992637378e-09,1.0720097493485252e-09,-2.685343781147772e-09,-1.6393559879786993e-09,-1.611885472357515e-09,-1.0401809424234697e-09,-1.6042523142223115e-09,5.274162701392356e-10,1.0805526655636511e-09,-2.145772671977659e-09,-1.1024135123986875e-09,-4.852965912597456e-09,-3.238171418259206e-09,1.0539493273898433e-09,4.313782429455675e-09,1.6439059988439786e-09,6.690484354834826e-12,-1.0921869646516113e-09,1.6340375296897587e-09,1.5919681655461074e-09,-1.0437321412191744e-09,1.6442301780181408e-09,2.6890437085084013e-09,-3.782435630309126e-09,-4.313111268717391e-09,5.544051803693797e-10,-5.110891305681069e-10,-1.0699236465545716e-09,2.1736247364668624e-09,2.1957638022660198e-09,-1.048359583041935e-09,1.0503134627563248e-09,-2.705388898071656e-09,1.8642303056479092e-11,1.1077768488393123e-09,-1.6239525506511917e-09,-1.5928510173524481e-09,1.6407464631023282e-09,-5.856756091986903e-10,-4.333301336953263e-09,5.584414381299375e-10,3.8016584218507156e-09,-2.138244980633218e-09,1.083074320548378e-09,5.168403359411857e-10,-2.6632024108009103e-11,5.290245475216079e-10,5.548903053195685e-10,-1.0623198694736413e-09,1.0809454582148683e-09,2.1840297710985202e-09,5.267089519219124e-10,-5.688798937144692e-10,1.0730521789454635e-09,-2.165257554432493e-09,-1.0951779982501835e-09,-5.391850547907707e-09,5.403391855108185e-10,-1.612186341292829e-09,2.7100667057705415e-09,1.087985207740924e-09,1.0737226082579228e-09,-1.0603198359658416e-09,1.092617960038408e-09,3.766950496064383e-09
