"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","586_15 YG D-A","530_30 Blue C-A","Time"
90761.6,64578,92108,69769.4,59754,76520.6,900.9,36594.7,0.202
88185,69185,83533.9,27454.3,25241,71282.7,148.61,11991.6,0.202
96736,58673,108051,69926.4,58473,78372.9,636.79,45822.2,0.202
129320,81964,103400,84531.6,69004,80283.2,472.78,95541.8,0.203
103099,79916,84547.4,34206.5,30145,74365.8,143.22,29512.1,0.203
122370,81740,98111.5,57044.9,49160,76047.5,701.47,25025.8,0.203
61540.5,40071,100649,56474.6,49947,74101,738.43,40968.7,0.203
109649,80430,89343.9,64327.7,57447,73385.5,432.74,80949.6,0.203
101574,66929,99460.3,84478.3,69081,80143.2,1054.9,82474.6,0.203
83209,61193,89114.5,77443.9,67508,75181.7,543.62,27019.4,0.203
100094,67672,96934.7,65450.2,56808,75506,544.39,53003.5,0.204
80746.9,61189,86483.3,45995,40541,74352.7,266.42,28083.6,0.204
92148.5,57732,104605,69029.3,57584,78561.8,319.55,46098,0.205
106544,72285,96596.4,71762.4,61229,76810.4,549.01,80259.8,0.205
91450.2,64388,93080.7,72033.8,60008,78669.7,968.66,66022.6,0.205
97849,71931,89149.7,49513.7,43846,74007.4,453.53,28813,0.205
89105.9,58285,100191,55640.2,47693,76456.4,409.64,33048,0.205
78855.7,59257,87211.4,32626.8,28989,73760.1,503.58,24814.1,0.206
108500,72641,97888.1,75170.2,62261,79124.2,875.49,41628.2,0.206
98476.2,71526,90229.2,50652,44962,73829.7,405.79,25680.2,0.207
122175,79752,100397,76765,65361,76970.5,1034.88,52082.6,0.207
79212.2,53854,96394.8,57200.4,49587,75598.2,291.83,14911.9,0.208
124008,81511,99703.9,86078.9,74335,75889.8,524.37,49865.8,0.208
102376,72377,92699.2,67204.1,56349,78160.9,648.34,34140.2,0.208
77776,55637,91614,57363.8,49973,75228.6,679.91,37382.4,0.209
85683.2,62878,89305.2,37994.4,34855,71438.9,196.35,16081.2,0.209
82083.2,58873,91373,38272.3,33764,74286.7,380.38,33873.8,0.209
95237.8,65116,95852,72882.7,64277,74310.3,780.01,20277.4,0.211
89954.6,63152,93350.4,55112.4,48480,74501.8,421.96,33212.2,0.211
93358.1,63184,96833.3,43390.1,38344,74160.6,210.21,23037.8,0.211
128516,88956,94680.7,73440,63548,75737.5,926.31,42348.2,0.212
83848.3,55462,99078.4,67677.8,60042,73870.5,635.25,13570.6,0.212
62022.4,46689,87059.1,45094.3,38445,76870.9,477.4,28423.4,0.212
116254,74474,102302,77413,64439,78730.8,800.03,48879.4,0.213
100292,72469,90697.6,58433.8,52569,72847.4,538.23,18607.7,0.213
73582.1,53137,90751.7,40725.4,35705,74750.8,565.18,30998.9,0.213
103675,75801,89635.2,58259.5,53204,71763.3,882.42,21535.9,0.213
106826,68672,101947,66884.4,57864,75752.4,944.79,45594,0.213
92705.3,69653,87225.7,59417.3,53805,72371.9,605.22,39595.7,0.214
104573,70705,96928.4,87520.3,74437,77054.9,1158.85,61501,0.214
117106,82283,93271.4,61889.8,53974,75147.4,442.75,31707.4,0.214
106218,79899,87124,44744.4,40662,72115.7,466.62,34427.5,0.214
75046.4,54102,90906.8,48877.9,44638,71760.9,619.08,22893.8,0.215
69957.8,52331,87610.6,39497,36118,71667.3,485.1,26087,0.216
101953,71336,93663.3,59944.3,52895,74270,785.4,66844.1,0.216
111835,74027,99007.3,94639,79611,77907.1,810.81,31963,0.217
69067.5,51451,87975.1,48528,43606,72933.3,476.63,28095.1,0.217
109057,67588,105746,74760.5,61516,79646,646.03,36068.4,0.217
136152,85788,104011,116004,91429,83151.5,818.51,67719.6,0.218
75146.2,53181,92604.2,54558.7,46672,76610.4,554.4,56124.7,0.219
82034.6,68827,78112,81351.4,71103,74982,6065.29,9595.44,0.219
63045.1,41887,98639.8,57397,47986,78388.9,502.04,32378.4,0.219
84565.1,58265,95118.2,65098.8,57284,74476.6,684.53,25485.1,0.219
96950.4,62693,101347,92008.1,75901,79443.5,830.06,48124.8,0.219
116937,77248,99207.5,79323.8,67048,77535,625.24,25679.5,0.22
83319,59707,91453.2,43486.6,38390,74236.4,441.21,32904.7,0.221
119124,80920,96477.3,76542.5,65528,76551.8,645.26,18932.4,0.222
115574,79753,94971.2,71048.9,61588,75603.4,588.28,60145.9,0.222
113793,78338,95197.2,56847.6,49050,75954.4,695.31,26894.2,0.222
88547.2,66301,87525.5,48762.7,43856,72868.3,340.34,12741.1,0.223
81710.1,57573,93011.5,65800.8,56317,76572.3,475.09,46905.1,0.224
124732,74898,109141,114858,94134,79964,691.46,54172.1,0.224
133800,87577,100126,101621,83876,79400.8,1124.97,44763.1,0.224
99907.2,71569,91485.4,76239.4,67357,74178.2,662.97,26118,0.224
87360.6,64532,88719.8,32714.6,29256,73283.7,249.48,21948.5,0.224
54009,38382,92218.5,50519.5,43175,76684.4,429.66,20998.1,0.224
68779.5,60043,75071.8,68198.4,62070,72006.6,2767.38,9992.88,0.226
85662.1,58027,96747.2,42247.4,37167,74494.3,468.16,36852.5,0.226
62145.9,55936,72811.7,60332.4,56032,70565.8,2510.2,6914.88,0.227
69393.9,51213,88801.7,39317,35568,72443.8,202.51,32976.7,0.227
100276,65133,100897,72486.7,60160,78964.3,776.16,26910.7,0.227
125187,83777,97929.8,65404.8,55650,77023.7,410.41,27623.5,0.227
73104.6,52760,90807.2,40899.6,36972,72498,364.21,13606.6,0.227
73651.2,53284,90586.4,44110.1,39796,72640.4,373.45,21664.8,0.229
132209,94443,91742.4,74261.5,66134,73590,668.36,38163.6,0.23
113076,70318,105387,88427.5,71491,81061.8,779.24,44223.8,0.23
69481.6,50362,90416.3,65949.8,54409,79437,651.42,45379.4,0.23
103641,83376,81464.9,96105.6,83860,75105.9,2887.5,12512.9,0.231
81308.2,58524,91050,44209.4,39425,73489.2,446.6,19634.4,0.231
109755,72757,98861.9,84114,68601,80355.9,819.28,50947.9,0.232
81296,58748,90689.3,35011.4,31061,73871.1,210.21,36095,0.232
84569.6,61474,90157.7,42136.6,37770,73112.6,270.27,23284.1,0.232
126828,76256,108998,76868.6,64520,78079.1,800.03,73458,0.232
90784.6,69141,86051.1,35992.8,32233,73180.4,257.18,32778,0.233
81381.8,57564,92652.3,60498,49180,80618.1,492.03,22794.5,0.234
94376.3,66741,92672.4,53819.3,46825,75325.2,290.29,33133.7,0.234
96770.6,65468,96871.1,97084.1,83656,76055.5,1004.08,44878.3,0.234
89177.6,52631,111044,86935,69207,82323.6,582.12,50351.8,0.234
134002,85240,103026,68852.9,59068,76392.3,815.43,114527,0.234
100037,68602,95566.2,63552.2,54359,76619.5,450.45,52159.7,0.235
83395.8,60421,90455.8,55400.4,48321,75137.5,562.87,48177.4,0.235
96688,74301,85282.1,40255.2,36512,72254.7,388.85,29723.8,0.235
83070.1,64849,83950.1,35020.1,32429,70772.3,138.6,16271.3,0.238
89289.6,63229,92547.5,64343.5,56736,74323.5,569.8,9851.04,0.239
89125.1,58636,99612.9,79778.2,68273,76579.9,451.99,55315.4,0.239
92825,62653,97096.3,91010.9,77225,77235.2,754.6,40302,0.239
144429,95809,98793.3,76464,66005,75920.7,576.73,70543.4,0.239
91720.3,72059,83417.5,28398.2,26374,70566,294.91,17953.2,0.239
90792.3,69613,85474.9,34506,31424,71963.6,507.43,15110.6,0.239
123375,84977,95149.1,69279.8,59117,76802.3,1195.81,59795.3,0.24
111108,67871,107285,90549.4,73186,81084.4,719.95,52361.3,0.241
117500,82032,93871.3,69349,60712,74859.2,626.01,20052.7,0.241
147605,106572,90769.1,68988.2,59957,75407.6,365.75,27596.2,0.241
84363.5,54863,100776,77687.3,63730,79888.8,964.81,21011,0.242
99487.4,68526,95146.4,44809.2,38199,76876.8,390.39,32212.1,0.242
90307.8,68950,85836.3,52722,48498,71244,726.88,21524.4,0.242
84248.3,53918,102402,71683.9,59159,79411,947.1,52348.3,0.242
84010.2,72320,76129.6,86603.8,78380,72412.2,2891.35,9372.24,0.243
87683.8,62910,91344,56947.7,51171,72934.4,565.95,26650.8,0.243
136703,94468,94836.2,76733.3,66796,75285.8,547.47,70600.3,0.243
104119,73568,92751.5,74020.3,66116,73371,632.94,31644.7,0.244
71575,53025,88462.8,46148.4,42157,71740.9,510.51,14372.6,0.244
70161.3,49944,92064.9,58248.7,50437,75686.3,557.48,57251.5,0.245
88760.3,61131,95156.2,55789.2,48758,74986.7,420.42,40203.4,0.246
80364.8,55526,94852.6,56804.4,50238,74101.9,388.08,32505.8,0.246
107272,72083,97529.2,74892.2,62607,78396,816.97,84525.1,0.246
69310.7,45328,100211,71228.2,58788,79404.1,1129.59,38890.1,0.246
84080,56761,97078.4,75029.8,65604,74952,472.01,38011,0.246
126754,88013,94383.2,67353.8,57216,77148,621.39,13661.3,0.246
82748.2,56464,96043.2,58749.8,51184,75223.3,509.74,26167,0.247
104375,76056,89938,65311.2,58396,73296.7,358.82,21185.3,0.247
115428,79828,94762.2,60070.3,52224,75382.4,795.41,39021.8,0.247
78995.8,52697,98242.2,65878.6,54756,78848.3,495.11,34511,0.247
117352,75268,102179,65276.6,55048,77713.5,635.25,12391.9,0.248
80528,57842,91239.6,57420,48270,77958.9,651.42,26407.4,0.25
67036.2,46653,94169.3,35470.1,31776,73154.8,179.41,20400.5,0.25
73825.9,55364,87389.9,46409,41896,72595.6,497.42,19304.6,0.25
122929,80620,99929.2,77529.6,67228,75578.3,605.99,38327,0.251
92219.5,67033,90160,60382.1,54393,72752,641.41,65569.7,0.251
61964.8,44343,91579.8,44115.8,38851,74417,542.85,22883.8,0.252
116115,91439,83221.9,35681.8,31375,74532,223.3,31951.4,0.252
98083.8,65805,97682.9,85219.2,70336,79403.5,732.27,90939.6,0.252
102118,77588,86255.5,35587.4,32488,71788.3,297.22,16449.8,0.253
124122,87652,92803.7,72121,63212,74772.5,716.87,49441.7,0.253
83651.2,65014,84322.8,43773.8,41306,69451.5,359.59,25923.6,0.254
91859.2,65385,92071.3,49381.9,43204,74907.3,288.75,31451.8,0.255
87343.4,62744,91230,70792.6,61553,75373.4,372.68,23431.7,0.255
107271,75092,93620,58921.9,52120,74088.8,862.4,23137.2,0.255
84758.4,58421,95081,73828.8,62617,77270.5,1032.57,50677.9,0.256
77504.6,54100,93888.1,58695.8,52128,73793.2,773.85,28155.6,0.256
143320,106949,87823.2,77894.6,69597,73349.5,635.25,17534.2,0.256
86668.2,63683,89190,45499,41103,72545.1,559.79,22119.1,0.256
136964,90430,99259.8,61236,52030,77131.7,311.85,39857,0.257
90650.2,67924,87463.2,46673.3,41844,73099.6,267.19,20200.3,0.257
75584.6,54063,91624.9,57313.4,51234,73312.5,291.06,26187.1,0.257
125024,84935,96468.8,71714.2,59919,78436.9,555.94,16776,0.257
77811.8,63216,80667.5,36038.2,33124,71301.7,232.54,22063.7,0.258
114532,77639,96677.7,78725.5,64651,79803.2,640.64,50962.3,0.258
105053,73386,93816,67762.1,60026,73982.2,693.77,42379.9,0.259
108028,74725,94743.3,68305.7,59797,74861.3,698.39,96619.7,0.26
85324.8,63977,87404,47487.6,43796,71060.1,416.57,13885.9,0.261
119054,78898,98891.3,90983.5,78362,76091.7,895.51,52269.1,0.261
110840,70732,102698,105000,90524,76015.9,929.39,73020.2,0.261
71447,48378,96786.8,43164,38451,73568.9,197.12,15547,0.261
121768,87436,91268.7,58961.5,51640,74827.7,527.45,32125.7,0.261
67731.2,47648,93158.8,42959.5,37372,75334.4,200.97,33491.5,0.261
118139,84359,91778.6,64198.1,56283,74752.3,335.72,20417,0.262
98037.8,69040,93062,51313,43964,76490.9,248.71,36724.3,0.262
81115.5,55176,96346,59105.5,49265,78626.6,800.03,69099.8,0.262
74967.7,54513,90126.8,48593.5,43533,73154.3,520.52,18511.2,0.262
101680,68392,97433.9,65271.6,55601,76934.6,744.59,55026.7,0.263
155692,101393,100633,72087.1,61329,77032.1,398.86,46983.6,0.263
79076.5,64608,80212.3,40140.7,36184,72702.4,257.18,30751.2,0.264
105304,78429,87993.3,50657,44653,74348,298.76,45063.4,0.264
117695,81932,94142.5,61292.2,49077,81847.8,395.78,20826.7,0.264
124726,89651,91176.6,66696.5,58863,74257.5,594.44,36196.6,0.265
64339.8,44960,93785,46344.2,41308,73526.1,421.96,29278.1,0.265
138701,96181,94508.7,88677.4,73457,79115.1,857.01,29486.9,0.265
87638.4,61261,93754.1,59078.9,51917,74576.6,699.16,32174.6,0.266
79436.2,61559,84568.1,28655.3,26127,71877.8,305.69,31084.6,0.266
118988,81657,95497.1,65705,56756,75869.4,545.93,24330.2,0.267
95298.6,61344,101811,94039.2,78204,78806.1,843.15,60755,0.267
108736,74120,96143,80611.9,71057,74348.5,737.66,35438.4,0.267
84293.1,53790,102700,64915.9,55779,76271.2,734.58,39609.4,0.267
68621.4,45145,99616.2,48841.9,42916,74585.3,215.6,36398.9,0.268
101537,68103,97709.4,59434.6,51407,75769.9,393.47,66251.5,0.268
