geno	Omi32_a_2_1	Omi32_a_2_2	Omi32_a_2_3	Omi32_a_2_4	Omi32_a_3_1	Omi32_a_3_2	Omi32_a_3_3	Omi32_a_3_4	Omi32_a_4_1	Omi32_a_4_2	Omi32_a_4_3	Omi32_a_4_4	Omi32_a_5_1	Omi32_a_5_2	Omi32_a_5_3	Omi32_a_5_4	Omi32_a_6_1	Omi32_a_6_2	Omi32_a_6_3	Omi32_a_6_4	Omi32_a_7_1	Omi32_a_7_2	Omi32_a_7_3	Omi32_a_7_4	Omi32_a_8_1	Omi32_a_8_2	Omi32_a_8_3	Omi32_a_8_4	Omi32_a_F_1	Omi32_a_F_2	Omi32_a_F_3	Omi32_a_F_4	Omi32_a_F_5	Omi32_a_F_6	Omi32_a_10_1	Omi32_b_2_1	Omi32_b_2_2	Omi32_b_2_3	Omi32_b_2_4	Omi32_b_3_1	Omi32_b_3_2	Omi32_b_3_3	Omi32_b_3_4	Omi32_b_4_1	Omi32_b_4_2	Omi32_b_4_3	Omi32_b_4_4	Omi32_b_5_1	Omi32_b_5_2	Omi32_b_5_3	Omi32_b_5_4	Omi32_b_6_1	Omi32_b_6_2	Omi32_b_6_3	Omi32_b_6_4	Omi32_b_7_1	Omi32_b_7_2	Omi32_b_7_3	Omi32_b_7_4	Omi32_b_8_1	Omi32_b_8_2	Omi32_b_8_3	Omi32_b_8_4	Omi32_b_F_1	Omi32_b_F_2	Omi32_b_F_3	Omi32_b_F_4	Omi32_b_F_5	Omi32_b_F_6	Omi32_b_10_1
0000000000000	1	196	108	4	2	154	150	1	1	283	155	0	0	236	0	2	133	1	48	0	608	0	0	0	298	0	0	0	5	13	5	109	332	60	0	0	755	108	0	0	630	217	3	0	425	231	112	1	353	2	1	304	1	0	0	1027	1	0	0	778	1	0	0	1	2	78	61	158	199	163
0000000000001	1	57	0	0	0	57	46	0	0	40	0	6	15	0	1	0	108	1	0	0	252	12	0	0	203	0	0	0	0	1	0	42	229	13	0	0	302	0	0	0	208	140	1	0	321	1	0	99	32	87	177	0	0	160	0	522	0	0	0	367	0	0	0	0	0	0	180	46	5	0
0000000000010	0	129	0	0	0	1	183	1	0	138	2	1	0	139	18	0	239	1	1	0	181	43	0	0	227	0	0	0	0	0	6	347	239	70	0	0	316	108	3	0	141	315	0	0	289	228	4	81	69	0	1	467	0	0	0	971	0	0	0	405	3	0	0	0	0	42	75	278	115	1
0000000000011	1	901	538	36	0	690	516	31	0	348	374	32	41	407	127	211	278	461	45	0	520	13	0	0	1413	83	0	0	2	6	58	580	1405	48	1	1	1378	135	4	1	1415	313	6	0	870	259	156	272	468	194	2	1298	6	1	0	612	50	0	0	1599	4	0	0	2	97	98	321	500	293	238
0000000000100	0	1545	2345	110	3	1520	1659	21	2	812	880	103	150	1973	382	45	1500	88	259	0	2658	125	0	0	4024	84	0	0	2	25	138	1279	3266	325	0	0	1307	2615	28	2	2248	3029	140	0	2239	804	136	736	1144	1037	106	3103	268	3	0	3498	210	0	0	4495	184	0	0	162	8	574	1549	1385	815	882
0000000000101	0	883	1108	106	3	286	648	17	0	322	104	54	44	416	194	19	408	70	95	0	1246	75	0	0	1241	0	0	0	0	2	5	500	1926	215	0	0	767	1366	61	26	2138	365	33	0	1372	749	2	188	450	68	1	1448	48	2	0	1551	3	0	0	2163	1	0	0	1	91	255	617	702	102	335
0000000000110	0	418	1357	112	0	297	503	2	1	158	71	204	47	716	233	145	581	66	210	0	1329	1	0	0	1748	1	0	0	2	64	9	1055	668	142	0	0	713	3132	199	0	662	2475	85	0	1006	923	1	313	714	244	1	1275	96	148	0	2048	0	0	0	1629	77	0	0	14	4	229	450	712	230	184
0000000000111	0	156	1761	182	1	518	1490	93	0	71	299	33	96	796	362	63	1633	237	79	0	1705	17	0	0	2049	0	0	0	0	7	149	816	2170	166	0	4	613	2996	381	1	1060	3708	15	0	1290	1044	139	71	1135	758	10	3290	207	148	0	2726	133	0	0	2916	113	0	0	6	3	494	1397	628	846	314
0000000001000	1	2614	446	24	3	1293	736	12	11	527	1037	100	73	862	681	200	1501	203	324	0	2157	27	0	0	2234	51	0	0	7	6	1	1135	2031	324	0	0	2012	1115	23	2	3020	1370	132	0	3237	954	164	230	1000	1151	9	3696	272	4	0	4277	119	0	0	3741	138	0	0	0	5	512	1772	841	483	367
0000000001001	0	280	226	1	0	13	65	0	0	118	61	1	0	98	36	0	61	75	2	0	146	0	0	0	222	0	0	0	0	2	2	154	190	30	0	0	236	0	1	0	231	1	0	0	683	75	1	86	385	3	5	311	0	1	0	31	0	0	0	874	46	0	0	32	1	0	0	200	56	18
