,1,1,2,3,4,5,6,7,8,9,10,11,12,13,1 2,1 3,1 4,1 5,1 6,1 7,1 8,1 9,1 10,1 11,1 12,1 13,2 3,2 4,2 5,2 6,2 7,2 8,2 9,2 10,2 11,2 12,2 13,3 4,3 5,3 6,3 7,3 8,3 9,3 10,3 11,3 12,3 13,4 5,4 6,4 7,4 8,4 9,4 10,4 11,4 12,4 13,5 6,5 7,5 8,5 9,5 10,5 11,5 12,5 13,6 7,6 8,6 9,6 10,6 11,6 12,6 13,7 8,7 9,7 10,7 11,7 12,7 13,8 9,8 10,8 11,8 12,8 13,9 10,9 11,9 12,9 13,10 11,10 12,10 13,11 12,11 13,12 13
1,3.0555196170181514e-05,1.5713900438142245e-06,-1.8879950473693988e-06,3.1018620914912983e-06,-2.3854870367875135e-06,-9.723247927183578e-07,8.465864079881267e-08,-5.037425048688943e-07,-3.274247534360623e-08,1.6730087529868456e-06,4.777584884280981e-07,-1.7762872152062753e-06,9.629132496059894e-07,-8.700866211879265e-08,3.027278181987035e-07,4.94322281577972e-07,-3.081408896812629e-07,-2.4690228826828414e-07,-6.521834134703108e-08,-2.1791827212218422e-08,-2.8978395303244565e-08,3.200324216890658e-07,4.420024874016965e-07,-7.449950471361733e-08,-5.508509571037516e-08,1.680219234261249e-07,-1.204410006293931e-06,7.533777395771765e-07,2.673731988232198e-08,-1.8366075336329957e-07,-3.176104947000241e-08,-1.792493870362667e-07,-4.818209263018161e-07,1.283192884568456e-07,5.291826838477074e-08,-1.1017806354621867e-07,2.6921384396759126e-08,-1.4830965739866411e-06,-7.202638255576042e-07,3.9490339275695956e-07,-8.268217768410734e-07,-2.697175870981511e-08,5.330316645746376e-07,5.536744867535089e-07,-8.171304873425228e-07,6.25455508595962e-07,-6.913217776660773e-08,6.222227801713143e-07,-1.1210415084114064e-07,4.792487327807184e-07,-1.1166339826939794e-07,-4.598780901258762e-07,1.1429016772787526e-07,7.397143926697882e-07,-1.0337512495151108e-06,-1.930364794445216e-07,-1.3199346774737048e-08,-1.2380621694423268e-07,-6.718317306557285e-08,-1.8059175029582348e-07,-8.161574259522885e-07,2.3426321817142915e-07,-1.941585222889351e-08,1.4743543750870646e-07,3.307672374216374e-07,2.491695472262574e-08,-1.958269589674992e-07,3.74359502936881e-07,-4.400251429022782e-08,1.7973948868888426e-07,-1.4070761586026786e-07,3.08136993320101e-07,-8.749955546897607e-07,9.502340820481892e-08,5.215032401886499e-07,-2.9271099754159477e-07,-9.154804534341276e-08,3.2791551484311925e-07,-2.6789051152733453e-08,-1.0223299146315527e-07,-2.269819458195067e-08,-3.672790426236633e-07,-3.7489008670922205e-07,-6.181210208294532e-07,1.407135567220277e-07,-4.3275711880600865e-07,3.87949803414777e-07,-4.518477518392328e-08,-2.9927728566811493e-08,-2.8959126937105325e-07,-1.490160602927528e-07,-1.0365929740169985e-07
1,1.5713900438142245e-06,3.0253109351024583e-05,2.920415243618564e-07,5.536630140003854e-07,-3.3405485758453796e-07,-2.7759252477171386e-07,-5.2396668421551936e-08,-2.9431601886961022e-08,-4.199694546599539e-08,3.6855331847120143e-07,4.884873561128983e-07,-6.943474163858072e-08,-5.421583716014156e-08,8.443767357744716e-08,-1.6771197198134319e-06,2.682349520444069e-06,-2.02174486711672e-06,-7.701642722078939e-07,6.730302605680848e-08,-3.010856423700319e-07,-7.893241782905868e-08,1.466531274446869e-06,4.7426169929657973e-07,-1.5916733162276305e-06,7.644137217795674e-07,-6.842009646776286e-08,-2.3652067827285263e-07,4.5563800563452825e-07,1.0955301652901789e-07,-4.0309557513667903e-07,-2.0881323879098422e-08,1.5457216096130647e-07,2.3518330777204263e-07,-1.5112876661563694e-07,-3.86196778428372e-07,-4.820797470809454e-08,2.968272231365768e-07,3.599696187154516e-08,-1.772829321494144e-07,-1.7384992699122546e-08,-3.188570327081724e-07,-1.6510165147338606e-07,3.4890808604382385e-07,4.119730972598471e-07,-1.847942596006671e-07,2.729109854773122e-07,-4.370056128317516e-07,1.7345732065782316e-07,2.46109300865891e-08,2.161246490028637e-07,2.5847911491940634e-07,2.992473737794895e-08,-1.01696880824338e-07,2.274915173498904e-07,2.2242409695063557e-07,3.568804046084867e-07,-4.0825793987105593e-07,-3.746604188976187e-07,-2.9293048238094663e-07,-4.1173313707008314e-08,-5.182612002981044e-07,2.942673639219156e-07,-4.6024975875306926e-08,-3.3504800752665247e-07,5.562624605581893e-08,2.1035871208760356e-07,6.015066455797539e-08,1.3384454052376324e-07,-2.9702731792613636e-07,1.992605823882649e-07,1.1146095595223186e-07,1.456877696390877e-08,-9.917254017419178e-08,-1.7399986345668314e-07,3.1857186196101314e-08,1.247407330022866e-08,2.655338512451763e-07,3.4776550707801507e-07,3.6731759836394703e-08,6.814419453770745e-08,1.2672632865957823e-08,9.64028388135412e-08,-1.456069762591114e-07,-1.2792231302621646e-07,3.3100007808745845e-08,-2.700428875880252e-07,-1.5374909982969683e-07,4.2872529286460403e-07,3.272202203013454e-08,1.2322844777048952e-07,1.2272697079864976e-08,-1.910850393912658e-07
2,-1.8879950473693988e-06,2.920415243618564e-07,3.033059477472485e-05,-1.2621100613479077e-06,7.633901897730631e-07,9.753627792400642e-08,-1.7093145953794812e-07,-3.49615743457094e-08,-2.2364203856354893e-07,-4.793354014398011e-07,1.1186864002626101e-07,5.314606679416891e-08,-8.318319250935828e-08,4.610947794128666e-08,1.4322618176424426e-06,-2.70549210678539e-07,4.747668123191594e-07,1.0861527416351731e-07,-4.0214564718315555e-07,1.6424992070923353e-08,1.298233596349674e-07,2.499318586817793e-07,-1.2330134695529017e-07,-3.723128289453661e-07,-7.169910185221481e-08,3.193135088732344e-07,2.755336162055522e-06,-2.093552332561335e-06,-7.571014581845576e-07,4.273252147591559e-08,-2.8427395222786884e-07,-6.574541429839629e-08,1.505468322460433e-06,4.322887212250415e-07,-1.5883070449451105e-06,7.617104164006371e-07,-6.085280468929073e-08,5.459093768671794e-07,1.4633144649950236e-07,2.103285007911746e-07,3.0587140779270734e-08,-5.136960575018925e-07,-3.1464437458585304e-07,-2.2663243162519943e-07,1.605144354593827e-08,2.083037555679289e-07,2.1751453679059845e-08,1.0717726662852811e-07,8.463688425007762e-08,1.2614814213455847e-07,-3.917172380143701e-07,4.1055127206296995e-08,-2.953328270456307e-07,6.064205203736409e-08,5.7463571967629994e-08,2.438670130025826e-07,1.876879058313249e-07,4.95358247101808e-07,-1.1520969769389771e-07,2.3400491046131802e-07,3.02800043458154e-07,6.020934760995246e-08,8.569687831532776e-08,-5.907450704971428e-07,-2.0095571111574726e-07,-2.3850589874859055e-07,3.705802874352455e-07,-4.4589262240984066e-07,1.527578560662655e-07,-6.16550127167129e-08,3.8903654602751095e-07,2.447577053387405e-08,-9.116889204880714e-08,-1.2789198127858183e-07,-3.138099822401827e-07,2.660582644501298e-07,4.3575157022374915e-07,-2.935328999646248e-07,-3.933767060759697e-08,1.72303699335016e-07,-2.1019122200965648e-07,-2.618999622617766e-07,-1.693436081531284e-07,1.0741462723128401e-07,-2.4200563888468392e-08,7.739379446257178e-08,3.473969666949109e-07,9.172937685693914e-08,3.4859277105248403e-08,-3.1472047061329835e-07,3.4979435827136714e-08,-1.8177345207343225e-07
3,3.1018620914912983e-06,5.536630140003854e-07,-1.2621100613479077e-06,3.055527641359788e-05,-1.569715684827517e-06,-8.170651845500982e-07,3.953739468686469e-07,-9.150751431870998e-07,1.3683096262817065e-08,5.629714708131153e-07,5.659869784238588e-07,-8.51733019849127e-07,6.683247711140177e-07,-1.1038338005121307e-07,-3.298114865807123e-07,1.561033728777671e-06,2.118092047715728e-08,-1.9379178768249787e-07,5.092661112459911e-08,-3.5037755485692e-07,-1.790325839165516e-07,3.263868992762135e-07,3.898239621985503e-07,-2.2900064050479296e-07,2.8496963113116446e-07,-4.77583948121283e-07,-1.8220847764743424e-06,5.421720514136803e-07,1.6259985269605788e-07,2.0557958439105448e-07,1.6449907496555888e-08,-4.956638501765669e-07,-2.890081747898544e-07,-2.3937591564215084e-07,8.574819325360101e-10,2.2785806046126056e-07,1.2694920605933246e-08,-2.3147499180286188e-06,-9.559451026577024e-07,9.936793438869829e-08,-4.018823056939801e-07,1.0378935969757184e-09,1.6131700178658528e-06,5.492005390875285e-07,-1.6886953026646703e-06,9.065831071145028e-07,-9.013814131416676e-08,1.268154973495458e-06,-1.778673842983396e-08,2.487608482095579e-07,-2.5164138963493193e-07,-5.755709506008608e-07,7.733019533488811e-09,8.4824087779996e-07,-9.582290260061607e-07,-1.652943901343436e-07,4.524002546637415e-07,2.2169457971676143e-07,-2.2370438965477797e-07,-4.724525656044543e-07,-4.494483855887586e-07,-4.029687207143615e-08,4.143240792125311e-08,-3.7511843363487e-08,2.455343852315752e-07,-1.357830054612685e-07,1.6554837496455808e-07,3.0926462937673443e-07,6.038326912348643e-09,2.2712508623603898e-07,-5.494702185148785e-07,-8.818099003896695e-08,-1.5832591143741608e-07,-3.951228719141586e-08,3.1754906280917695e-07,-2.520066148585673e-07,-1.5285236735621444e-07,2.1070063478680035e-07,-1.435756748711297e-10,-2.3085570955937237e-07,-4.998668444370653e-08,-1.331498322336747e-07,-1.57652382336429e-08,1.81616674822678e-07,3.4862659685309866e-08,-5.691042549719492e-08,9.606124933497319e-08,4.3779233016118485e-07,-8.014381435501524e-08,2.291393519311956e-08,-2.0482496368581148e-07,-4.37733444333453e-07
4,-2.3854870367875135e-06,-3.3405485758453796e-07,7.633901897730631e-07,-1.569715684827517e-06,3.0500195508117043e-05,7.303061865685704e-07,-7.064153100246199e-08,5.159365552523937e-07,-1.3981313337211064e-07,-4.4869254518279394e-07,1.3436056650218472e-07,7.835838408566574e-07,-1.1514503298086524e-06,-1.8736253295292345e-07,5.215594821784369e-07,3.7571458342575156e-08,1.4646063043767771e-06,1.6694975369002591e-07,9.634985272471805e-09,2.520941333337074e-07,2.2751605342060362e-07,8.367859369857249e-08,-6.265942194674983e-08,2.7533280757755003e-07,1.7307677306945755e-07,3.699736717059845e-07,5.228326390378215e-07,-1.7519344649659043e-06,8.856261575989148e-08,9.20709672981778e-08,1.3473996102820344e-07,-3.611219714597921e-07,-1.6697695229011167e-08,-2.822089327615667e-07,6.917452120051978e-08,7.214851726039761e-08,2.6701079107050905e-07,2.9723983754687466e-06,1.2711057976615426e-06,4.2880988403338264e-08,2.344839656639601e-07,-3.0901792512077466e-07,-5.784683877966131e-07,9.177288372203421e-08,8.692597434647469e-07,-1.0255372847397093e-06,-2.112138959856309e-07,-9.310344075016518e-07,1.0247478961965698e-07,-3.1750136358485147e-07,-9.560210103913719e-08,1.5659884912817786e-06,4.415652667219377e-07,-1.6961365038666762e-06,8.893769400886377e-07,-9.16017290762516e-08,8.529973682290144e-08,-5.877565908657652e-07,-2.1879975026656695e-07,3.056564493352526e-07,-1.793471593699224e-07,-1.37853956479216e-07,8.55607702989409e-08,1.4863480915068854e-07,-2.593793423881125e-07,2.701337497309948e-07,-2.0277708769073094e-08,-1.7891546356414705e-07,-8.660838041390048e-08,-2.9321067787565153e-07,-7.46211487269621e-08,-1.9975619794111603e-07,4.1611496390987473e-07,6.323113093067484e-08,1.65203871338753e-07,-1.9509447048046244e-07,3.5259030904797184e-07,-1.2339426075781215e-07,3.066905349582852e-08,-1.0047029545811577e-07,7.446692138577403e-08,-2.1635351327619715e-07,-2.5153391051770397e-07,2.441680113779545e-07,-2.907476462385713e-07,1.3586922837231488e-07,-1.5215391688051922e-07,-1.4834050980587735e-07,1.5479810406557573e-08,1.8324196865457585e-07,-4.1574774143192e-07,5.641506391942927e-07
5,-9.723247927183578e-07,-2.7759252477171386e-07,9.753627792400642e-08,-8.170651845500982e-07,7.303061865685704e-07,3.0368323106343128e-05,-4.4593622659671986e-08,-1.2450988843134537e-07,-5.267266447615842e-08,-2.334292136162807e-07,-9.28764763335679e-07,2.4802475039298733e-07,-3.969431551640053e-08,1.440691879612746e-07,1.1022738951975671e-07,-1.9393404005055167e-07,1.8374293927415338e-07,1.4827306130222096e-06,-4.2308585245717227e-07,-3.78386620227045e-07,-2.749914149525803e-07,-3.741668293674939e-08,-5.353676907444322e-07,3.0486257466142326e-07,-3.667363696973746e-08,-3.1068757695103147e-07,1.430914713151206e-07,6.992900665538564e-08,-1.7147723561188613e-06,2.0034005370283092e-07,5.12515028964675e-07,-1.0886277659314233e-07,2.230586449844775e-07,3.833736518332569e-07,8.621871825240126e-08,7.619695299360104e-08,-6.144219296717048e-07,1.301382961224344e-06,2.7693429003456573e-06,4.5520193016522475e-07,1.9690017543135507e-07,-2.3917582522121774e-07,-4.6435351202855965e-07,-5.357396652141729e-07,-4.9503944044122694e-08,6.212955116234432e-08,-2.053243472529743e-08,-2.103636343265567e-06,1.2010733012091883e-07,-5.63956966503839e-07,-2.0422870162374778e-07,2.8891816226384645e-07,-1.0244273715352015e-07,-1.401077822319573e-07,7.802793721278438e-09,1.0726156925859647e-07,4.072003627175226e-08,-3.0491726962084963e-07,-8.286818207993825e-08,1.5191808108564181e-06,4.633832163952446e-07,-1.6076420656494177e-06,7.608831650347863e-07,-6.095020124491141e-08,1.9629682240368954e-07,1.268324149457086e-07,-6.664025754818378e-07,2.7533644150941e-08,-5.853566317661378e-08,-1.564995676517419e-07,-2.2327364642775535e-07,3.0090810780857466e-07,-9.601867548036083e-08,-1.1123218793838037e-07,-8.575886419238645e-08,-3.834245482906017e-09,1.6959001166011536e-08,-3.2116806517078464e-07,-1.5537075672882946e-07,-2.2719340967437956e-07,1.8979171141013867e-07,-9.84870062143013e-09,-1.4162753182273273e-07,5.975754814216338e-08,-9.361033324100599e-08,6.109759590073854e-08,-7.752703318020338e-08,-1.4664013386262903e-08,1.1897402426602254e-07,-2.882427639534221e-08,-1.3404110149019268e-07,6.744023563867473e-07
6,8.465864079881267e-08,-5.2396668421551936e-08,-1.7093145953794812e-07,3.953739468686469e-07,-7.064153100246199e-08,-4.4593622659671986e-08,3.02732153488108e-05,3.828131127681414e-07,-2.8853364490418184e-08,-1.8712170713838138e-07,4.1970900646200426e-07,-1.6892843484546346e-08,2.6235447676936776e-07,-1.7875480565927e-07,-4.2379631007790504e-07,1.175095463197281e-08,2.8396815616098196e-08,-4.0596750248255273e-07,1.4587903125513972e-06,6.179781026929232e-08,1.9524942629778506e-07,5.300448109453834e-08,1.452734647160087e-07,-2.816978938952156e-07,1.9873669758831404e-07,1.0621535980826993e-07,1.9289948431428696e-07,9.212133877075116e-08,1.9444167049068847e-07,-1.6884939391419713e-06,-2.3474902306573866e-07,-2.5757078970932736e-07,4.011010109892061e-07,-4.6749293665629253e-07,1.1616165069340108e-07,-8.45529086042053e-08,3.926294723584667e-07,-1.1459199716293581e-08,4.46424174703273e-07,2.686649626702023e-06,2.64371498953367e-07,-8.492518413295113e-08,1.37801991799491e-07,3.145242365971293e-07,1.4950505639356566e-08,2.7202834843562865e-07,-5.586837441142791e-07,1.0962554677126496e-07,-2.0364556038624586e-06,-3.2445948472063437e-07,2.82612085936334e-07,-5.23109109864753e-09,-1.7384314741895087e-07,-9.218497306401662e-08,-2.9692605346819156e-07,-7.653543433072115e-08,-7.20499638057225e-07,1.8563259333816113e-07,1.839671437324185e-07,-6.941727247214984e-07,5.701051124681347e-08,-8.39173979659796e-08,-1.5063476239178485e-07,-1.7910539919256866e-07,-2.7679292787877853e-07,-7.422649733136447e-08,1.4861921729183832e-06,4.281647179973137e-07,-1.5587634048305599e-06,7.866119732036753e-07,-5.777989653044457e-08,-2.0100614803017474e-08,2.281572033330056e-07,-4.4317020462425804e-08,4.692888431996196e-07,4.6035654083400476e-07,-1.4481791558633323e-08,-2.5731641512157696e-07,1.6287478901891227e-07,-9.769607966577066e-08,-4.860949577696851e-07,-3.1912049943177173e-07,1.8495977609492623e-07,-1.6673097127342172e-07,-1.2515175299530618e-07,-5.601402958294436e-08,-3.251817028717605e-08,1.6619546895265273e-07,1.2410312611529219e-07,-4.645605704512957e-07,-3.1868302210455647e-07,-2.624236902719808e-07
7,-5.037425048688943e-07,-2.9431601886961022e-08,-3.49615743457094e-08,-9.150751431870998e-07,5.159365552523937e-07,-1.2450988843134537e-07,3.828131127681414e-07,3.032106123663945e-05,3.0524059060240657e-07,-9.221273411713573e-07,1.5765107027863618e-07,5.326673359740038e-07,-3.409761915255454e-07,-1.740518794568098e-07,1.5025598706352897e-08,-3.442980086463747e-07,2.306390568618436e-07,-3.9062812758764497e-07,6.153419122110317e-08,1.4706325253993333e-06,1.1248493036234396e-08,-1.2277273950358845e-07,-1.3490740814793616e-07,5.2778202055111566e-08,-3.9114055740594486e-09,2.5774846162666776e-07,6.393123978265386e-08,1.2044883699726648e-07,5.107895342368455e-07,-2.138481117094297e-07,-1.6925577167302703e-06,-1.2487106534885559e-08,-5.692673932246636e-08,-1.876547513079453e-07,-3.372874335819544e-07,2.635280628601703e-07,4.6193883159226954e-07,2.790244299096839e-07,2.335854180741145e-07,2.4289570959099636e-07,2.744867306735871e-06,-4.707376292863378e-08,-2.7707192123713e-07,-1.1637661232536356e-08,3.553497441545611e-07,-2.5099537277466696e-07,-1.8494822593997021e-07,-5.705361461765464e-07,-2.969335223740898e-07,-2.0667615527993506e-06,-2.7263229234311434e-07,4.809303408670052e-07,2.0532788115799983e-08,1.5223270997812529e-07,-1.8253825322759194e-07,3.4438220601385754e-07,1.9509400644417318e-07,-7.407866036423085e-07,3.274130479945185e-07,-6.842758837609538e-08,-1.3328697483693648e-07,-1.167760666184907e-07,2.6217593359958972e-08,4.913040948784785e-09,1.693897954576827e-08,-2.496515532118516e-09,2.259924816827786e-07,-6.483671615355581e-08,4.5788018975785257e-07,4.6215953147795337e-07,-2.184964722071748e-08,-1.3024252533181807e-07,1.508493175061914e-06,4.270437774954482e-07,-1.5981114017523054e-06,7.988702657562057e-07,-2.0382678648412967e-08,4.269331743361334e-07,-1.5217475470297284e-07,-1.0322116896105422e-07,3.0225439690813235e-07,1.2727834712355902e-07,7.204177612474503e-08,6.542213764570597e-08,-2.9886498615709216e-07,-1.386208708816122e-07,-1.4809827408445082e-07,-7.01703450166945e-07,-2.2367429066961738e-07,8.186554074764023e-08,-2.2022680842887101e-07,-7.929527221715523e-08
8,-3.274247534360623e-08,-4.199694546599539e-08,-2.2364203856354893e-07,1.3683096262817065e-08,-1.3981313337211064e-07,-5.267266447615842e-08,-2.8853364490418184e-08,3.0524059060240657e-07,3.023273105734116e-05,4.0417731171975703e-07,-5.467936283553614e-08,-1.2655397625173245e-07,-5.054760620869864e-08,-3.523687727822415e-07,1.2926729912105177e-07,-1.7411473847198055e-07,2.3251485297336413e-07,-3.0470264646558043e-07,1.92348525493451e-07,1.791722443980342e-08,1.44069675770935e-06,3.5295290559277636e-07,-8.916387035632249e-11,6.112134306236301e-08,2.3398551004866857e-09,8.555288826326872e-08,-5.42380766019369e-07,-3.6962506578947626e-07,-9.673864805244002e-08,-2.488885312103081e-07,1.1567823771166618e-08,-1.6895829479291904e-06,-3.1527323748319644e-07,-2.2405262858769917e-08,1.668031738890417e-07,-1.9714002088984959e-07,-2.2668184685632213e-07,-2.824615318100822e-07,-2.3472909432836345e-07,-1.1005143138571213e-07,-9.516220340083637e-08,2.6817190565403293e-06,2.2549035616928513e-07,-1.8650489233888162e-08,-2.488332771741448e-07,-5.916599418850587e-08,-1.6969471971787847e-07,-1.824644798744295e-07,2.758338880921855e-07,-2.3110584241709987e-07,-2.022196009669826e-06,-1.329890476545035e-07,4.026316604806591e-08,-1.0417437301434878e-07,7.158644099155473e-08,-1.9043139840938016e-07,1.5631781331483184e-07,2.9770081767813735e-07,-7.436292968977707e-07,-3.3753966099790786e-07,-1.312413801837262e-07,-2.539123520833127e-07,1.8152840002490018e-07,6.827010001689606e-09,-1.3419338083467117e-08,7.402986293047687e-08,-2.8476356081021503e-07,1.5314074456800836e-07,-1.1121942031421955e-07,-4.6711243370656263e-07,-3.043103468121178e-07,-3.0261807457011823e-07,4.2499509004679543e-07,-1.6995986813399851e-07,-8.60201639251938e-08,3.2458509192612513e-07,1.4062856612189082e-07,1.4860359108206816e-06,4.1992313251817965e-07,-1.5742229063410034e-06,7.858411142483968e-07,-3.629214714246106e-08,1.7862473014809206e-07,5.972245389597259e-09,1.6124364735570553e-07,-2.0781363358680963e-07,3.896395147341227e-07,3.293075101908262e-08,-2.0205243241406424e-07,2.6004478104875783e-07,2.3686121481325709e-07,-3.134095623138903e-07
9,1.6730087529868456e-06,3.6855331847120143e-07,-4.793354014398011e-07,5.629714708131153e-07,-4.4869254518279394e-07,-2.334292136162807e-07,-1.8712170713838138e-07,-9.221273411713573e-07,4.0417731171975703e-07,3.0295970275293647e-05,-3.7402576656330223e-07,-6.21543857918039e-07,1.939490613340936e-07,-4.660442567855879e-07,2.203276912084056e-07,3.4512252861098844e-07,4.142756951515359e-08,-4.9503034918108786e-08,7.922173738612807e-08,-1.5087961031211163e-07,3.532112317018634e-07,1.4951685981607341e-06,-1.889110885229213e-07,-1.7022055821601882e-07,5.683156426559227e-08,-2.976985663956197e-07,-2.9148876659609827e-07,6.891759945587167e-09,2.0826933784926022e-07,3.7685996831412115e-07,-4.312743289909459e-08,-3.092587740045496e-07,-1.7297741931342495e-06,-1.490675353232389e-07,1.3769925429961444e-07,1.5138619684937974e-08,7.983902674311535e-08,-5.395452606224464e-07,-4.507406713718942e-07,1.2732637645196617e-07,-2.4300509868241004e-07,2.37767288129764e-07,2.7242191332868693e-06,-8.265773849199804e-08,1.5993858816665829e-07,2.4885341263687524e-08,-7.94781529552879e-08,2.705432103205007e-07,-2.3865443727785466e-08,4.475704881685216e-07,-1.043241679795744e-07,-2.1021616841431256e-06,-2.380252846192483e-07,2.3505731639507726e-07,-2.4031614866851273e-07,1.807225271287694e-07,-6.711903757791144e-07,-6.444826996419423e-08,-3.4306417073948813e-07,-7.689390910959177e-07,-8.193765859162421e-08,5.908558047409353e-08,-1.2104149858651268e-07,5.894828981360906e-08,2.2089631546291044e-07,-2.7745772499485894e-07,4.028464179306338e-08,1.7101008741582549e-07,-1.779209124727927e-07,-9.423686364988227e-08,-3.2085612925558714e-08,4.118363434505834e-07,-3.417869786497221e-07,3.6000629448615526e-08,4.8316680656284925e-08,-2.5431145883052803e-07,-1.2080222086181727e-07,-8.332280561015662e-08,1.7978243465883596e-07,1.7166468428852123e-08,1.3705725814688855e-07,-1.8112383022908397e-07,4.1115878295943704e-07,-1.6189263834278469e-06,7.787037721001182e-07,-8.798602620799939e-08,3.6422463591909713e-07,1.7107851526167228e-07,-2.0210068765700716e-07,-2.3663956160095098e-07,2.8814683433609336e-07,1.336124751163225e-07
