,1,1,2,3,5,6,7,8,9,10,11,12,13,1 2,1 3,1 5,1 6,1 7,1 8,1 9,1 10,1 11,1 12,1 13,2 3,2 5,2 6,2 7,2 8,2 9,2 10,2 11,2 12,2 13,3 5,3 6,3 7,3 8,3 9,3 10,3 11,3 12,3 13,5 6,5 7,5 8,5 9,5 10,5 11,5 12,5 13,6 7,6 8,6 9,6 10,6 11,6 12,6 13,7 8,7 9,7 10,7 11,7 12,7 13,8 9,8 10,8 11,8 12,8 13,9 10,9 11,9 12,9 13,10 11,10 12,10 13,11 12,11 13,12 13
1,1.2361831339590142e-05,4.4475845110193164e-08,-8.658009550470199e-08,7.769771338025889e-08,-9.886950169710068e-08,-6.443028702141449e-08,-4.14013615760091e-08,-7.672151087756516e-08,5.252075583641253e-08,-3.746655941103577e-08,-2.1235549749497898e-07,-1.0955358071423621e-07,-2.1958581827503614e-08,-2.8631764681698017e-08,4.863411108768314e-09,2.2963134530725525e-08,-3.055157266724029e-08,9.706715568064114e-09,-4.031577983416076e-08,-1.311989731529856e-10,-3.478821277836305e-08,-5.6340004721440747e-08,-3.437800813171678e-08,-2.8796116505867e-08,-1.280868455684019e-07,3.305531914725994e-08,5.005896883271415e-10,1.9320138140911367e-08,7.857182181425115e-08,-1.0270425503073212e-07,-9.304906501559758e-08,2.302122966274521e-08,-7.995914728268008e-08,4.601896102626249e-08,1.3137456845310163e-07,5.906606008071564e-09,-4.494577091748678e-08,-2.8358607211944832e-08,3.626658084723011e-08,2.1268642838673902e-08,5.450103887214294e-08,-8.863228578294711e-09,-2.935829279361362e-08,-1.1065156048735854e-08,1.0581617086479195e-07,3.7862371359000007e-08,-6.442236241424764e-08,-2.484978860457551e-08,2.922047216063968e-07,-1.9319319167907998e-08,3.297183380375978e-08,9.404653223287725e-08,-2.503420392911594e-09,-1.135247160441705e-08,-2.997222374059011e-08,-1.5167688217690451e-09,-7.543601113283872e-08,6.165583280094573e-09,1.1353889262696217e-08,-3.498630795828131e-08,5.329898162505782e-08,1.5679775610244518e-07,-2.737732163752251e-08,-4.672168262945073e-08,-1.1793915946411459e-07,-1.4241255621241903e-08,2.6871358417961894e-08,-4.7855407982845086e-08,-2.0166737826048886e-09,4.802911970834335e-08,-1.1605091609497437e-07,4.3591772162579945e-08,-2.0877110065704343e-08,1.1355069889231876e-08,-6.774676083091163e-08,7.551491461522365e-10,1.343970025818154e-07,8.920112606214923e-09,8.388358576390351e-08
1,4.4475845110193164e-08,1.2354861561606643e-05,-2.5738517146206305e-08,9.204494490693482e-09,2.336300043885481e-08,-3.461953589355126e-08,9.797840832516688e-09,-4.0885967436047524e-08,-5.4776684923225055e-09,-3.846060116529735e-08,-5.5344635002634494e-08,-4.289397050539786e-08,-2.7247338417130713e-08,-8.715719524720611e-08,7.795325190247592e-08,-8.844965934486082e-08,-6.65126802061934e-08,-3.799207847048656e-08,-6.584055697899595e-08,4.6789157166516874e-08,-4.217168846537565e-08,-2.0985623461278622e-07,-1.0960148455613088e-07,-2.127819208367715e-08,-1.9471859726490712e-07,-1.2529365936476597e-07,-2.0325000321380796e-08,-1.2604680743181187e-08,1.314588803028599e-07,-1.4296558105705968e-08,-3.809096629302779e-09,-1.646085894573712e-08,2.1435397188693325e-08,-6.625383059864826e-08,8.852842516418221e-08,-6.66500766481473e-08,5.4612722887942956e-08,3.020754151474449e-08,-5.802555189768803e-08,-1.0186817976266488e-09,2.2635241779374918e-08,-3.855239215346573e-08,-8.385496690877835e-08,-7.706558192246443e-09,9.976909028343388e-09,-1.3075787665129464e-08,1.0992061570892402e-07,9.281545315400547e-09,1.266436236366773e-08,4.7484137634375616e-08,1.0513230917864448e-07,6.267522367458605e-08,3.0811479635246797e-09,-3.877654482116664e-09,-2.3846972595747967e-08,-5.7512788660669564e-08,5.7742067960199256e-08,8.182124665722125e-08,5.6213517119962766e-08,1.18828195406801e-07,-5.481948706899064e-09,5.972083779267041e-10,6.181567051395866e-08,1.6159264780659387e-08,4.772928889480014e-08,-3.326478641766499e-08,-6.52838979308453e-08,-3.304113617938114e-08,-8.941674744002079e-08,5.124742418742635e-08,4.480472029323333e-08,-1.9227359542253793e-08,2.629665583633463e-09,3.7003860460614895e-08,5.8382092003655426e-08,4.2881675485268225e-08,4.003585290166871e-08,1.3119052830676744e-08,-4.514559158575714e-08
2,-8.658009550470199e-08,-2.5738517146206305e-08,1.2356535695427443e-05,-1.2594761275664615e-07,2.83075568594265e-08,3.839194301175776e-09,2.0054904049883467e-08,7.590473260165232e-08,-1.0031256237189834e-07,-9.524752080778786e-08,2.033653104419911e-08,-7.926277834363452e-08,3.9390239193895884e-08,4.365683555191544e-08,-1.9495486472140213e-07,-1.24645250434576e-07,-1.9610629274144828e-08,-1.3925842817343183e-08,1.3652215584427328e-07,-1.682980401495916e-08,-4.4208957088090155e-09,-1.8047277893268024e-08,1.9217299563739842e-08,-6.393140446549354e-08,7.97997655829533e-08,-9.392662646523528e-08,-6.908098006880318e-08,-4.157935054425069e-08,-7.529758384770523e-08,5.043036553130304e-08,-4.022348805563945e-08,-2.1489988753036702e-07,-1.0653496795442134e-07,-1.9570210594777337e-08,9.709519507159082e-08,-6.570896893136523e-09,4.3008960134968465e-08,9.339788446765208e-08,4.941202451451384e-08,-6.145432813733355e-09,7.528714708108883e-08,7.796937502506396e-08,1.4812258903250847e-08,2.2161090187483316e-08,7.28460787818745e-08,-3.294047318339731e-08,3.9286377658218626e-08,8.34061220761978e-08,8.621391528421675e-09,1.4013686573674965e-07,-6.343763766162636e-09,7.022390271322192e-08,-1.202264810511961e-08,5.4525558327097747e-08,2.0245140906966122e-08,-9.189833496881966e-09,1.1351699607719355e-08,2.400907838475426e-08,5.490733154004996e-08,5.181841338137094e-08,-1.722495126030175e-08,-3.356561078303066e-08,-1.0316594209173248e-08,6.612695961974939e-09,5.106533914902755e-09,-1.0245038194854016e-08,4.774643586750136e-09,-5.269802298240674e-08,5.8387374763415184e-08,-1.3969620814099593e-08,1.5381705744653637e-08,1.3926485053815887e-08,-8.379277593167207e-08,1.74903992279706e-08,-5.509695784102633e-09,-2.3698114455011668e-08,3.326507714543319e-08,6.90964228446477e-08,2.510729571759371e-08
3,7.769771338025889e-08,9.204494490693482e-09,-1.2594761275664615e-07,1.2358264383328746e-05,1.3315012577546025e-07,6.3299702100044475e-09,-4.0334197624321875e-08,-2.762111772617359e-08,3.464814103717256e-08,1.78733830036602e-08,5.174104539235372e-08,-8.235813449812436e-09,-2.0613271896767573e-08,-1.948120642334191e-07,4.326981859207718e-08,8.789358747531567e-08,-6.389536471486026e-08,5.636596787115004e-08,2.9559102572998945e-08,-5.5953153189365145e-08,-3.619354915496544e-09,2.1345312607559025e-08,-3.930335579271164e-08,-8.736255048528899e-08,-8.467208713584379e-08,9.389055925137973e-08,-5.216979722884766e-09,4.5081072653907604e-08,9.418422156852633e-08,4.785192974050552e-08,-3.20647690573727e-09,7.476722893798845e-08,7.855948939074275e-08,1.2123037182723043e-08,-9.059722568598783e-08,-6.462129254460417e-08,-3.684128535798705e-08,-7.893939240811324e-08,4.86395971343371e-08,-4.2768655161081126e-08,-2.1255573423648776e-07,-1.1033991936766096e-07,-2.1947154110512624e-08,1.5899401619562793e-08,8.328648926417716e-08,-9.649755369536352e-08,2.8802166575376665e-08,-3.521644047833599e-08,-8.143045720104978e-08,-4.9375724814727656e-08,1.3492463655727992e-08,-2.377043395018638e-08,-8.612826381691e-08,3.547315864530234e-08,-5.1306089433070994e-08,-8.567461861342362e-08,7.751365266342038e-08,-4.639466140455048e-08,-4.955839308295305e-08,1.2440425168310837e-08,5.777315192851167e-08,4.4045483434720906e-08,-5.2226218864285914e-08,-5.41092259177856e-08,-1.3565932374688808e-08,-4.702626989894845e-09,-1.7718182635932682e-08,-8.80800917894851e-09,4.032593716842861e-08,2.1781228471856123e-08,9.335375460480771e-08,1.3763954638706616e-07,-2.510796528639626e-08,1.8856340121492297e-08,3.8299355270029394e-08,2.87873037388922e-08,7.210292123832425e-08,-7.82141983159319e-08,-6.128580041612419e-09
5,-9.886950169710068e-08,2.336300043885481e-08,2.83075568594265e-08,1.3315012577546025e-07,1.2361661137548066e-05,-1.0364768556515313e-08,1.0747848557892332e-07,3.482480545528711e-08,-6.130197850648865e-08,-2.3419804376420735e-08,2.897093293666833e-07,-2.110499593091024e-08,3.6097341567291464e-08,-1.2341787996009097e-07,9.43354615030016e-08,4.129618658433117e-08,-9.153644232551919e-09,1.1126459212835602e-08,-1.797544916329946e-08,1.0984647013919189e-07,1.1366763751586392e-08,1.3266610719611424e-08,4.61657055978303e-08,1.0734091964145685e-07,9.693950326286854e-08,-8.32094525098577e-08,2.659715342096901e-08,7.488457606721979e-08,-3.3670104563388986e-08,3.630889639245245e-08,8.373079545433153e-08,6.440536432569852e-09,1.3705420053690225e-07,-5.790193593318165e-09,7.693625615505807e-08,1.6369376394447256e-08,8.140170107188249e-08,-9.382502179517062e-08,2.696764918984944e-08,-3.5934869151571614e-08,-8.14972098876866e-08,-5.186844670926423e-08,1.2443466589727955e-08,-6.439195894790538e-08,-3.804145022524907e-08,-7.796722056139392e-08,4.953125751729547e-08,-3.7740993780791213e-08,-2.1875270549572253e-07,-1.1484501249231965e-07,-2.0616545381973305e-08,2.5162174056031583e-08,-3.8431996800391364e-08,-2.9401894868643617e-09,7.25328962575534e-08,4.9413591386418826e-08,2.4910081398501783e-08,-2.5741629665406813e-08,2.0115813097747833e-08,-7.575976278496515e-08,2.7250092403054347e-08,-8.747007983388732e-08,-7.113339308550806e-08,-7.280298445286518e-09,1.2141456659311258e-08,-1.226489802201288e-08,-3.472614577669839e-08,-1.5613946677252432e-08,-7.617676456499398e-08,-4.53459881923799e-08,-6.393196667280209e-09,-5.419559575324584e-08,-3.478619211258943e-08,4.7380096434215556e-09,-5.141936902770679e-08,-5.70057987510035e-08,-8.684897653619028e-08,-2.44648513343476e-08,-1.7515928385320363e-08
6,-6.443028702141449e-08,-3.461953589355126e-08,3.839194301175776e-09,6.3299702100044475e-09,-1.0364768556515313e-08,1.2350311963745666e-05,9.377809182943465e-08,-1.4878498207738095e-09,-1.3774003578371205e-08,-3.4299084197241636e-08,-2.0014467457356682e-10,-6.946558228328432e-08,1.1744785645620422e-08,-2.0662051431622744e-08,-6.607083803723888e-08,-8.60858395641675e-09,3.9129617582192314e-08,5.870124811378036e-08,7.430734760931409e-09,-3.924259010255229e-09,-2.470414919256154e-08,-5.801041854050342e-08,5.353509566542389e-08,8.457949935302621e-08,-6.086772416039477e-09,2.6063191756640997e-08,-8.820600495776949e-08,6.629292629854243e-08,-1.1541746316674156e-08,5.702044716665932e-08,1.9999417337237863e-08,-1.3950202918314167e-08,1.1939994865148091e-08,2.8371366067412613e-08,1.6800083330878748e-08,7.78677077185219e-08,-2.3330362475290165e-08,-8.68902111029162e-08,3.571616128457606e-08,-5.249907718448324e-08,-8.478526188488338e-08,7.560728968331514e-08,-4.518265663981744e-08,-9.284363588535519e-08,2.7637320656770346e-08,-3.834008849835631e-08,-1.4279949289664456e-10,7.03019926836965e-08,4.9595402877483164e-08,2.5055058913606134e-08,-2.4338007459281154e-08,-3.663985160195335e-08,-7.419471134515406e-08,4.883271825054882e-08,-3.6886689097507364e-08,-2.070205010659541e-07,-1.0483558437920523e-07,-2.175937788565817e-08,1.452257339459797e-08,2.393072496747671e-08,-1.0870610610686224e-07,-2.6344029616018204e-08,-7.67304833953314e-09,2.4495174610150996e-08,7.741253142633091e-08,3.734354536883556e-08,7.988199224347272e-08,-3.917119993001049e-09,1.3333390685998587e-08,-1.0058518909754902e-07,-2.3034562384385386e-09,-4.905254957083291e-08,-2.790138155562664e-09,5.8868992708796846e-08,-9.351389396054663e-08,-9.956307276809157e-08,2.4518178552616317e-08,-2.5036044900306715e-08,5.5810961626630144e-08
7,-4.14013615760091e-08,9.797840832516688e-09,2.0054904049883467e-08,-4.0334197624321875e-08,1.0747848557892332e-07,9.377809182943465e-08,1.2357898738391102e-05,7.1139068447271026e-09,-2.6094706759268395e-08,5.8997871849967624e-08,1.563621265862908e-07,-1.9725996291348288e-08,-4.5438319377980954e-08,-1.3294706070462518e-08,5.8123904616926826e-08,1.4953078212140947e-08,6.112871267912306e-08,4.1797131969354887e-08,5.107261654439689e-08,1.2185973938196777e-07,2.768709516095142e-10,4.580198949347764e-09,6.215582687520601e-08,1.4680341248753054e-08,4.783555631666857e-08,7.209906223504851e-08,6.506436701602672e-08,-8.310240686292919e-08,5.815795323247994e-08,4.5924136866027e-08,-1.0836182980786977e-08,-3.307351525238439e-08,-1.2131359157701213e-08,9.588162179884334e-09,7.880631039600996e-08,-2.254337764041018e-08,8.350723606123458e-08,-5.26931931455399e-08,1.3611456291517058e-08,5.877307906026039e-08,4.342796047938905e-08,-5.6327117224063064e-08,-5.2733748802936875e-08,2.1386860499094745e-08,-9.154508850927406e-08,2.0954938461160098e-08,-7.558560534940045e-08,2.5062688699590062e-08,-9.108481896323038e-08,-7.441229925407971e-08,-6.566878607230425e-09,-6.846190328827197e-08,1.4264491726851183e-08,2.140383073372331e-08,-1.0907093711112987e-07,-2.7084667989750144e-08,-8.45443319082383e-09,2.6811317268345195e-08,-7.421463327679164e-08,4.445357598098357e-08,-3.8979323366159725e-08,-2.1098844505147973e-07,-1.0911591299543085e-07,-1.9626967891985588e-08,8.477916995470945e-08,-1.6864666438099024e-08,1.9584848671320255e-08,-6.235251753554431e-08,5.760877720560064e-08,-6.752653637486077e-08,-1.1266220480822031e-07,-1.1143255239913413e-07,-1.1367825630658794e-07,-5.6030985340817734e-08,-1.574984882717823e-07,-3.688834990256377e-09,-3.2692984843931055e-08,7.1317808592624635e-09,-9.51198233626458e-08
8,-7.672151087756516e-08,-4.0885967436047524e-08,7.590473260165232e-08,-2.762111772617359e-08,3.482480545528711e-08,-1.4878498207738095e-09,7.1139068447271026e-09,1.2352001166522846e-05,-1.1507712587529375e-07,-1.0762230167243138e-08,2.494553832944934e-08,-4.782768950168033e-08,-3.7384902459297784e-09,1.3436611552433155e-07,2.8238264779217795e-08,-1.5499738709575695e-08,5.399431691666821e-09,5.4606935321132534e-08,3.76610405970864e-08,5.026917778735805e-08,-3.6227415421246095e-08,-6.327355109331966e-08,-3.411766865349846e-08,-9.215886397149358e-08,9.349252770696659e-08,-3.152377365874455e-08,-1.2527174402100914e-08,5.55145297180516e-08,-8.71401575382353e-08,9.080910105264379e-09,-9.83071894157042e-09,7.604048880945046e-09,-5.1934164569774863e-08,5.69679800924984e-08,-9.361442616180427e-08,-8.548785653607631e-08,-4.968818734026557e-08,7.843031877638341e-08,-1.5735044484541365e-08,-6.49038438709173e-09,-1.3363355800034544e-08,-6.756368950027286e-09,3.814194099910588e-08,-3.745406665153967e-08,1.8790362353561463e-08,-9.07148883106106e-08,1.1169614222422413e-08,-1.2146798017414916e-08,-3.525918568253125e-08,-1.4238250117638398e-08,-7.553767255439775e-08,1.4625997548183882e-08,-6.483142775175107e-08,7.967659184915535e-08,3.6446276993439736e-08,8.067444664329814e-08,-1.6125242774993776e-09,1.3920617788236514e-08,-3.925812910867895e-08,8.770963170833127e-08,-1.4197078214704776e-08,2.0028199223568718e-08,-6.48217122278818e-08,5.8830352528921834e-08,5.0616817148754074e-08,-3.9149949756905e-08,-2.0610730826134576e-07,-1.082234630498874e-07,-2.446361201920436e-08,-1.4310075272553608e-08,-4.033027821959441e-08,6.875563362257005e-08,9.798075290460232e-08,-5.249787995525042e-08,-4.560655840986162e-08,1.2306066787059925e-08,-6.531383519484275e-08,-7.509556037973398e-08,-1.5757156230329233e-08
9,5.252075583641253e-08,-5.4776684923225055e-09,-1.0031256237189834e-07,3.464814103717256e-08,-6.130197850648865e-08,-1.3774003578371205e-08,-2.6094706759268395e-08,-1.1507712587529375e-07,1.2357727818566305e-05,4.709723996038779e-08,-1.1075057222862631e-07,4.4515614051731686e-08,-1.820191633358233e-08,-1.2474603013253824e-08,-5.778233662530708e-08,1.0694364631875782e-07,-3.5038488836187092e-09,1.2004985899382747e-07,5.1550114173435116e-08,3.715460895832421e-08,4.933625293840451e-08,4.351228851565284e-08,-1.9009279444453717e-08,1.002948980177979e-09,4.798854932840039e-08,3.904454028663606e-08,5.790644153214007e-08,4.532080243491632e-08,9.466979854598622e-09,-8.782074608080788e-08,-2.007266240237891e-08,7.797611547377036e-09,8.297737582518598e-09,-8.590677195827861e-08,3.063595697352176e-08,3.043925203926789e-08,1.3439279209462288e-08,-1.5287444793895397e-08,7.79505238887328e-08,2.1871566111303874e-08,9.478653174994289e-08,1.3954515863632954e-07,-2.2959075157840948e-08,-2.4213790045986406e-09,-7.518840347752862e-08,1.1981423577994906e-08,-9.209981320451664e-08,-4.149054752154268e-08,-4.614244415051842e-09,-5.4900222628799785e-08,-3.2664822508422796e-08,2.3430513627440754e-08,8.311014449767699e-08,-7.244894448358087e-08,-9.950907755832158e-08,-4.673235986789243e-09,-5.177669621596936e-08,-1.6331307653414402e-09,8.388179559020629e-08,-3.711329646077144e-08,-6.78240879410063e-08,-1.1861805979597418e-07,-1.1056987303162648e-07,-1.1106193614714381e-07,-7.333081202338259e-08,-1.707308403357299e-08,-4.001171029469317e-08,6.749651412018154e-08,9.705215811293815e-08,-3.400613561257954e-08,-2.0533776440850011e-07,-1.0674057209541343e-07,-1.89698986004469e-08,-4.3476758367150575e-08,-4.626834066018319e-08,1.1932846042501617e-07,3.572150007182786e-08,3.374216298359645e-08,2.8797152200624867e-08
10,-3.746655941103577e-08,-3.846060116529735e-08,-9.524752080778786e-08,1.78733830036602e-08,-2.3419804376420735e-08,-3.4299084197241636e-08,5.8997871849967624e-08,-1.0762230167243138e-08,4.709723996038779e-08,1.2351723906176144e-05,1.8465453783578274e-08,-6.244118862398619e-08,3.731465490544821e-09,-5.3295502593159034e-09,-1.6195249476610568e-09,1.0115905609465812e-08,-2.47319135270712e-08,-3.4164127845264127e-09,-3.597302831211087e-08,4.964136245583801e-08,3.9799104276031273e-08,3.4584408194793515e-08,5.521811857668726e-08,4.5074209141224084e-08,-4.964962968521333e-09,8.426791714505636e-08,2.5456392209786753e-08,-1.3373013878958072e-08,-1.0354938163304464e-08,-1.648248805897609e-08,-8.857886875864194e-08,1.8547503327159556e-08,-8.405814666189206e-09,-2.618204911711652e-08,-3.43727215347804e-08,-5.246641366403861e-08,6.164960679941432e-08,-6.501131928705215e-09,2.0646864377318806e-08,7.956453578883659e-08,1.8518050664388944e-08,3.997581629326804e-08,3.050687112888854e-08,7.247014216611516e-08,2.3115057067586295e-08,-8.99265229063473e-09,-4.780223866027515e-08,-9.142639404061326e-08,-6.765353094277616e-10,-5.3233702940741807e-08,-5.4227384960850806e-08,-1.1043286173182281e-07,3.8081926554029937e-08,-1.0273356340888493e-07,-6.602536102768788e-08,5.9378934160161924e-08,-9.484337133621851e-08,-9.910846588089646e-08,-1.446875281649791e-08,-6.66897975796321e-08,-3.5399047459529254e-08,-5.802040248933818e-08,-1.5554182408334656e-07,-3.473210580997182e-09,-1.3693414987245408e-08,-7.509283021715701e-08,-4.8756330179632013e-08,-4.4126495938386916e-08,1.351527955110685e-08,4.7343297016209035e-08,-4.7107179877238037e-08,-4.4186857981337156e-08,1.1801629301263776e-07,-2.07436751329585e-07,-1.0504274024203659e-07,-1.8162808609557622e-08,-5.286677785653138e-08,2.42748166572459e-08,-5.557612061621044e-08
